Homology group id,Class,Genome 1,Genome 2,Genome 3,Genome 4,Genome 5,Genome 6,Genome 7,Genome 8,Genome 9
2031248,core,3,2,2,1,3,2,1,1,2
2031353,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2031354,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2031538,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2031539,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2031540,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2032632,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2032738,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2032829,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2032830,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2032863,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2032939,core & single copy orthologous,1,1,1,1,1,1,1,1,1
1968382,accessory,1,0,0,0,1,0,0,0,0
1968383,accessory,1,0,0,0,1,0,0,0,0
1968384,accessory,1,0,0,0,1,0,0,0,0
2030952,accessory,1,0,0,0,1,0,0,0,0
2030953,accessory,1,0,0,0,1,0,0,0,0
2030954,accessory,1,0,0,0,1,0,0,0,0
2030956,accessory,1,0,0,0,1,0,0,0,0
2030957,accessory,1,0,0,0,1,0,0,0,0
2030958,accessory,1,0,0,0,1,0,0,0,0
2030961,accessory,1,0,0,0,1,0,0,0,0
2030962,accessory,1,0,0,0,1,0,0,0,0
2030963,accessory,1,0,0,0,1,0,0,0,0
2030964,accessory,1,0,0,0,1,0,0,0,0
2030965,accessory,1,0,0,0,1,0,0,0,0
2030966,accessory,1,0,0,0,1,0,0,0,0
2030968,accessory,1,0,0,0,1,0,0,0,0
2030969,accessory,1,0,0,0,1,0,0,0,0
2030970,accessory,1,0,0,0,1,0,0,0,0
2030971,accessory,1,0,0,0,1,0,0,0,0
2030972,accessory,1,0,0,0,1,0,0,0,0
2030973,accessory,1,0,0,0,1,0,0,0,0
2030974,accessory,1,0,0,0,1,0,0,0,0
2030975,accessory,1,0,0,0,1,0,0,0,0
2030976,accessory,1,0,0,0,1,0,0,0,0
2030977,accessory,1,0,0,0,1,0,0,0,0
2030979,accessory,1,0,0,0,1,0,0,0,0
2030980,accessory,1,0,0,0,1,0,0,0,0
2030982,accessory,1,0,0,0,1,0,0,0,0
2030983,accessory,1,0,0,0,1,0,0,0,0
2030984,accessory,1,0,0,0,1,0,0,0,0
2030985,accessory,1,0,0,0,1,0,0,0,0
2030988,accessory,1,0,0,0,1,0,0,0,0
2030989,accessory,1,0,0,0,1,0,0,0,0
2030990,accessory,1,0,0,0,1,0,0,0,0
2031002,accessory,1,0,0,0,1,0,0,0,0
2031003,accessory,1,0,0,0,1,0,0,0,0
2031007,accessory,1,0,0,0,1,0,0,0,0
2031008,accessory,1,0,0,0,1,0,0,0,0
2031009,accessory,1,0,0,0,1,0,0,0,0
2031010,accessory,1,0,0,0,1,0,0,0,0
2031011,accessory,1,0,0,0,1,0,0,0,0
