x,y,Category
5,7829,Unique
6,2631,Accessory
7,2633,Accessory
8,9028,Unique
3,176,Accessory
4,5836,Unique
5,13,Core
4,3796,Unique
6,7587,Unique
5,8677,Unique
3,524,Accessory
7,1428,Accessory
4,6684,Unique
6,955,Accessory
3,5806,Unique
4,4304,Unique
5,155,Core
3,5935,Unique
6,8408,Unique
6,6085,Unique
7,1151,Accessory
3,4529,Unique
7,7359,Unique
2,13,Core
3,167,Accessory
5,2067,Accessory
4,7362,Unique
7,2819,Accessory
5,6596,Unique
7,1251,Accessory
3,576,Accessory
6,8323,Unique
4,351,Accessory
2,173,Core
6,6033,Unique
4,685,Accessory
8,2926,Accessory
6,1231,Accessory
4,785,Accessory
5,7598,Unique
5,2372,Accessory
6,7598,Unique
6,6827,Unique
7,2924,Accessory
2,3972,Unique
4,6228,Unique
6,2374,Accessory
7,1389,Accessory
4,7318,Unique
4,6283,Unique
5,8089,Unique
5,8078,Unique
8,1444,Accessory
4,6261,Unique
5,7332,Unique
4,5237,Unique
4,5226,Unique
3,2665,Unique
7,8875,Unique
3,2676,Unique
5,6761,Unique
6,2069,Accessory
3,4823,Unique
6,8331,Unique
6,7565,Unique
8,9047,Unique
4,5891,Unique
4,4227,Unique
4,660,Accessory
4,376,Accessory
6,989,Accessory
5,6717,Unique
4,2731,Accessory
4,4735,Unique
3,5347,Unique
4,2456,Unique
7,2828,Accessory
3,15,Core
6,5487,Unique
4,176,Accessory
5,7977,Unique
5,6470,Unique
5,7373,Unique
4,7401,Unique
5,4161,Unique
6,9017,Unique
6,1135,Accessory
5,942,Accessory
4,158,Core
8,13,Core
6,7700,Unique
6,7725,Unique
4,189,Accessory
5,5099,Unique
6,8287,Unique
3,170,Core
5,873,Accessory
7,10328,Unique
2,3991,Unique
4,6074,Unique
2,3988,Unique
7,1390,Accessory
2,2322,Unique
3,658,Accessory
4,190,Accessory
5,2854,Accessory
5,6132,Unique
7,3006,Accessory
6,8979,Unique
6,9459,Unique
5,1124,Accessory
5,154,Core
6,2817,Accessory
4,860,Accessory
6,9023,Unique
5,928,Accessory
6,2804,Accessory
6,2665,Accessory
1,2086,Core
6,2299,Accessory
4,911,Accessory
5,6176,Unique
5,390,Accessory
6,2561,Accessory
5,6236,Unique
6,5460,Unique
3,4114,Unique
5,1860,Accessory
5,7923,Unique
2,3851,Unique
5,2460,Accessory
9,9478,Unique
4,4477,Unique
6,8444,Unique
7,2812,Accessory
2,801,Core
5,12,Core
3,5872,Unique
3,2679,Unique
4,5451,Unique
2,14,Core
2,764,Core
4,6500,Unique
5,616,Accessory
5,7107,Unique
4,681,Accessory
3,4779,Unique
4,167,Core
4,6036,Unique
3,5828,Unique
5,2498,Accessory
6,942,Accessory
4,160,Core
4,2029,Accessory
5,156,Core
6,7749,Unique
3,3359,Unique
4,181,Accessory
6,8966,Unique
6,890,Accessory
5,6591,Unique
7,2621,Accessory
5,2445,Accessory
5,821,Accessory
7,2698,Accessory
4,806,Accessory
3,449,Accessory
5,8751,Unique
6,1262,Accessory
4,5429,Unique
2,188,Core
6,2871,Accessory
5,8128,Unique
4,3123,Unique
3,4392,Unique
3,512,Accessory
6,6797,Unique
3,227,Accessory
4,807,Accessory
3,450,Accessory
5,8053,Unique
3,5539,Unique
5,925,Accessory
6,889,Accessory
6,2380,Accessory
4,4260,Unique
5,8652,Unique
7,10284,Unique
3,5501,Unique
7,2568,Accessory
5,8097,Unique
4,682,Accessory
2,349,Core
3,4724,Unique
5,8369,Unique
8,3008,Accessory
5,7156,Unique
3,164,Accessory
3,5850,Unique
4,1099,Accessory
7,9742,Unique
7,2928,Accessory
4,6020,Unique
6,9646,Unique
6,7373,Unique
4,1047,Accessory
5,4328,Unique
5,1119,Accessory
7,9786,Unique
3,2701,Unique
5,4955,Unique
2,3447,Unique
5,8325,Unique
4,602,Accessory
5,6204,Unique
7,2620,Accessory
3,169,Core
4,6860,Unique
3,5528,Unique
3,5174,Unique
7,9415,Unique
4,1861,Accessory
5,1121,Accessory
2,3970,Unique
5,8815,Unique
4,373,Accessory
6,2870,Accessory
6,1313,Accessory
6,9690,Unique
5,5776,Unique
4,925,Accessory
7,9448,Unique
5,8696,Unique
3,4004,Unique
5,2497,Accessory
3,16,Accessory
7,9459,Unique
5,4950,Unique
7,7175,Unique
5,2482,Accessory
4,779,Accessory
3,884,Accessory
6,9258,Unique
3,5518,Unique
6,1193,Accessory
3,377,Accessory
2,175,Core
3,5334,Unique
4,5018,Unique
4,186,Accessory
6,5338,Unique
3,4781,Unique
6,954,Accessory
7,1136,Accessory
3,4149,Unique
5,945,Accessory
4,688,Accessory
4,6611,Unique
4,7357,Unique
6,8413,Unique
7,1429,Accessory
4,179,Accessory
6,5845,Unique
1,1891,Core
3,5419,Unique
5,6594,Unique
4,777,Accessory
6,6638,Unique
6,14,Core
1,1901,Core
6,1195,Accessory
4,4571,Unique
5,6373,Unique
5,7894,Unique
5,5643,Unique
6,2566,Accessory
3,5643,Unique
3,4571,Unique
1,1913,Core
5,1230,Accessory
6,1234,Accessory
3,4598,Unique
3,555,Core
4,4858,Unique
5,6428,Unique
3,230,Accessory
5,6420,Unique
3,5871,Unique
7,7151,Unique
5,7162,Unique
6,1375,Accessory
6,1288,Accessory
4,200,Accessory
5,6924,Unique
4,729,Accessory
1,2128,Core
7,3066,Accessory
6,6130,Unique
4,2268,Accessory
4,1055,Accessory
5,3588,Unique
6,2812,Accessory
2,4076,Unique
6,2857,Accessory
4,4358,Unique
4,1877,Accessory
5,2293,Accessory
3,4990,Unique
4,6793,Unique
3,527,Accessory
4,191,Accessory
4,6251,Unique
5,7288,Unique
3,3360,Unique
6,1136,Accessory
3,788,Accessory
3,5486,Unique
6,2605,Accessory
8,10778,Unique
7,10303,Unique
4,5629,Unique
3,721,Core
4,182,Accessory
5,8084,Unique
5,620,Accessory
6,7556,Unique
5,1855,Accessory
5,7089,Unique
7,8002,Unique
2,3745,Unique
4,4686,Unique
4,5430,Unique
7,10347,Unique
2,3426,Unique
4,6035,Unique
3,5529,Unique
5,7879,Unique
7,1252,Accessory
4,6079,Unique
4,188,Accessory
5,7312,Unique
4,5471,Unique
6,1261,Accessory
6,9415,Unique
5,5189,Unique
4,6267,Unique
2,802,Unique
3,4153,Unique
4,168,Core
6,6256,Unique
6,8260,Unique
4,7033,Unique
3,5497,Unique
6,7791,Unique
5,5486,Unique
4,686,Accessory
1,0,Unique
3,4008,Unique
5,6756,Unique
6,7515,Unique
4,7077,Unique
5,6462,Unique
6,818,Accessory
5,8122,Unique
3,160,Core
5,4805,Unique
7,8128,Unique
3,646,Accessory
5,8317,Unique
6,7545,Unique
7,2563,Accessory
3,4749,Unique
6,817,Accessory
5,7268,Unique
4,6236,Unique
5,7131,Unique
3,173,Core
4,4900,Unique
5,6549,Unique
3,170,Accessory
4,1852,Accessory
6,8992,Unique
5,7170,Unique
7,7957,Unique
4,6508,Unique
4,6011,Unique
5,974,Accessory
3,2660,Unique
6,2499,Accessory
4,5247,Unique
4,2479,Accessory
8,2830,Accessory
3,25,Core
5,5131,Unique
4,7388,Unique
4,4217,Unique
7,7723,Unique
6,6788,Unique
4,1853,Accessory
2,172,Core
4,6077,Unique
4,6225,Unique
5,8045,Unique
1,1910,Core
5,1854,Accessory
5,4140,Unique
2,3979,Unique
2,4013,Unique
4,606,Accessory
2,3503,Unique
5,621,Accessory
8,12,Core
3,649,Accessory
5,1171,Accessory
5,162,Core
7,9652,Unique
2,3460,Unique
8,10734,Unique
5,7354,Unique
5,5549,Unique
6,988,Accessory
4,5409,Unique
4,7432,Unique
5,7114,Unique
4,1025,Accessory
4,6666,Unique
3,5891,Unique
2,3417,Unique
4,5895,Unique
4,1855,Accessory
7,7717,Unique
6,2295,Accessory
6,1374,Accessory
4,6219,Unique
4,6388,Unique
5,794,Accessory
4,6193,Unique
7,13,Core
4,3512,Unique
5,803,Accessory
4,6432,Unique
3,3541,Unique
4,1054,Accessory
5,6120,Unique
7,7156,Unique
3,2786,Unique
6,960,Accessory
5,793,Accessory
3,12,Core
4,164,Core
7,8691,Unique
3,183,Core
8,3068,Accessory
5,2602,Accessory
5,1879,Accessory
5,2747,Accessory
5,7982,Unique
3,5390,Unique
4,7421,Unique
4,14,Core
4,4349,Unique
5,7120,Unique
4,185,Accessory
3,5601,Unique
5,6354,Unique
2,2264,Unique
4,543,Core
5,2361,Accessory
6,8457,Unique
6,8452,Unique
6,1139,Accessory
4,7460,Unique
5,973,Accessory
2,672,Core
5,6371,Unique
6,7925,Unique
8,7606,Unique
5,4751,Unique
6,1140,Accessory
3,172,Accessory
5,802,Accessory
3,3339,Unique
4,6890,Unique
4,5050,Unique
6,959,Accessory
4,6121,Unique
4,7476,Unique
3,4312,Unique
3,4334,Unique
6,1194,Accessory
3,163,Core
5,2271,Accessory
4,960,Accessory
5,2297,Accessory
5,5866,Unique
5,1078,Accessory
5,6937,Unique
4,926,Accessory
6,7396,Unique
6,1233,Accessory
4,6040,Unique
5,4937,Unique
5,944,Accessory
2,25,Core
3,174,Core
4,1858,Accessory
5,7396,Unique
4,726,Accessory
3,169,Accessory
7,1135,Accessory
1,1888,Core
8,8486,Unique
3,369,Accessory
6,6518,Unique
9,12,Core
5,167,Core
5,6364,Unique
7,2940,Accessory
6,8486,Unique
5,996,Accessory
2,3388,Unique
3,183,Accessory
6,1019,Accessory
