x,y,Category
4,7040,Dispensable
3,5887,Dispensable
6,9916,Dispensable
3,5889,Dispensable
6,9149,Dispensable
2,25,Core
3,174,Core
4,7276,Dispensable
4,6914,Dispensable
1,1888,Core
5,13,Core
3,5768,Dispensable
5,7642,Dispensable
4,6268,Dispensable
9,12,Core
5,167,Core
5,7990,Dispensable
5,8770,Dispensable
4,6266,Dispensable
5,7649,Dispensable
6,10507,Dispensable
4,6383,Dispensable
4,6376,Dispensable
5,7646,Dispensable
6,8022,Dispensable
5,155,Core
7,9971,Dispensable
6,8597,Dispensable
5,9205,Dispensable
6,9380,Dispensable
8,11861,Dispensable
7,9970,Dispensable
7,9984,Dispensable
4,5377,Dispensable
7,9987,Dispensable
6,9908,Dispensable
6,9144,Dispensable
2,13,Core
4,6377,Dispensable
5,8776,Dispensable
1,1872,Core
5,8765,Dispensable
6,8029,Dispensable
4,5374,Dispensable
4,7288,Dispensable
3,562,Core
2,173,Core
6,9921,Dispensable
3,5644,Dispensable
8,11858,Dispensable
6,9920,Dispensable
4,7266,Dispensable
6,8264,Dispensable
4,4484,Dispensable
4,7385,Dispensable
8,10726,Dispensable
3,5662,Dispensable
5,8989,Dispensable
2,1706,Core
5,8415,Dispensable
5,7422,Dispensable
2,3388,Dispensable
4,6151,Dispensable
6,9377,Dispensable
3,4651,Dispensable
3,4630,Dispensable
5,6984,Dispensable
4,6156,Dispensable
5,7857,Dispensable
6,9493,Dispensable
4,6917,Dispensable
4,6157,Dispensable
2,802,Dispensable
3,5785,Dispensable
3,5648,Dispensable
4,7061,Dispensable
4,6478,Dispensable
8,11420,Dispensable
2,3935,Dispensable
4,178,Core
6,10290,Dispensable
6,9591,Dispensable
3,5867,Dispensable
5,6763,Dispensable
5,8749,Dispensable
6,9012,Dispensable
5,8401,Dispensable
6,8469,Dispensable
5,8632,Dispensable
4,6243,Dispensable
3,5559,Dispensable
4,163,Core
3,165,Core
5,8743,Dispensable
5,8210,Dispensable
5,7655,Dispensable
3,15,Core
6,9122,Dispensable
5,7619,Dispensable
5,8759,Dispensable
3,5511,Dispensable
3,5553,Dispensable
6,9124,Dispensable
5,8789,Dispensable
6,9166,Dispensable
3,3716,Dispensable
5,8216,Dispensable
6,9168,Dispensable
4,158,Core
4,6944,Dispensable
4,6902,Dispensable
8,13,Core
4,7012,Dispensable
2,3946,Dispensable
3,4979,Dispensable
4,7607,Dispensable
5,7419,Dispensable
4,7039,Dispensable
3,170,Core
3,4765,Dispensable
3,5736,Dispensable
7,10722,Dispensable
4,6066,Dispensable
4,6711,Dispensable
5,7674,Dispensable
2,4012,Dispensable
5,7842,Dispensable
6,9171,Dispensable
7,9546,Dispensable
4,7175,Dispensable
3,5732,Dispensable
4,6009,Dispensable
5,8405,Dispensable
5,8426,Dispensable
6,9368,Dispensable
2,590,Core
3,5205,Dispensable
5,7967,Dispensable
8,11085,Dispensable
4,7018,Dispensable
5,154,Core
6,9481,Dispensable
4,5933,Dispensable
3,166,Core
3,4621,Dispensable
3,4665,Dispensable
5,7415,Dispensable
5,7986,Dispensable
4,6143,Dispensable
1,2086,Core
4,5565,Dispensable
7,11072,Dispensable
6,10274,Dispensable
3,5844,Dispensable
4,6070,Dispensable
6,9959,Dispensable
6,9951,Dispensable
6,8824,Dispensable
6,9604,Dispensable
4,7618,Dispensable
2,3103,Dispensable
4,7588,Dispensable
2,26,Core
4,7239,Dispensable
4,5940,Dispensable
6,9607,Dispensable
5,7716,Dispensable
3,641,Core
4,6332,Dispensable
3,5458,Dispensable
4,5714,Dispensable
3,4954,Dispensable
5,7675,Dispensable
4,6341,Dispensable
5,8727,Dispensable
7,10656,Dispensable
6,9198,Dispensable
2,3949,Dispensable
5,7297,Dispensable
3,5848,Dispensable
3,5002,Dispensable
3,4837,Dispensable
3,5953,Dispensable
4,7081,Dispensable
5,8722,Dispensable
2,801,Core
5,12,Core
5,8351,Dispensable
4,6335,Dispensable
7,10663,Dispensable
4,6842,Dispensable
6,8939,Dispensable
2,14,Core
2,764,Core
3,5358,Dispensable
5,9114,Dispensable
4,167,Core
4,5187,Dispensable
5,7958,Dispensable
2,178,Core
3,5686,Dispensable
4,160,Core
3,5505,Dispensable
5,7460,Dispensable
7,9896,Dispensable
5,8241,Dispensable
7,10998,Dispensable
5,156,Core
5,8359,Dispensable
4,6190,Dispensable
2,3851,Dispensable
3,5743,Dispensable
5,9098,Dispensable
5,7440,Dispensable
3,13,Core
6,9356,Dispensable
7,11436,Dispensable
7,10304,Dispensable
6,8831,Dispensable
2,1654,Dispensable
7,9381,Dispensable
4,6938,Dispensable
4,7105,Dispensable
6,9474,Dispensable
2,188,Core
3,4611,Dispensable
4,7518,Dispensable
5,7816,Dispensable
4,6683,Dispensable
4,7611,Dispensable
4,6291,Dispensable
5,8003,Dispensable
3,4392,Dispensable
4,6477,Dispensable
5,7350,Dispensable
3,3268,Dispensable
3,5671,Dispensable
4,6246,Dispensable
2,3783,Dispensable
2,3972,Dispensable
2,3930,Dispensable
6,8773,Dispensable
7,10299,Dispensable
3,5864,Dispensable
5,8792,Dispensable
2,349,Core
2,3503,Dispensable
4,6890,Dispensable
4,13,Core
5,8716,Dispensable
3,4358,Dispensable
3,3729,Dispensable
5,7275,Dispensable
6,8959,Dispensable
5,158,Core
4,7060,Dispensable
5,8259,Dispensable
5,6757,Dispensable
3,5069,Dispensable
3,169,Core
6,9584,Dispensable
2,186,Core
3,4978,Dispensable
4,6084,Dispensable
5,6564,Dispensable
4,5813,Dispensable
6,8456,Dispensable
5,7885,Dispensable
5,6899,Dispensable
6,12,Core
3,4250,Dispensable
4,7642,Dispensable
6,10300,Dispensable
4,6184,Dispensable
4,6690,Dispensable
5,6389,Dispensable
5,8034,Dispensable
7,14,Core
2,3745,Dispensable
5,9141,Dispensable
5,8076,Dispensable
5,9162,Dispensable
6,9877,Dispensable
5,9049,Dispensable
3,4371,Dispensable
3,5805,Dispensable
6,10233,Dispensable
2,3991,Dispensable
2,3764,Dispensable
6,8632,Dispensable
7,11482,Dispensable
4,7545,Dispensable
5,7490,Dispensable
6,8638,Dispensable
2,3761,Dispensable
6,7506,Dispensable
4,7428,Dispensable
2,175,Core
4,6997,Dispensable
6,10464,Dispensable
4,6872,Dispensable
4,6884,Dispensable
6,8097,Dispensable
7,10119,Dispensable
6,9524,Dispensable
7,10699,Dispensable
3,4368,Dispensable
4,156,Core
4,6990,Dispensable
5,7264,Dispensable
2,3417,Dispensable
4,6887,Dispensable
3,5910,Dispensable
5,8395,Dispensable
2,3532,Dispensable
4,6875,Dispensable
5,8394,Dispensable
7,10696,Dispensable
1,1891,Core
5,6908,Dispensable
7,10343,Dispensable
7,9903,Dispensable
2,3426,Dispensable
6,14,Core
5,7248,Dispensable
4,7536,Dispensable
1,1901,Core
5,6900,Dispensable
3,184,Core
4,6520,Dispensable
5,7482,Dispensable
6,154,Core
3,4598,Dispensable
6,8096,Dispensable
1,1913,Core
7,11479,Dispensable
5,7484,Dispensable
5,8040,Dispensable
3,555,Core
5,8042,Dispensable
6,8092,Dispensable
7,10346,Dispensable
4,6663,Dispensable
5,8045,Dispensable
5,8047,Dispensable
4,5967,Dispensable
4,12,Core
1,2128,Core
5,7488,Dispensable
4,6641,Dispensable
4,6640,Dispensable
3,14,Core
3,4393,Dispensable
4,7568,Dispensable
6,8425,Dispensable
3,5704,Dispensable
6,8774,Dispensable
4,7522,Dispensable
4,7564,Dispensable
2,3971,Dispensable
6,8848,Dispensable
2,183,Core
3,5821,Dispensable
6,9517,Dispensable
7,12,Core
4,6895,Dispensable
6,9549,Dispensable
5,7270,Dispensable
3,721,Core
3,5485,Dispensable
4,159,Core
5,7126,Dispensable
3,4580,Dispensable
2,2425,Dispensable
7,11115,Dispensable
6,8195,Dispensable
2,3979,Dispensable
2,3429,Dispensable
4,6853,Dispensable
5,8373,Dispensable
3,5185,Dispensable
3,5164,Dispensable
2,3988,Dispensable
3,5005,Dispensable
5,7597,Dispensable
6,9562,Dispensable
4,5782,Dispensable
6,8782,Dispensable
6,9520,Dispensable
4,5898,Dispensable
4,6848,Dispensable
4,6657,Dispensable
3,5122,Dispensable
3,5143,Dispensable
4,5780,Dispensable
6,9192,Dispensable
3,5187,Dispensable
5,8813,Dispensable
6,8604,Dispensable
6,10343,Dispensable
5,7940,Dispensable
4,168,Core
5,8934,Dispensable
4,7685,Dispensable
5,8468,Dispensable
4,6519,Dispensable
1,0,Dispensable
3,5713,Dispensable
3,4234,Dispensable
2,3786,Dispensable
6,10247,Dispensable
1,1978,Core
5,8819,Dispensable
5,7062,Dispensable
7,9211,Dispensable
5,7944,Dispensable
3,160,Core
4,7114,Dispensable
4,5544,Dispensable
3,5690,Dispensable
6,10276,Dispensable
5,14,Core
4,172,Core
4,7233,Dispensable
3,5846,Dispensable
7,9204,Dispensable
2,2322,Dispensable
3,5229,Dispensable
5,6320,Dispensable
4,5821,Dispensable
3,5463,Dispensable
4,5822,Dispensable
3,5694,Dispensable
5,7717,Dispensable
6,8795,Dispensable
8,12221,Dispensable
3,173,Core
3,161,Core
5,7607,Dispensable
7,10669,Dispensable
3,4456,Dispensable
4,5785,Dispensable
7,10655,Dispensable
5,7600,Dispensable
4,6227,Dispensable
5,7294,Dispensable
5,9092,Dispensable
5,7710,Dispensable
5,8352,Dispensable
4,6716,Dispensable
3,5583,Dispensable
3,5508,Dispensable
4,6293,Dispensable
4,7224,Dispensable
6,9964,Dispensable
3,25,Core
4,6116,Dispensable
2,3460,Dispensable
2,3447,Dispensable
2,172,Core
4,7579,Dispensable
6,13,Core
5,8188,Dispensable
4,5453,Dispensable
4,6212,Dispensable
2,680,Core
6,10317,Dispensable
5,7324,Dispensable
6,9002,Dispensable
1,1910,Core
8,11078,Dispensable
4,7103,Dispensable
7,11439,Dispensable
5,8590,Dispensable
4,7102,Dispensable
5,8084,Dispensable
3,4673,Dispensable
8,12,Core
5,8064,Dispensable
9,12600,Dispensable
4,5437,Dispensable
4,6686,Dispensable
4,6112,Dispensable
6,9471,Dispensable
5,162,Core
7,11041,Dispensable
5,7818,Dispensable
5,8946,Dispensable
5,8089,Dispensable
4,7062,Dispensable
6,9240,Dispensable
3,5325,Dispensable
7,10330,Dispensable
3,5174,Dispensable
5,8174,Dispensable
2,3970,Dispensable
6,8464,Dispensable
3,5824,Dispensable
4,6093,Dispensable
5,7352,Dispensable
6,9592,Dispensable
4,7561,Dispensable
4,7330,Dispensable
5,8400,Dispensable
4,6668,Dispensable
7,13,Core
3,4352,Dispensable
4,7217,Dispensable
6,9013,Dispensable
4,7565,Dispensable
5,8442,Dispensable
3,178,Core
5,8700,Dispensable
3,5477,Dispensable
5,8253,Dispensable
6,9548,Dispensable
2,197,Core
5,9071,Dispensable
3,5400,Dispensable
4,6868,Dispensable
3,4807,Dispensable
2,2457,Dispensable
3,4845,Dispensable
3,12,Core
4,164,Core
3,183,Core
5,8746,Dispensable
6,9138,Dispensable
5,8215,Dispensable
4,5609,Dispensable
4,6896,Dispensable
5,7773,Dispensable
7,10706,Dispensable
4,14,Core
4,7072,Dispensable
3,5163,Dispensable
5,6562,Dispensable
4,543,Core
2,1053,Core
4,7038,Dispensable
2,15,Core
3,4938,Dispensable
3,4959,Dispensable
6,8781,Dispensable
2,4013,Dispensable
4,6826,Dispensable
2,4034,Dispensable
6,9565,Dispensable
2,672,Core
5,7862,Dispensable
8,11494,Dispensable
