x,y,Category
5,7687,Total
7,9559,Total
3,5887,Dispensable
3,5889,Dispensable
6,9149,Dispensable
6,10302,Total
6,9928,Total
4,6897,Total
5,8728,Total
5,13,Core
3,5768,Dispensable
4,6268,Dispensable
6,9505,Total
5,8770,Dispensable
4,7210,Total
4,6266,Dispensable
7,10133,Total
1,1888,Total
4,6383,Dispensable
4,6376,Dispensable
5,155,Core
7,9971,Dispensable
6,9380,Dispensable
8,11861,Dispensable
7,9970,Dispensable
7,9984,Dispensable
7,9987,Dispensable
5,7979,Total
5,8782,Total
6,9144,Dispensable
2,13,Core
4,6377,Dispensable
5,8776,Dispensable
5,8765,Dispensable
4,6927,Total
2,173,Core
6,8469,Total
2,3778,Total
3,5644,Dispensable
8,11858,Dispensable
3,5858,Total
5,9126,Total
4,4484,Dispensable
3,5662,Dispensable
4,6930,Total
5,8428,Total
5,8989,Dispensable
6,8861,Total
5,8415,Dispensable
2,3388,Dispensable
4,6151,Dispensable
3,5684,Total
5,9083,Total
6,9377,Dispensable
4,5945,Total
5,6984,Dispensable
4,6156,Dispensable
6,9493,Dispensable
4,6157,Dispensable
2,802,Dispensable
6,8971,Total
3,5785,Dispensable
3,5648,Dispensable
5,8364,Total
4,6677,Total
4,6478,Dispensable
8,11420,Dispensable
4,6179,Total
3,5414,Total
6,10290,Dispensable
6,9591,Dispensable
3,5867,Dispensable
6,8785,Total
5,6763,Dispensable
5,8749,Dispensable
5,8047,Total
6,9012,Dispensable
5,8401,Dispensable
6,9483,Total
5,8632,Dispensable
4,6243,Dispensable
3,5559,Dispensable
7,9393,Total
3,4821,Total
4,7252,Total
6,8207,Total
4,6305,Total
4,7557,Total
5,8743,Dispensable
5,8210,Dispensable
3,15,Core
6,9122,Dispensable
5,8759,Dispensable
2,3963,Total
3,5511,Dispensable
3,5553,Dispensable
6,9124,Dispensable
3,4817,Total
5,8789,Dispensable
6,9166,Dispensable
5,8407,Total
3,3716,Dispensable
3,5799,Total
5,8216,Dispensable
3,5781,Total
6,9168,Dispensable
4,158,Core
6,9183,Total
3,4407,Total
3,5472,Total
8,13,Core
5,8055,Total
4,7607,Dispensable
3,170,Core
3,5736,Dispensable
7,10722,Dispensable
4,6066,Dispensable
6,9171,Dispensable
7,9546,Dispensable
3,5732,Dispensable
4,6009,Dispensable
5,8405,Dispensable
1,1913,Total
5,8426,Dispensable
6,9368,Dispensable
3,5205,Dispensable
5,154,Core
6,9481,Dispensable
4,5933,Dispensable
6,8477,Total
5,6777,Total
2,3612,Total
3,5879,Total
5,7074,Total
4,6143,Dispensable
6,8650,Total
1,2086,Core
5,8825,Total
7,11072,Dispensable
4,5615,Total
6,10274,Dispensable
5,6913,Total
3,5844,Dispensable
4,6070,Dispensable
6,10519,Total
6,8824,Dispensable
5,8758,Total
4,7618,Dispensable
6,8844,Total
2,3103,Dispensable
6,9014,Total
4,5940,Dispensable
6,8837,Total
4,6332,Dispensable
4,6491,Total
5,8419,Total
3,5458,Dispensable
4,5714,Dispensable
9,12612,Total
4,6341,Dispensable
5,8727,Dispensable
7,10656,Dispensable
6,9198,Dispensable
7,9224,Total
5,7297,Dispensable
5,7337,Total
3,5848,Dispensable
3,5002,Dispensable
3,4795,Total
6,9394,Total
4,7397,Total
3,5953,Dispensable
4,7279,Total
5,8722,Dispensable
2,801,Core
4,6255,Total
5,12,Core
5,8351,Dispensable
4,6335,Dispensable
7,10663,Dispensable
6,8939,Dispensable
5,7066,Total
5,7819,Total
2,14,Core
2,764,Core
3,5358,Dispensable
8,11870,Total
5,8363,Total
7,11494,Total
3,5524,Total
3,5499,Total
4,167,Core
4,6203,Total
3,5686,Dispensable
4,160,Core
4,7245,Total
5,8804,Total
3,5505,Dispensable
7,9896,Dispensable
5,8241,Dispensable
5,7331,Total
7,10998,Dispensable
4,6652,Total
5,156,Core
5,8359,Dispensable
4,6855,Total
4,6190,Dispensable
1,1891,Total
3,5836,Total
3,5743,Dispensable
5,9098,Dispensable
7,9217,Total
7,10311,Total
7,10734,Total
6,8786,Total
6,9356,Dispensable
7,10304,Dispensable
6,8831,Dispensable
2,1654,Dispensable
4,7009,Total
5,7610,Total
2,3452,Total
3,5726,Total
6,9474,Dispensable
2,188,Core
4,7518,Dispensable
