x,y,Category,Metric
4,-146.52,Core,Average
4,483.01,Accessory,Average
4,1202.66,Unique,Average
5,-45.45,Core,Average
5,417.74,Accessory,Average
5,1056.27,Unique,Average
6,-10.38,Core,Average
6,441.25,Accessory,Average
6,853.10,Unique,Average
7,-6.47,Core,Average
7,401.99,Accessory,Average
7,887.97,Unique,Average
8,-1.91,Core,Average
8,449.05,Accessory,Average
8,729.01,Unique,Average
9,-0.17,Core,Average
9,487.37,Accessory,Average
9,613.51,Unique,Average
10,-0.15,Core,Average
10,441.59,Accessory,Average
10,676.79,Unique,Average
