x,y,Category,Metric
4,-2.00,Core,Median
4,369.00,Accessory,Median
4,1549.00,Unique,Median
5,0.00,Core,Median
5,215.00,Accessory,Median
5,1319.00,Unique,Median
6,0.00,Core,Median
6,217.00,Accessory,Median
6,1008.00,Unique,Median
7,0.00,Core,Median
7,196.00,Accessory,Median
7,1071.00,Unique,Median
8,0.00,Core,Median
8,196.00,Accessory,Median
8,993.00,Unique,Median
9,0.00,Core,Median
9,196.00,Accessory,Median
9,992.00,Unique,Median
10,0.00,Core,Median
10,196.00,Accessory,Median
10,992.00,Unique,Median
