x,y,Category
3,3331,Core
2,2815,Unique
3,3359,Core
5,4970,Unique
6,8636,Unique
3,1149,Accessory
5,3287,Core
4,385,Core
3,2847,Accessory
4,4100,Accessory
3,1549,Accessory
3,5465,Unique
3,1391,Unique
5,4202,Accessory
5,4302,Accessory
4,8037,Unique
6,4772,Accessory
5,7924,Unique
3,5682,Unique
7,5474,Accessory
3,2078,Core
7,5506,Accessory
3,2631,Unique
1,4932,Core
3,2016,Core
3,1604,Accessory
2,3417,Core
5,3811,Accessory
4,2563,Accessory
4,6602,Unique
3,1565,Accessory
3,7233,Unique
5,8269,Unique
7,3976,Accessory
5,4254,Accessory
5,4702,Accessory
7,4883,Accessory
4,6596,Unique
3,1172,Accessory
5,1993,Core
5,2815,Accessory
4,3256,Core
5,9024,Unique
7,5174,Accessory
5,3314,Core
5,8795,Unique
5,3363,Accessory
4,4497,Unique
4,1999,Core
5,7087,Unique
4,1383,Accessory
2,1137,Unique
5,6033,Unique
3,2062,Core
4,3307,Core
3,3043,Accessory
3,9600,Unique
5,7083,Unique
3,4236,Core
6,4235,Unique
4,3670,Unique
4,4129,Accessory
7,9112,Unique
3,885,Unique
5,4688,Unique
4,390,Core
3,981,Accessory
4,7314,Unique
2,4108,Core
4,2921,Unique
7,5176,Accessory
2,2921,Unique
4,4143,Accessory
4,2420,Accessory
4,1690,Accessory
6,4449,Accessory
3,3029,Accessory
3,3682,Unique
6,1995,Core
4,2667,Accessory
2,1140,Unique
3,2665,Unique
3,3388,Core
2,399,Core
2,396,Core
3,5740,Unique
4,2613,Accessory
3,9351,Unique
3,4970,Unique
3,2071,Core
6,391,Core
4,6629,Unique
4,4549,Accessory
2,405,Core
5,8800,Unique
4,4079,Accessory
5,4036,Accessory
2,4296,Core
4,4863,Unique
4,3058,Accessory
4,9421,Unique
2,21,Unique
3,7626,Unique
3,2087,Core
5,2002,Unique
5,5358,Accessory
2,4303,Core
3,9458,Unique
5,3100,Accessory
2,2922,Unique
6,1986,Core
5,4622,Accessory
4,2006,Core
4,4556,Accessory
4,2467,Unique
3,2091,Core
5,9139,Unique
3,4018,Accessory
6,4792,Accessory
4,3336,Core
4,5906,Unique
6,4819,Unique
2,2734,Unique
6,7817,Unique
5,4615,Accessory
3,3744,Unique
4,1994,Accessory
4,4503,Unique
5,3262,Core
2,395,Core
5,4250,Accessory
6,9263,Unique
5,2012,Core
5,6677,Unique
2,1417,Unique
4,1987,Accessory
5,6078,Unique
3,3820,Unique
3,2286,Unique
5,4300,Accessory
6,4745,Accessory
3,2025,Core
4,2622,Accessory
4,3220,Accessory
2,5318,Unique
6,5440,Accessory
2,3404,Core
6,4827,Unique
5,2337,Unique
2,3398,Core
3,5094,Unique
3,2069,Core
3,1583,Accessory
4,9208,Unique
4,6948,Unique
2,5119,Unique
2,9219,Unique
5,4339,Unique
4,2042,Accessory
3,390,Core
3,2668,Unique
4,9386,Unique
4,5706,Unique
4,1996,Core
4,3240,Accessory
7,9120,Unique
4,2887,Accessory
5,7601,Unique
4,2063,Core
6,4495,Accessory
3,5468,Unique
5,2237,Accessory
4,2761,Unique
4,3917,Accessory
4,2586,Accessory
7,6496,Unique
3,3528,Unique
3,3907,Accessory
3,3974,Accessory
4,4743,Unique
5,7962,Unique
5,1996,Core
3,2299,Unique
4,4569,Accessory
5,6519,Unique
4,1450,Accessory
3,1195,Accessory
5,3335,Accessory
4,6773,Unique
3,5088,Unique
5,6782,Unique
5,4344,Unique
3,3332,Core
4,2003,Core
5,6777,Unique
3,2673,Unique
4,3272,Core
3,5736,Unique
6,3560,Accessory
5,385,Core
3,644,Accessory
3,2526,Unique
3,3334,Core
4,4106,Accessory
4,3234,Accessory
2,8476,Unique
3,385,Core
4,391,Core
4,3907,Accessory
3,3006,Accessory
5,3954,Unique
2,3390,Core
4,6990,Unique
6,4550,Unique
5,2003,Core
5,3482,Unique
3,3297,Core
3,3020,Accessory
4,8113,Unique
6,3247,Accessory
4,6848,Unique
4,2770,Unique
4,4069,Accessory
4,4130,Accessory
5,9145,Unique
5,4275,Accessory
3,3344,Core
6,7775,Unique
6,9276,Unique
5,5552,Unique
2,4364,Core
4,2056,Core
3,7234,Unique
4,3922,Accessory
3,1541,Accessory
4,2577,Accessory
6,8248,Unique
3,5429,Unique
4,384,Core
6,5388,Accessory
4,2600,Accessory
6,8259,Unique
4,6980,Unique
5,392,Core
3,5124,Unique
5,3248,Core
6,5895,Unique
3,2343,Accessory
