x,y,Category
2,1355,Dispensable
3,3331,Core
3,3979,Dispensable
3,3359,Core
4,10724,Dispensable
5,3287,Core
4,385,Core
3,3860,Dispensable
2,5172,Dispensable
4,10954,Dispensable
3,6553,Dispensable
3,2078,Core
1,4932,Core
3,2016,Core
4,7388,Dispensable
4,12979,Dispensable
2,3417,Core
3,3858,Dispensable
5,13536,Dispensable
5,1993,Core
2,8738,Dispensable
4,3256,Core
4,10729,Dispensable
5,3314,Core
3,6653,Dispensable
4,4369,Dispensable
3,6651,Dispensable
4,1999,Core
3,2062,Core
4,3307,Core
3,4236,Core
4,390,Core
6,13872,Dispensable
2,4108,Core
3,11190,Dispensable
4,12505,Dispensable
5,10731,Dispensable
6,1995,Core
3,11193,Dispensable
5,13412,Dispensable
3,1956,Dispensable
3,3388,Core
3,1953,Dispensable
2,399,Core
2,396,Core
4,7285,Dispensable
4,7283,Dispensable
3,2071,Core
6,13996,Dispensable
6,391,Core
4,10747,Dispensable
6,12546,Dispensable
2,1140,Dispensable
3,9375,Dispensable
2,405,Core
3,9379,Dispensable
6,11995,Dispensable
2,4296,Core
3,2087,Core
4,4144,Dispensable
2,8872,Dispensable
2,8883,Dispensable
4,4210,Dispensable
2,4303,Core
5,11079,Dispensable
4,12085,Dispensable
6,1986,Core
4,2006,Core
3,2091,Core
5,12539,Dispensable
6,13215,Dispensable
5,12664,Dispensable
6,13755,Dispensable
2,2922,Dispensable
4,3336,Core
2,3003,Dispensable
4,12192,Dispensable
4,11072,Dispensable
5,3262,Core
2,395,Core
3,2932,Dispensable
5,2012,Core
3,3735,Dispensable
4,3683,Dispensable
5,7674,Dispensable
3,9460,Dispensable
5,7672,Dispensable
3,8888,Dispensable
3,2025,Core
2,3404,Core
2,1137,Dispensable
5,4830,Dispensable
6,8378,Dispensable
2,3398,Core
3,2069,Core
5,7530,Dispensable
4,3487,Dispensable
3,390,Core
3,3788,Dispensable
4,1996,Core
4,7467,Dispensable
3,6975,Dispensable
3,1149,Dispensable
4,2063,Core
4,12442,Dispensable
2,8785,Dispensable
3,6087,Dispensable
3,9656,Dispensable
5,1996,Core
5,7293,Dispensable
3,3396,Dispensable
5,10910,Dispensable
7,13726,Dispensable
5,11436,Dispensable
4,6728,Dispensable
3,3332,Core
4,2003,Core
3,10259,Dispensable
4,3272,Core
5,385,Core
4,1964,Dispensable
3,3334,Core
4,12600,Dispensable
5,11291,Dispensable
5,4153,Dispensable
3,385,Core
4,391,Core
6,13586,Dispensable
7,13593,Dispensable
6,13719,Dispensable
6,11443,Dispensable
4,7343,Dispensable
5,13212,Dispensable
2,3390,Core
3,6486,Dispensable
5,2003,Core
3,3297,Core
4,10666,Dispensable
3,3344,Core
5,11704,Dispensable
5,11398,Dispensable
4,6198,Dispensable
2,4364,Core
4,2056,Core
4,9382,Dispensable
4,7125,Dispensable
4,384,Core
4,3868,Dispensable
3,3663,Dispensable
6,7834,Dispensable
5,392,Core
5,3248,Core
5,10673,Dispensable
3,5327,Dispensable
4,12656,Dispensable
4,2071,Core
4,4103,Dispensable
6,12001,Dispensable
3,10169,Dispensable
4,7521,Dispensable
6,3231,Core
4,4145,Dispensable
3,10093,Dispensable
4,7068,Dispensable
3,4294,Core
6,8088,Dispensable
2,1417,Dispensable
2,5119,Dispensable
5,390,Core
7,384,Core
4,7070,Dispensable
5,12195,Dispensable
5,11573,Dispensable
6,1983,Core
3,393,Core
5,11442,Dispensable
3,5812,Dispensable
5,7789,Dispensable
5,12608,Dispensable
7,14003,Dispensable
3,4228,Core
4,11077,Dispensable
4,3796,Dispensable
4,10902,Dispensable
2,2094,Core
3,11128,Dispensable
4,3406,Dispensable
5,6564,Dispensable
4,2013,Core
1,4726,Core
4,12188,Dispensable
3,3352,Core
6,13458,Dispensable
2,2734,Dispensable
7,12002,Dispensable
2,5315,Dispensable
5,4831,Dispensable
5,7826,Dispensable
4,10262,Dispensable
6,7797,Dispensable
4,11139,Dispensable
6,383,Core
4,11231,Dispensable
6,11399,Dispensable
7,14288,Dispensable
1,4800,Core
2,8476,Dispensable
5,1995,Core
5,384,Core
3,5803,Dispensable
5,3239,Core
2,4927,Core
3,3477,Dispensable
4,4502,Dispensable
3,3013,Dispensable
4,11004,Dispensable
3,3479,Dispensable
4,4504,Dispensable
4,2062,Core
3,10330,Dispensable
3,10335,Dispensable
3,3485,Dispensable
3,391,Core
4,10338,Dispensable
3,386,Core
2,21,Dispensable
4,11342,Dispensable
5,13044,Dispensable
4,3263,Core
5,4113,Dispensable
6,385,Core
7,14294,Dispensable
5,13049,Dispensable
2,4399,Core
2,3300,Dispensable
5,2010,Core
5,4219,Dispensable
6,13051,Dispensable
7,390,Core
3,6718,Dispensable
4,2012,Core
3,4397,Core
3,3341,Core
5,10128,Dispensable
4,6661,Dispensable
3,6188,Dispensable
6,390,Core
4,3249,Core
5,1986,Core
5,13059,Dispensable
8,383,Core
4,3351,Core
4,2008,Core
7,1983,Core
3,3337,Core
6,4839,Dispensable
2,5647,Dispensable
3,11337,Dispensable
4,12929,Dispensable
1,5283,Core
2,1414,Dispensable
2,2146,Core
5,11141,Dispensable
5,13008,Dispensable
1,4786,Core
4,3322,Core
3,11333,Dispensable
3,3308,Core
5,11699,Dispensable
4,10907,Dispensable
6,1990,Core
3,5815,Dispensable
3,3320,Core
4,11134,Dispensable
4,383,Core
2,394,Core
3,10254,Dispensable
5,2056,Core
2,4406,Core
3,3673,Dispensable
4,2020,Core
8,14295,Dispensable
4,6557,Dispensable
4,9761,Dispensable
5,7476,Dispensable
6,2003,Core
6,13591,Dispensable
3,11671,Dispensable
4,10121,Dispensable
4,2001,Core
4,10671,Dispensable
4,6555,Dispensable
3,6720,Dispensable
5,2002,Core
1,0,Dispensable
2,2087,Core
4,7118,Dispensable
3,10585,Dispensable
1,4560,Core
5,7827,Dispensable
4,7116,Dispensable
4,392,Core
5,8079,Dispensable
2,5318,Dispensable
3,3786,Dispensable
2,3416,Core
3,2020,Core
4,7469,Dispensable
2,9219,Dispensable
2,2098,Core
5,11286,Dispensable
5,7949,Dispensable
5,13456,Dispensable
5,11811,Dispensable
3,3315,Core
4,5822,Dispensable
3,387,Core
5,383,Core
6,13725,Dispensable
4,3288,Core
7,8386,Dispensable
3,3398,Dispensable
2,3396,Core
1,4943,Core
3,2019,Core
6,1989,Core
2,2140,Core
4,11819,Dispensable
5,7790,Dispensable
4,2017,Core
4,11808,Dispensable
6,11293,Dispensable
5,2001,Core
2,1421,Dispensable
3,389,Core
4,11804,Dispensable
3,2029,Core
4,4227,Core
3,3303,Core
4,12661,Dispensable
5,7077,Dispensable
7,383,Core
5,13003,Dispensable
3,10652,Dispensable
6,384,Core
3,392,Core
5,8081,Dispensable
6,14001,Dispensable
4,3270,Core
5,11392,Dispensable
4,3295,Core
1,4851,Core
2,393,Core
6,13010,Dispensable
4,12605,Dispensable
5,13451,Dispensable
2,3418,Core
3,1426,Dispensable
6,7681,Dispensable
5,13287,Dispensable
3,2009,Core
5,13207,Dispensable
6,13749,Dispensable
4,7523,Dispensable
5,391,Core
3,9758,Dispensable
5,2006,Core
4,4211,Dispensable
5,1999,Core
5,3232,Core
4,2009,Core
5,7125,Dispensable
2,3002,Dispensable
3,2027,Core
2,8714,Dispensable
4,4105,Dispensable
7,13756,Dispensable
3,9754,Dispensable
4,3333,Core
3,6191,Dispensable
2,2921,Dispensable
5,12544,Dispensable
5,4512,Dispensable
3,394,Core
2,5066,Dispensable
4,2019,Core
5,1989,Core
2,2815,Dispensable
4,3315,Core
4,7606,Dispensable
3,7033,Dispensable
5,13407,Dispensable
3,3672,Dispensable
4,10126,Dispensable
5,13324,Dispensable
2,3237,Dispensable
3,3396,Core
6,8379,Dispensable
6,11706,Dispensable
6,13414,Dispensable
2,3426,Core
2,3390.0,Median
8,14295.0,Median
2,3300.0,Median
4,8408.0,Median
5,10718.0,Median
3,6645.0,Median
7,383.0,Median
6,12537.0,Median
1,4800.0,Median
1,0.0,Median
4,392.0,Median
7,14013.0,Median
8,383.0,Median
6,385.0,Median
3,2027.0,Median
5,390.0,Median
