x,y,Category
2,1355,Dispensable
3,3331,Core
6,14384,Total
5,13595,Total
3,3979,Dispensable
4,9529,Total
3,6816,Total
3,7881,Total
3,6328,Total
3,3359,Core
4,6739,Total
5,9793,Total
4,10724,Dispensable
6,14108,Total
3,10146,Total
3,7894,Total
5,3287,Core
4,385,Core
3,3860,Dispensable
2,5172,Dispensable
4,9133,Total
4,10954,Dispensable
3,7197,Total
3,6553,Dispensable
3,2078,Core
6,10368,Total
1,4932,Core
3,2016,Core
1,4800,Total
4,7388,Dispensable
4,12979,Dispensable
2,3417,Core
3,3858,Dispensable
4,12988,Total
3,8734,Total
4,7354,Total
5,13536,Dispensable
6,12096,Total
5,9531,Total
4,11345,Total
5,1993,Core
3,8578,Total
2,8738,Dispensable
3,5443,Total
5,13386,Total
4,3256,Core
4,10729,Dispensable
5,11964,Total
5,3314,Core
3,6792,Total
3,6653,Dispensable
4,4369,Dispensable
6,12391,Total
5,11782,Total
3,6651,Dispensable
4,1999,Core
4,7772,Total
3,2062,Core
4,3307,Core
3,4236,Core
4,390,Core
6,13872,Dispensable
2,4108,Core
3,11190,Dispensable
4,9524,Total
4,12505,Dispensable
5,7361,Total
5,10731,Dispensable
6,1995,Core
5,13443,Total
3,11193,Dispensable
5,9083,Total
5,13412,Dispensable
3,1956,Dispensable
3,3388,Core
3,1953,Dispensable
2,399,Core
6,11789,Total
2,396,Core
4,7285,Dispensable
4,12983,Total
7,14671,Total
4,7283,Dispensable
4,12890,Total
3,2071,Core
6,13996,Dispensable
6,391,Core
6,13842,Total
4,10747,Dispensable
6,12546,Dispensable
2,1140,Dispensable
2,5436,Total
4,7466,Total
3,10562,Total
3,9375,Dispensable
5,13840,Total
2,405,Core
3,9379,Dispensable
6,11995,Dispensable
2,4296,Core
3,2087,Core
5,9828,Total
6,8070,Total
4,4144,Dispensable
2,5440,Total
2,8872,Dispensable
2,8883,Dispensable
4,4210,Dispensable
4,7204,Total
2,4303,Core
5,11079,Dispensable
4,12085,Dispensable
4,11530,Total
6,1986,Core
4,2006,Core
4,11525,Total
6,9800,Total
3,2091,Core
5,12539,Dispensable
6,13215,Dispensable
2,5820,Total
5,12664,Dispensable
6,13755,Dispensable
2,2922,Dispensable
4,3336,Core
4,12204,Total
2,3003,Dispensable
4,12192,Dispensable
4,11072,Dispensable
5,3262,Core
1,5283,Total
2,395,Core
4,11061,Total
3,2932,Dispensable
4,9076,Total
5,2012,Core
3,3735,Dispensable
4,3683,Dispensable
5,7674,Dispensable
3,9460,Dispensable
3,6401,Total
5,13590,Total
4,7641,Total
4,7884,Total
5,7672,Dispensable
6,13435,Total
3,8888,Dispensable
4,10518,Total
3,2025,Core
4,7359,Total
4,9486,Total
5,12929,Total
4,11120,Total
2,3404,Core
5,12991,Total
3,10644,Total
2,1137,Dispensable
5,4830,Dispensable
6,8378,Dispensable
2,3398,Core
4,11115,Total
3,2069,Core
5,7530,Dispensable
5,11300,Total
4,3487,Dispensable
3,390,Core
3,8729,Total
5,7506,Total
3,3788,Dispensable
4,1996,Core
4,7467,Dispensable
3,6975,Dispensable
3,1149,Dispensable
3,9767,Total
4,6978,Total
4,8269,Total
4,2063,Core
4,12442,Dispensable
4,11056,Total
5,9124,Total
2,8785,Dispensable
5,13670,Total
3,6087,Dispensable
4,10513,Total
3,9656,Dispensable
5,1996,Core
3,8515,Total
5,7293,Dispensable
3,3396,Dispensable
2,6233,Total
3,8673,Total
4,7505,Total
2,9181,Total
5,10910,Dispensable
7,13726,Dispensable
3,10150,Total
5,11436,Dispensable
1,4851,Total
4,6728,Dispensable
3,3332,Core
4,2003,Core
5,13391,Total
3,10259,Dispensable
4,3272,Core
5,385,Core
4,1964,Dispensable
3,3334,Core
2,6398,Total
3,9281,Total
6,12931,Total
4,12600,Dispensable
5,11291,Dispensable
5,4153,Dispensable
6,14133,Total
3,385,Core
4,391,Core
6,13586,Dispensable
7,13593,Dispensable
6,13719,Dispensable
6,11443,Dispensable
4,7343,Dispensable
4,8613,Total
5,13212,Dispensable
2,3390,Core
2,5529,Total
3,6486,Dispensable
5,2003,Core
3,3297,Core
4,10666,Dispensable
3,8678,Total
3,3344,Core
5,11704,Dispensable
5,11398,Dispensable
4,6198,Dispensable
2,4364,Core
4,2056,Core
4,10729,Total
3,7414,Total
4,9382,Dispensable
4,7125,Dispensable
4,384,Core
4,3868,Dispensable
1,4786,Total
3,3663,Dispensable
6,7834,Dispensable
2,6393,Total
5,392,Core
5,3248,Core
4,12573,Total
5,10673,Dispensable
3,5327,Dispensable
4,12193,Total
4,12656,Dispensable
4,2071,Core
5,9289,Total
5,13919,Total
6,9829,Total
4,4103,Dispensable
6,12001,Dispensable
3,10169,Dispensable
4,7521,Dispensable
6,3231,Core
4,4145,Dispensable
5,13708,Total
3,10093,Dispensable
4,7068,Dispensable
6,13969,Total
3,4294,Core
4,7460,Total
2,9614,Total
6,8088,Dispensable
2,1417,Dispensable
4,9481,Total
6,13974,Total
3,7299,Total
5,13433,Total
6,11683,Total
2,5119,Dispensable
5,13428,Total
6,12385,Total
5,390,Core
2,7265,Total
4,12189,Total
7,384,Core
4,7070,Dispensable
5,13048,Total
5,12195,Dispensable
5,11573,Dispensable
6,1983,Core
6,9667,Total
3,393,Core
5,11442,Dispensable
3,5812,Dispensable
5,7789,Dispensable
5,12608,Dispensable
7,14003,Dispensable
7,14386,Total
3,4228,Core
4,11077,Dispensable
4,3796,Dispensable
3,7145,Total
3,9002,Total
3,11722,Total
5,11532,Total
2,7266,Total
4,10902,Dispensable
5,7774,Total
2,2094,Core
4,12470,Total
3,11128,Dispensable
4,3406,Dispensable
5,6564,Dispensable
4,2013,Core
1,4726,Core
4,12188,Dispensable
3,3352,Core
6,13458,Dispensable
7,14109,Total
2,2734,Dispensable
3,9052,Total
7,12002,Dispensable
2,5315,Dispensable
5,4831,Dispensable
5,7826,Dispensable
3,11718,Total
4,10262,Dispensable
1,4726,Total
6,7797,Dispensable
4,11139,Dispensable
6,383,Core
4,11231,Dispensable
6,11399,Dispensable
7,14288,Dispensable
1,4800,Core
2,8476,Dispensable
5,1995,Core
5,384,Core
6,10362,Total
2,6160,Total
3,5803,Dispensable
5,3239,Core
3,9771,Total
3,11046,Total
2,4927,Core
3,3477,Dispensable
4,4502,Dispensable
3,3013,Dispensable
5,11469,Total
4,11004,Dispensable
3,3479,Dispensable
4,4504,Dispensable
3,7202,Total
4,2062,Core
5,11788,Total
3,10330,Dispensable
5,10075,Total
3,10335,Dispensable
3,3485,Dispensable
3,391,Core
2,6717,Total
4,10338,Dispensable
6,11834,Total
4,12577,Total
3,386,Core
4,10153,Total
6,13797,Total
2,21,Dispensable
4,11342,Dispensable
5,13044,Dispensable
2,6653,Total
4,3263,Core
1,4932,Total
3,12057,Total
3,7067,Total
5,4113,Dispensable
6,385,Core
7,14294,Dispensable
2,7206,Total
2,7409,Total
5,13049,Dispensable
3,8266,Total
2,4399,Core
5,13790,Total
2,9132,Total
3,10485,Total
7,14677,Total
2,3300,Dispensable
5,2010,Core
5,4219,Dispensable
6,13051,Dispensable
7,390,Core
3,6718,Dispensable
1,4943,Total
4,2012,Core
3,4397,Core
3,3341,Core
5,10128,Dispensable
7,10369,Total
1,4560,Total
2,9276,Total
4,6661,Dispensable
3,7022,Total
3,6188,Dispensable
3,7140,Total
6,390,Core
4,3249,Core
4,7499,Total
5,1986,Core
5,13059,Dispensable
4,9081,Total
4,8618,Total
8,383,Core
4,3351,Core
4,2008,Core
7,1983,Core
3,3337,Core
6,10077,Total
6,4839,Dispensable
2,5647,Dispensable
3,11337,Dispensable
4,12929,Dispensable
1,5283,Core
2,1414,Dispensable
2,2146,Core
6,14139,Total
4,9360,Total
5,11141,Dispensable
5,13008,Dispensable
1,4786,Core
4,3322,Core
2,9113,Total
3,11333,Dispensable
3,3308,Core
4,13045,Total
5,13835,Total
5,11699,Dispensable
4,10907,Dispensable
6,1990,Core
3,5815,Dispensable
3,3320,Core
5,9945,Total
4,11134,Dispensable
4,383,Core
3,6732,Total
3,6975,Total
2,394,Core
4,11467,Total
3,10254,Dispensable
6,14379,Total
4,6191,Total
5,2056,Core
2,4406,Core
3,3673,Dispensable
4,2020,Core
8,14295,Dispensable
4,6557,Dispensable
4,9761,Dispensable
5,7476,Dispensable
5,12580,Total
6,2003,Core
6,13591,Dispensable
3,11671,Dispensable
4,10121,Dispensable
4,2001,Core
4,6794,Total
4,11139,Total
4,10671,Dispensable
4,6555,Dispensable
3,6720,Dispensable
5,2002,Core
3,10726,Total
1,0,Dispensable
2,2087,Core
5,11676,Total
4,7118,Dispensable
5,10070,Total
3,10585,Dispensable
5,11681,Total
1,4560,Core
2,5816,Total
5,7827,Dispensable
4,7116,Dispensable
4,392,Core
5,8079,Dispensable
2,5318,Dispensable
5,9799,Total
2,9265,Total
3,3786,Dispensable
5,8063,Total
2,3416,Core
3,2020,Core
4,8681,Total
4,7469,Dispensable
2,9219,Dispensable
2,2098,Core
2,4948,Total
5,11286,Dispensable
5,7949,Dispensable
5,13456,Dispensable
4,11622,Total
5,11811,Dispensable
6,13598,Total
3,5823,Total
3,3315,Core
4,5822,Dispensable
3,387,Core
5,11063,Total
3,11577,Total
5,383,Core
5,9665,Total
6,13725,Dispensable
4,9281,Total
4,3288,Core
2,7745,Total
7,8386,Dispensable
3,11517,Total
3,3398,Dispensable
7,14140,Total
2,3396,Core
1,4943,Core
3,2019,Core
6,1989,Core
2,2140,Core
3,8158,Total
4,11819,Dispensable
5,7790,Dispensable
2,8881,Total
2,7405,Total
4,2017,Core
4,11808,Dispensable
6,11293,Dispensable
5,2001,Core
4,8737,Total
4,11292,Total
2,1421,Dispensable
3,6189,Total
3,389,Core
4,11804,Dispensable
3,2029,Core
4,4227,Core
3,3303,Core
4,12661,Dispensable
5,7077,Dispensable
7,383,Core
5,13003,Dispensable
4,11396,Total
4,10652,Total
3,10652,Dispensable
4,9286,Total
6,384,Core
7,13976,Total
3,392,Core
5,10520,Total
2,6325,Total
3,10976,Total
5,8081,Dispensable
3,7877,Total
8,14678,Total
6,14001,Dispensable
4,3270,Core
5,11392,Dispensable
4,3295,Core
4,11297,Total
4,7147,Total
5,8069,Total
4,7767,Total
3,6184,Total
1,4851,Core
5,12196,Total
2,393,Core
6,13010,Dispensable
4,12605,Dispensable
5,13451,Dispensable
7,12392,Total
6,14255,Total
2,3418,Core
3,1426,Dispensable
6,7681,Dispensable
5,13287,Dispensable
5,13795,Total
3,2009,Core
5,13207,Dispensable
5,7467,Total
3,6970,Total
4,11462,Total
6,13749,Dispensable
4,7523,Dispensable
4,11727,Total
3,6737,Total
3,6787,Total
5,391,Core
3,9758,Dispensable
4,9396,Total
4,13312,Total
5,2006,Core
2,6320,Total
5,11122,Total
3,10721,Total
4,4211,Dispensable
3,9853,Total
5,1999,Core
5,3232,Core
4,2009,Core
5,7125,Dispensable
2,3002,Dispensable
4,9774,Total
3,2027,Core
5,8620,Total
2,8714,Dispensable
4,4105,Dispensable
7,13756,Dispensable
3,9754,Dispensable
4,3333,Core
3,6191,Dispensable
5,9488,Total
2,2921,Dispensable
5,12544,Dispensable
5,4512,Dispensable
3,10649,Total
3,394,Core
2,5066,Dispensable
4,9609,Total
3,8262,Total
4,2019,Core
5,1989,Core
4,12826,Total
2,2815,Dispensable
5,11827,Total
4,3315,Core
5,12924,Total
4,7606,Dispensable
2,5719,Total
3,7033,Dispensable
4,13364,Total
5,9660,Total
5,13407,Dispensable
3,11579,Total
3,10049,Total
3,3672,Dispensable
4,10126,Dispensable
5,11833,Total
5,12094,Total
5,9822,Total
6,13393,Total
5,13324,Dispensable
2,3237,Dispensable
3,3396,Core
6,8379,Dispensable
4,13040,Total
6,11706,Dispensable
4,9122,Total
5,12089,Total
6,13414,Dispensable
6,14102,Total
2,3426,Core
4,9117,Total
2,3390.0,Median
8,14295.0,Median
8,14678.0,Median
2,3300.0,Median
6,12922.0,Median
2,6690.0,Median
4,8408.0,Median
5,10718.0,Median
3,6645.0,Median
3,8672.0,Median
7,383.0,Median
4,8800.0,Median
6,12537.0,Median
1,4800.0,Median
5,11108.0,Median
1,0.0,Median
4,392.0,Median
7,14013.0,Median
8,383.0,Median
7,14396.0,Median
6,385.0,Median
3,2027.0,Median
5,390.0,Median
