Two overviews of homology group sizes based on number of proteins and number of genomes
#Group size based on number of proteins, occurrences
1, 1837
2, 669
3, 441
4, 226
5, 189
6, 155
7, 212
8, 167
9, 152
10, 112
11, 77
12, 79
13, 63
14, 44
15, 39
16, 42
17, 51
18, 42
19, 44
20, 37
21, 30
22, 31
23, 39
24, 20
25, 21
26, 22
27, 24
28, 24
29, 18
30, 27
31, 21
32, 11
33, 15
34, 21
35, 12
36, 12
37, 22
38, 11
39, 8
40, 10
41, 9
42, 13
43, 9
44, 4
45, 5
46, 15
47, 9
48, 13
49, 16
50, 11
51, 6
52, 4
53, 5
54, 3
55, 8
56, 5
57, 14
58, 9
59, 9
60, 9
61, 4
62, 12
63, 10
64, 9
65, 10
66, 9
67, 3
68, 4
69, 5
70, 7
71, 10
72, 5
73, 10
74, 9
75, 6
76, 5
77, 7
78, 8
79, 6
80, 8
81, 19
82, 17
83, 18
84, 27
85, 24
86, 45
87, 173
88, 1039
89, 81
90, 19
91, 8
92, 2
93, 7
94, 2
95, 2
96, 2
97, 1
98, 2
99, 2
100, 1
107, 3
109, 1
120, 1
122, 1
137, 1
167, 1
189, 1
248, 1
305, 1
365, 1


#Group size based on number of genomes (maximum of 88), occurrences
1, 1868
2, 664
3, 432
4, 222
5, 192
6, 169
7, 199
8, 165
9, 160
10, 114
11, 84
12, 76
13, 61
14, 44
15, 37
16, 43
17, 50
18, 43
19, 42
20, 33
21, 27
22, 36
23, 39
24, 15
25, 19
26, 24
27, 25
28, 22
29, 19
30, 25
31, 19
32, 8
33, 18
34, 22
35, 14
36, 10
37, 22
38, 9
39, 8
40, 10
41, 9
42, 11
43, 9
44, 7
45, 8
46, 14
47, 7
48, 12
49, 17
50, 9
51, 6
52, 5
53, 3
54, 3
55, 9
56, 7
57, 15
58, 9
59, 8
60, 7
61, 4
62, 14
63, 8
64, 11
65, 7
66, 10
67, 5
68, 5
69, 5
70, 12
71, 7
72, 7
73, 10
74, 10
75, 2
76, 5
77, 7
78, 7
79, 6
80, 11
81, 18
82, 18
83, 21
84, 34
85, 26
86, 50
87, 192
88, 1127
