x,y,Category
61,5021,Dispensable
85,5654,Dispensable
10,2186,Dispensable
29,1240,Core
68,5321,Dispensable
20,1260,Core
52,4721,Dispensable
55,4982,Dispensable
76,5593,Dispensable
21,3686,Dispensable
73,5332,Dispensable
73,5343,Dispensable
47,4710,Dispensable
59,5260,Dispensable
56,1175,Core
67,4951,Dispensable
43,4428,Dispensable
29,4367,Dispensable
58,4890,Dispensable
19,3009,Dispensable
64,5271,Dispensable
44,4802,Dispensable
65,5413,Dispensable
70,5424,Dispensable
70,5435,Dispensable
5,1040,Dispensable
6,1502,Dispensable
25,3714,Dispensable
79,5269,Dispensable
61,5010,Dispensable
85,5665,Dispensable
35,1237,Core
3,1603,Core
51,4347,Dispensable
61,5385,Dispensable
70,1158,Core
36,3894,Dispensable
21,3697,Dispensable
48,1189,Core
46,4678,Dispensable
7,2247,Dispensable
76,5251,Dispensable
2,809,Dispensable
31,4360,Dispensable
37,1283,Core
33,3633,Dispensable
8,2621,Dispensable
40,4421,Dispensable
30,3736,Dispensable
16,1345,Core
6,1541,Core
30,3758,Dispensable
53,1237,Core
6,1877,Dispensable
11,2317,Dispensable
4,1498,Core
31,4106,Dispensable
74,1175,Core
60,4640,Dispensable
19,3329,Dispensable
43,4682,Dispensable
37,4264,Dispensable
27,3480,Dispensable
25,3747,Dispensable
60,4971,Dispensable
15,2963,Dispensable
46,4325,Dispensable
12,2702,Dispensable
5,1360,Dispensable
52,4743,Dispensable
30,3405,Dispensable
42,4275,Dispensable
41,1252,Core
59,5282,Dispensable
49,4586,Dispensable
43,4417,Dispensable
64,5039,Dispensable
38,4406,Dispensable
58,4647,Dispensable
17,1424,Core
70,5457,Dispensable
44,4824,Dispensable
65,1240,Core
24,3274,Dispensable
34,4389,Dispensable
66,1189,Core
77,1167,Core
15,2952,Dispensable
26,1302,Core
11,1382,Core
37,1208,Core
52,4809,Dispensable
52,5059,Dispensable
52,4754,Dispensable
34,3808,Dispensable
45,1197,Core
11,2560,Dispensable
45,4194,Dispensable
34,4014,Dispensable
6,1844,Dispensable
40,4432,Dispensable
34,4058,Dispensable
61,4815,Dispensable
60,4673,Dispensable
44,1190,Core
18,3187,Dispensable
34,1291,Core
63,4989,Dispensable
22,3508,Dispensable
61,5065,Dispensable
28,3942,Dispensable
20,2996,Dispensable
56,4804,Dispensable
79,5589,Dispensable
46,4303,Dispensable
6,1204,Dispensable
72,5289,Dispensable
28,4181,Dispensable
74,5507,Dispensable
48,1261,Core
63,4636,Dispensable
30,4284,Dispensable
64,5017,Dispensable
64,5006,Dispensable
42,1259,Core
29,4323,Dispensable
11,2240,Dispensable
18,2893,Dispensable
70,5479,Dispensable
10,2153,Dispensable
6,1546,Dispensable
65,5446,Dispensable
23,3176,Dispensable
55,4717,Dispensable
61,5341,Dispensable
34,1216,Core
43,4362,Dispensable
36,3872,Dispensable
44,4504,Dispensable
7,2269,Dispensable
42,3992,Dispensable
56,5054,Dispensable
56,5032,Dispensable
45,4161,Dispensable
18,2948,Dispensable
21,3046,Dispensable
28,3699,Dispensable
65,5435,Dispensable
11,2648,Dispensable
53,4918,Dispensable
26,3801,Dispensable
20,2974,Dispensable
3,1318,Dispensable
56,5109,Dispensable
2,754,Dispensable
46,4590,Dispensable
11,1436,Core
22,1414,Core
51,4689,Dispensable
82,5691,Dispensable
76,5571,Dispensable
49,1268,Core
42,4286,Dispensable
70,5402,Dispensable
16,3333,Dispensable
47,4732,Dispensable
73,5365,Dispensable
46,4976,Dispensable
41,1310,Core
34,3720,Dispensable
44,1302,Core
7,2192,Dispensable
19,3296,Dispensable
19,3285,Dispensable
13,2381,Dispensable
14,2523,Dispensable
38,4671,Dispensable
13,1353,Core
24,1331,Core
36,1258,Core
24,3638,Dispensable
28,3600,Dispensable
75,1196,Core
14,2854,Dispensable
52,1291,Core
15,2930,Dispensable
72,5278,Dispensable
52,4776,Dispensable
71,1179,Core
1,2064,Core
9,1404,Core
76,5240,Dispensable
11,2582,Dispensable
33,3644,Dispensable
34,4036,Dispensable
24,3307,Dispensable
56,1229,Core
63,4967,Dispensable
18,2959,Dispensable
37,4584,Dispensable
58,5173,Dispensable
59,4756,Dispensable
27,3888,Dispensable
21,3068,Dispensable
56,4848,Dispensable
70,5391,Dispensable
35,4123,Dispensable
20,3235,Dispensable
16,2807,Dispensable
45,4249,Dispensable
12,1457,Core
7,1611,Dispensable
23,3143,Dispensable
31,3834,Dispensable
52,4456,Dispensable
2,776,Dispensable
5,1415,Dispensable
62,5472,Dispensable
38,4031,Dispensable
29,1355,Core
13,3149,Dispensable
61,1165,Core
25,3681,Dispensable
18,3485,Dispensable
18,3474,Dispensable
30,4251,Dispensable
6,2138,Dispensable
83,1168,Core
15,2334,Dispensable
17,1366,Core
34,1230,Core
69,5430,Dispensable
61,5098,Dispensable
7,1600,Dispensable
15,1395,Core
68,5398,Dispensable
10,1361,Core
3,1230,Dispensable
51,4634,Dispensable
41,4199,Dispensable
40,1227,Core
22,3795,Dispensable
50,4922,Dispensable
75,5484,Dispensable
43,4715,Dispensable
50,4900,Dispensable
55,5265,Dispensable
2,1653,Core
44,4526,Dispensable
56,5076,Dispensable
63,4956,Dispensable
63,4934,Dispensable
8,1386,Core
40,4487,Dispensable
20,3257,Dispensable
27,3866,Dispensable
35,4145,Dispensable
20,3213,Dispensable
59,5326,Dispensable
63,5162,Dispensable
80,5605,Dispensable
79,5567,Dispensable
21,1281,Core
39,1312,Core
66,5070,Dispensable
38,4053,Dispensable
47,4467,Dispensable
49,4884,Dispensable
53,5080,Dispensable
42,4231,Dispensable
71,5081,Dispensable
81,5317,Dispensable
33,1270,Core
25,3449,Dispensable
8,2323,Dispensable
78,1188,Core
11,2615,Dispensable
54,4542,Dispensable
20,3268,Dispensable
63,5195,Dispensable
73,1154,Core
12,2404,Dispensable
56,4859,Dispensable
14,2876,Dispensable
86,5741,Dispensable
62,5207,Dispensable
79,5534,Dispensable
28,3335,Dispensable
10,2771,Dispensable
47,4412,Dispensable
53,4830,Dispensable
38,4020,Dispensable
46,4623,Dispensable
69,5099,Dispensable
43,4064,Dispensable
6,1491,Dispensable
44,4537,Dispensable
16,3057,Dispensable
16,3013,Dispensable
39,4537,Dispensable
84,5578,Dispensable
40,4476,Dispensable
58,5151,Dispensable
69,5463,Dispensable
35,4167,Dispensable
28,3324,Dispensable
67,5267,Dispensable
15,2985,Dispensable
68,1218,Core
9,2013,Dispensable
51,4667,Dispensable
26,3139,Dispensable
4,1437,Core
8,2301,Dispensable
12,2691,Dispensable
77,5382,Dispensable
73,5387,Dispensable
24,3892,Dispensable
32,3502,Dispensable
40,4189,Dispensable
42,4639,Dispensable
72,5554,Dispensable
75,5197,Dispensable
75,5186,Dispensable
31,4040,Dispensable
61,5109,Dispensable
58,4625,Dispensable
67,5532,Dispensable
35,3917,Dispensable
41,4541,Dispensable
25,3416,Dispensable
24,2991,Dispensable
26,3525,Dispensable
50,4558,Dispensable
69,5452,Dispensable
35,4178,Dispensable
23,1310,Core
26,3503,Dispensable
85,5687,Dispensable
65,5082,Dispensable
68,5376,Dispensable
23,3110,Dispensable
68,5354,Dispensable
82,5393,Dispensable
81,5560,Dispensable
36,4133,Dispensable
43,4340,Dispensable
81,5582,Dispensable
18,3606,Dispensable
9,2024,Dispensable
41,4177,Dispensable
50,4944,Dispensable
27,3215,Dispensable
76,5295,Dispensable
50,1187,Core
63,4912,Dispensable
75,5462,Dispensable
57,4538,Dispensable
69,5066,Dispensable
74,5474,Dispensable
40,1231,Core
8,2036,Dispensable
74,5496,Dispensable
6,1899,Dispensable
28,1344,Core
28,4214,Dispensable
49,1282,Core
59,4701,Dispensable
31,3547,Dispensable
10,2131,Dispensable
41,1238,Core
12,2437,Dispensable
56,4826,Dispensable
52,4478,Dispensable
80,5495,Dispensable
10,2506,Dispensable
37,3981,Dispensable
49,4619,Dispensable
6,1408,Core
2,798,Dispensable
8,1698,Dispensable
56,5330,Dispensable
71,5092,Dispensable
57,5163,Dispensable
20,2356,Dispensable
38,3693,Dispensable
48,4907,Dispensable
38,4439,Dispensable
22,2905,Dispensable
31,3812,Dispensable
24,3605,Dispensable
7,1986,Dispensable
41,4530,Dispensable
52,1216,Core
18,2860,Dispensable
12,2426,Dispensable
21,3079,Dispensable
54,4520,Dispensable
22,3155,Dispensable
24,1259,Core
14,2898,Dispensable
21,3322,Dispensable
10,2517,Dispensable
86,5763,Dispensable
26,4404,Dispensable
10,2793,Dispensable
48,4521,Dispensable
46,4601,Dispensable
27,3226,Dispensable
7,2214,Dispensable
44,4559,Dispensable
5,1680,Dispensable
56,5087,Dispensable
16,3035,Dispensable
30,3725,Dispensable
28,4203,Dispensable
56,4440,Dispensable
33,4247,Dispensable
23,1252,Core
68,1228,Core
40,4454,Dispensable
3,980,Dispensable
32,4061,Dispensable
13,2745,Dispensable
74,5055,Dispensable
13,2513,Dispensable
20,3500,Dispensable
16,2653,Dispensable
23,3761,Dispensable
53,4786,Dispensable
71,5147,Dispensable
50,4878,Dispensable
8,1941,Dispensable
65,1226,Core
13,2866,Dispensable
36,4100,Dispensable
41,4122,Dispensable
10,1476,Core
10,2837,Dispensable
33,1280,Core
17,3497,Dispensable
74,5176,Dispensable
66,5136,Dispensable
5,1801,Dispensable
9,2664,Dispensable
48,4775,Dispensable
23,3882,Dispensable
71,5268,Dispensable
17,3144,Dispensable
22,3056,Dispensable
23,1248,Core
16,2774,Dispensable
23,1371,Core
2,1643,Core
63,5228,Dispensable
39,1322,Core
57,5075,Dispensable
20,1385,Core
58,5217,Dispensable
66,5257,Dispensable
30,1342,Core
80,5329,Dispensable
32,4050,Dispensable
49,1272,Core
45,4988,Dispensable
68,1164,Core
54,4906,Dispensable
62,4946,Dispensable
9,2311,Dispensable
69,5165,Dispensable
41,1248,Core
36,4111,Dispensable
45,4845,Dispensable
43,1294,Core
53,4885,Dispensable
32,4171,Dispensable
39,3901,Dispensable
75,1135,Core
8,2058,Dispensable
9,2432,Dispensable
35,4090,Dispensable
5,1458,Core
36,4232,Dispensable
32,4083,Dispensable
56,4672,Dispensable
22,3188,Dispensable
13,2535,Dispensable
23,3319,Dispensable
75,5550,Dispensable
55,1269,Core
4,1339,Dispensable
51,4910,Dispensable
71,5125,Dispensable
28,1334,Core
69,5132,Dispensable
41,4144,Dispensable
31,3249,Dispensable
48,4753,Dispensable
56,4793,Dispensable
71,5246,Dispensable
8,1720,Dispensable
16,2796,Dispensable
37,4617,Dispensable
16,2741,Dispensable
3,1674,Core
19,1351,Core
17,3023,Dispensable
25,3063,Dispensable
61,1155,Core
72,1133,Core
47,4379,Dispensable
5,1506,Core
22,3177,Dispensable
57,1186,Core
18,1320,Core
48,4874,Dispensable
53,4587,Dispensable
33,4346,Dispensable
35,3818,Dispensable
23,3617,Dispensable
48,4543,Dispensable
53,1251,Core
16,1413,Core
18,1330,Core
71,5467,Dispensable
65,1178,Core
14,1313,Core
48,1200,Core
71,5588,Dispensable
33,4225,Dispensable
54,4608,Dispensable
41,4265,Dispensable
48,4422,Dispensable
22,1292,Core
45,4955,Dispensable
36,4221,Dispensable
16,2454,Dispensable
13,2789,Dispensable
47,4368,Dispensable
4,1626,Dispensable
27,1313,Core
12,2459,Dispensable
51,4932,Dispensable
72,5201,Dispensable
47,4489,Dispensable
54,4729,Dispensable
9,2631,Dispensable
12,2338,Dispensable
62,4803,Dispensable
64,1157,Core
71,5213,Dispensable
61,4661,Dispensable
22,3089,Dispensable
32,4138,Dispensable
45,4668,Dispensable
66,5202,Dispensable
41,1320,Core
58,5239,Dispensable
74,5000,Dispensable
19,1269,Core
64,5403,Dispensable
13,2546,Dispensable
58,5007,Dispensable
38,3704,Dispensable
64,1147,Core
13,2568,Dispensable
20,3886,Dispensable
13,2811,Dispensable
39,4449,Dispensable
53,4863,Dispensable
57,4516,Dispensable
30,1332,Core
13,2447,Dispensable
48,4455,Dispensable
72,5300,Dispensable
86,5697,Dispensable
72,5322,Dispensable
86,5675,Dispensable
39,4548,Dispensable
18,1272,Core
53,4499,Dispensable
16,2443,Dispensable
27,4094,Dispensable
63,5316,Dispensable
13,2767,Dispensable
57,4615,Dispensable
74,5077,Dispensable
18,3308,Dispensable
47,4699,Dispensable
68,5078,Dispensable
30,4118,Dispensable
50,4856,Dispensable
64,1205,Core
72,5521,Dispensable
80,5561,Dispensable
80,5572,Dispensable
74,5198,Dispensable
66,5158,Dispensable
40,4156,Dispensable
18,3452,Dispensable
71,5235,Dispensable
17,3166,Dispensable
31,4095,Dispensable
26,3227,Dispensable
63,5460,Dispensable
57,5097,Dispensable
32,3601,Dispensable
66,5279,Dispensable
62,5384,Dispensable
17,3045,Dispensable
20,3533,Dispensable
48,4896,Dispensable
34,4400,Dispensable
30,4107,Dispensable
38,3991,Dispensable
45,4569,Dispensable
24,4318,Dispensable
49,4862,Dispensable
45,4812,Dispensable
53,4852,Dispensable
71,5445,Dispensable
17,2850,Dispensable
74,5441,Dispensable
20,3654,Dispensable
66,5401,Dispensable
41,4243,Dispensable
17,3376,Dispensable
15,1280,Core
30,3372,Dispensable
33,4203,Dispensable
22,3332,Dispensable
31,3514,Dispensable
50,4977,Dispensable
57,4781,Dispensable
30,1284,Core
32,4215,Dispensable
52,4688,Dispensable
16,1403,Core
11,2935,Dispensable
57,5229,Dispensable
71,5412,Dispensable
75,5263,Dispensable
27,1309,Core
14,2964,Dispensable
33,4280,Dispensable
46,4954,Dispensable
54,4994,Dispensable
6,1479,Core
30,3582,Dispensable
47,4787,Dispensable
6,1531,Core
44,4879,Dispensable
75,5142,Dispensable
16,3289,Dispensable
23,3496,Dispensable
32,4204,Dispensable
30,3692,Dispensable
70,5038,Dispensable
35,4112,Dispensable
47,4666,Dispensable
54,4895,Dispensable
54,4873,Dispensable
8,2235,Dispensable
23,1238,Core
40,4013,Dispensable
57,5218,Dispensable
64,5425,Dispensable
39,3868,Dispensable
12,2757,Dispensable
12,2779,Dispensable
9,2068,Dispensable
22,3773,Dispensable
62,5119,Dispensable
49,4851,Dispensable
18,3253,Dispensable
52,1230,Core
36,3927,Dispensable
6,1910,Dispensable
12,2890,Dispensable
31,4514,Dispensable
39,3989,Dispensable
