x,y,Category
56,6087,Total
61,5021,Dispensable
85,5654,Dispensable
10,2186,Dispensable
64,6123,Total
29,1240,Core
31,5462,Total
37,5734,Total
68,5321,Dispensable
20,1260,Core
52,4721,Dispensable
59,6316,Total
21,4620,Total
55,4982,Dispensable
76,5593,Dispensable
11,3871,Total
31,5183,Total
42,5820,Total
21,3686,Dispensable
37,5455,Total
72,6531,Total
73,5332,Dispensable
73,5343,Dispensable
64,6495,Total
47,4710,Dispensable
59,5260,Dispensable
32,5123,Total
56,1175,Core
67,4951,Dispensable
43,4428,Dispensable
16,4255,Total
29,4367,Dispensable
8,3584,Total
58,4890,Dispensable
19,3009,Dispensable
50,5670,Total
64,5271,Dispensable
44,4802,Dispensable
57,5975,Total
65,5413,Dispensable
70,5424,Dispensable
70,5435,Dispensable
5,1040,Dispensable
6,1502,Dispensable
25,3714,Dispensable
79,5269,Dispensable
29,5047,Total
61,5010,Dispensable
85,5665,Dispensable
39,5080,Total
57,6027,Total
35,1237,Core
52,6011,Total
65,6156,Total
69,6455,Total
3,1603,Core
15,4594,Total
32,5495,Total
51,4347,Dispensable
61,5385,Dispensable
48,5534,Total
70,1158,Core
36,3894,Dispensable
4,3019,Total
38,5488,Total
40,5531,Total
58,6097,Total
71,6591,Total
21,3697,Dispensable
28,4925,Total
48,1189,Core
50,6094,Total
29,5326,Total
46,4678,Dispensable
7,2247,Dispensable
22,5021,Total
76,5251,Dispensable
2,809,Dispensable
31,4360,Dispensable
37,1283,Core
40,5252,Total
78,6803,Total
80,6660,Total
33,3633,Dispensable
8,2621,Dispensable
61,6452,Total
40,4421,Dispensable
22,4932,Total
30,3736,Dispensable
16,1345,Core
6,1541,Core
23,4630,Total
30,3758,Dispensable
53,1237,Core
6,1877,Dispensable
11,2317,Dispensable
47,5557,Total
4,1498,Core
31,4106,Dispensable
10,3907,Total
44,5830,Total
74,1175,Core
19,4298,Total
30,5219,Total
60,4640,Dispensable
70,6627,Total
33,5193,Total
12,3917,Total
19,3329,Dispensable
30,5113,Total
84,6749,Total
43,4682,Dispensable
37,4264,Dispensable
27,3480,Dispensable
25,3747,Dispensable
60,4971,Dispensable
15,2963,Dispensable
46,4325,Dispensable
28,4962,Total
12,2702,Dispensable
28,5280,Total
55,5965,Total
5,1360,Dispensable
47,5836,Total
52,4743,Dispensable
30,3405,Dispensable
57,6064,Total
42,4275,Dispensable
35,5724,Total
41,1252,Core
59,5282,Dispensable
49,4586,Dispensable
43,4417,Dispensable
64,5039,Dispensable
79,6836,Total
19,4192,Total
47,5873,Total
30,5485,Total
2,2293,Total
38,4406,Dispensable
58,4647,Dispensable
74,6597,Total
12,4514,Total
81,6693,Total
27,5353,Total
40,5637,Total
17,1424,Core
39,5465,Total
70,5457,Dispensable
44,4824,Dispensable
62,6485,Total
65,1240,Core
38,5432,Total
24,3274,Dispensable
34,4389,Dispensable
55,6389,Total
11,3977,Total
66,1189,Core
77,1167,Core
68,6199,Total
31,5146,Total
30,5764,Total
15,2952,Dispensable
26,1302,Core
57,5640,Total
21,4397,Total
11,1382,Core
46,5803,Total
2,2399,Total
37,1208,Core
54,5932,Total
52,4809,Dispensable
52,5059,Dispensable
52,4754,Dispensable
67,6129,Total
65,6193,Total
34,3808,Dispensable
45,1197,Core
11,2560,Dispensable
73,6564,Total
36,5757,Total
45,4194,Dispensable
15,4222,Total
34,4014,Dispensable
6,1844,Dispensable
40,4432,Dispensable
34,4058,Dispensable
46,5909,Total
61,4815,Dispensable
2,1975,Total
60,4673,Dispensable
44,1190,Core
18,3187,Dispensable
34,1291,Core
54,6356,Total
63,4989,Dispensable
17,4182,Total
22,3508,Dispensable
61,5065,Dispensable
23,5091,Total
28,3942,Dispensable
38,5382,Total
50,6057,Total
11,3834,Total
20,2996,Dispensable
56,4804,Dispensable
79,5589,Dispensable
46,4303,Dispensable
40,5215,Total
5,3089,Total
6,1204,Dispensable
7,3657,Total
72,5289,Dispensable
59,6210,Total
16,4292,Total
28,4181,Dispensable
56,5998,Total
65,6050,Total
74,5507,Dispensable
48,1261,Core
50,5633,Total
63,4636,Dispensable
30,4284,Dispensable
64,5017,Dispensable
64,5006,Dispensable
42,1259,Core
29,4323,Dispensable
11,2240,Dispensable
31,5425,Total
40,5587,Total
18,2893,Dispensable
70,5479,Dispensable
74,6647,Total
10,2153,Dispensable
6,1546,Dispensable
65,5446,Dispensable
32,5160,Total
23,3176,Dispensable
55,4717,Dispensable
29,5220,Total
61,5341,Dispensable
26,4779,Total
6,3624,Total
20,4922,Total
47,5979,Total
34,1216,Core
43,4362,Dispensable
36,3872,Dispensable
38,5661,Total
44,4504,Dispensable
7,2269,Dispensable
48,5869,Total
42,3992,Dispensable
33,5119,Total
56,5054,Dispensable
27,5210,Total
40,5866,Total
56,5032,Dispensable
36,5807,Total
45,4161,Dispensable
65,6578,Total
66,6468,Total
18,2948,Dispensable
21,3046,Dispensable
82,6776,Total
8,3318,Total
18,4265,Total
28,3699,Dispensable
65,6206,Total
46,5946,Total
65,5435,Dispensable
69,6312,Total
11,2648,Dispensable
53,4918,Dispensable
26,3801,Dispensable
41,5527,Total
20,2974,Dispensable
3,1318,Dispensable
28,5014,Total
56,5109,Dispensable
62,6150,Total
66,6189,Total
2,754,Dispensable
46,4590,Dispensable
54,6021,Total
54,6127,Total
11,1436,Core
22,1414,Core
20,4699,Total
57,6399,Total
18,4494,Total
36,5422,Total
30,5448,Total
51,4689,Dispensable
82,5691,Dispensable
76,5571,Dispensable
49,1268,Core
77,6720,Total
42,4286,Dispensable
70,5402,Dispensable
16,3333,Dispensable
25,4640,Total
47,4732,Dispensable
73,5365,Dispensable
46,4976,Dispensable
60,6159,Total
41,1310,Core
34,3720,Dispensable
44,1302,Core
10,3801,Total
7,2192,Dispensable
19,3296,Dispensable
19,3285,Dispensable
13,2381,Dispensable
23,4928,Total
14,2523,Dispensable
38,4671,Dispensable
13,1353,Core
24,1331,Core
36,1258,Core
12,3867,Total
24,3638,Dispensable
17,4232,Total
28,3600,Dispensable
55,6054,Total
75,1196,Core
45,5913,Total
14,2854,Dispensable
38,5767,Total
52,1291,Core
15,2930,Dispensable
74,6368,Total
29,5276,Total
74,6262,Total
50,5689,Total
72,5278,Dispensable
27,5688,Total
52,4776,Dispensable
71,1179,Core
17,4338,Total
26,4673,Total
46,5790,Total
1,2064,Core
72,6674,Total
9,1404,Core
76,5240,Dispensable
11,2582,Dispensable
48,5484,Total
78,6753,Total
33,3644,Dispensable
45,6181,Total
34,4036,Dispensable
26,5097,Total
56,5942,Total
39,5322,Total
24,3307,Dispensable
56,1229,Core
63,4967,Dispensable
18,2959,Dispensable
37,4584,Dispensable
47,5607,Total
50,5968,Total
58,5173,Dispensable
59,4756,Dispensable
27,3888,Dispensable
51,5560,Total
65,5961,Total
20,4730,Total
21,3068,Dispensable
56,4848,Dispensable
70,5391,Dispensable
17,4424,Total
35,4123,Dispensable
20,3235,Dispensable
16,2807,Dispensable
45,4249,Dispensable
12,1457,Core
7,1611,Dispensable
23,3143,Dispensable
31,3834,Dispensable
52,4456,Dispensable
48,5677,Total
79,6414,Total
2,776,Dispensable
32,5352,Total
32,5073,Total
46,5753,Total
47,6068,Total
31,5691,Total
16,4305,Total
56,5713,Total
5,1415,Dispensable
22,4510,Total
62,5472,Dispensable
37,5505,Total
31,5233,Total
38,4031,Dispensable
29,1355,Core
13,3149,Dispensable
66,6276,Total
4,3093,Total
61,1165,Core
20,5240,Total
25,3681,Dispensable
18,3485,Dispensable
18,3474,Dispensable
30,4251,Dispensable
79,6786,Total
6,2138,Dispensable
83,1168,Core
34,5276,Total
33,5013,Total
15,2334,Dispensable
17,1366,Core
30,5572,Total
9,3474,Total
37,5226,Total
34,1230,Core
13,4076,Total
59,6390,Total
24,4520,Total
62,6342,Total
69,5430,Dispensable
16,4484,Total
61,5098,Dispensable
39,5378,Total
7,1600,Dispensable
45,6058,Total
15,1395,Core
52,6309,Total
68,5398,Dispensable
10,1361,Core
3,1230,Dispensable
51,4634,Dispensable
41,4199,Dispensable
40,1227,Core
22,3795,Dispensable
50,4922,Dispensable
75,5484,Dispensable
43,4715,Dispensable
50,4900,Dispensable
55,5265,Dispensable
64,6352,Total
76,6601,Total
34,5083,Total
30,5293,Total
22,4740,Total
46,5667,Total
2,1653,Core
16,4398,Total
44,4526,Dispensable
56,5076,Dispensable
81,6550,Total
38,5996,Total
12,4185,Total
27,5459,Total
21,5131,Total
43,5940,Total
71,6517,Total
63,4956,Dispensable
26,4444,Total
63,4934,Dispensable
8,1386,Core
40,4487,Dispensable
36,5651,Total
20,3257,Dispensable
79,6607,Total
27,3866,Dispensable
15,3904,Total
25,4746,Total
35,4145,Dispensable
10,3751,Total
20,3213,Dispensable
59,5326,Dispensable
63,5162,Dispensable
80,5605,Dispensable
40,5674,Total
27,5403,Total
79,5567,Dispensable
69,6647,Total
21,1281,Core
39,1312,Core
66,5070,Dispensable
73,6372,Total
27,5124,Total
38,4053,Dispensable
47,4467,Dispensable
49,4884,Dispensable
53,5080,Dispensable
61,6260,Total
27,4526,Total
42,4231,Dispensable
71,5081,Dispensable
67,6079,Total
72,6408,Total
33,5299,Total
81,5317,Dispensable
4,3248,Total
20,4327,Total
33,1270,Core
25,3449,Dispensable
8,2323,Dispensable
78,1188,Core
46,5611,Total
11,2615,Dispensable
54,4542,Dispensable
20,3268,Dispensable
63,5195,Dispensable
73,1154,Core
12,2404,Dispensable
56,4859,Dispensable
79,6730,Total
14,2876,Dispensable
86,5741,Dispensable
62,5207,Dispensable
81,6849,Total
79,5534,Dispensable
5,3175,Total
19,4713,Total
28,3335,Dispensable
36,5565,Total
54,6164,Total
61,6223,Total
10,2771,Dispensable
47,4412,Dispensable
39,5657,Total
16,4342,Total
37,5312,Total
53,4830,Dispensable
4,3056,Total
40,5829,Total
79,6451,Total
38,4020,Dispensable
46,4623,Dispensable
83,6629,Total
69,5099,Dispensable
9,3667,Total
43,4064,Dispensable
6,1491,Dispensable
24,4819,Total
80,6710,Total
25,4783,Total
43,5903,Total
63,6003,Total
44,4537,Dispensable
61,6415,Total
69,6492,Total
10,3944,Total
16,3057,Dispensable
16,3013,Dispensable
70,6664,Total
39,4537,Dispensable
84,5578,Dispensable
41,5793,Total
40,4476,Dispensable
58,5151,Dispensable
69,5463,Dispensable
78,6790,Total
35,4167,Dispensable
8,3547,Total
71,6604,Total
24,4998,Total
37,5492,Total
28,3324,Dispensable
17,4759,Total
67,5267,Dispensable
15,2985,Dispensable
79,6749,Total
68,1218,Core
65,6348,Total
9,2013,Dispensable
51,4667,Dispensable
80,6623,Total
26,3139,Dispensable
38,5153,Total
4,1437,Core
8,2301,Dispensable
12,2691,Dispensable
42,5597,Total
77,5382,Dispensable
73,5387,Dispensable
24,3892,Dispensable
32,3502,Dispensable
57,5938,Total
40,4189,Dispensable
42,4639,Dispensable
66,5958,Total
72,5554,Dispensable
75,5197,Dispensable
75,5186,Dispensable
83,6895,Total
31,4040,Dispensable
61,5109,Dispensable
58,4625,Dispensable
67,5532,Dispensable
35,5079,Total
63,6270,Total
35,3917,Dispensable
41,4541,Dispensable
34,5239,Total
45,5826,Total
25,3416,Dispensable
16,4218,Total
47,5749,Total
24,2991,Dispensable
26,3525,Dispensable
50,4558,Dispensable
69,5452,Dispensable
35,4178,Dispensable
23,1310,Core
26,3503,Dispensable
85,5687,Dispensable
65,5082,Dispensable
8,3404,Total
68,5376,Dispensable
23,3110,Dispensable
68,5354,Dispensable
30,5305,Total
73,6527,Total
82,5393,Dispensable
28,5330,Total
78,6611,Total
81,5560,Dispensable
36,4133,Dispensable
45,5950,Total
43,4340,Dispensable
8,3392,Total
23,4736,Total
81,5582,Dispensable
18,3606,Dispensable
9,2024,Dispensable
25,4938,Total
32,5229,Total
41,4177,Dispensable
38,5308,Total
59,6403,Total
50,4944,Dispensable
27,3215,Dispensable
76,5295,Dispensable
50,1187,Core
63,4912,Dispensable
75,5462,Dispensable
49,5759,Total
37,5771,Total
57,4538,Dispensable
69,5066,Dispensable
74,5474,Dispensable
40,1231,Core
8,2036,Dispensable
74,5496,Dispensable
29,5134,Total
55,6091,Total
6,1899,Dispensable
25,4659,Total
28,1344,Core
28,4214,Dispensable
49,1282,Core
59,4701,Dispensable
31,3547,Dispensable
10,2131,Dispensable
41,1238,Core
12,2437,Dispensable
56,4826,Dispensable
38,5575,Total
52,4478,Dispensable
55,6246,Total
70,6521,Total
80,5495,Dispensable
10,2506,Dispensable
81,6706,Total
37,3981,Dispensable
49,4619,Dispensable
6,1408,Core
2,798,Dispensable
12,3954,Total
51,6313,Total
8,1698,Dispensable
4,2861,Total
15,4680,Total
56,5330,Dispensable
71,5092,Dispensable
57,5163,Dispensable
30,5150,Total
20,2356,Dispensable
38,3693,Dispensable
48,4907,Dispensable
82,6633,Total
38,4439,Dispensable
22,2905,Dispensable
