x,y,Category,Metric
4,-97.50,Core,Average
4,296.80,Accessory,Average
4,72.44,Unique,Average
5,-48.12,Core,Average
5,199.04,Accessory,Average
5,69.39,Unique,Average
6,-30.08,Core,Average
6,159.61,Accessory,Average
6,54.74,Unique,Average
7,-23.73,Core,Average
7,139.24,Accessory,Average
7,50.14,Unique,Average
8,-18.24,Core,Average
8,121.42,Accessory,Average
8,43.84,Unique,Average
9,-16.01,Core,Average
9,114.91,Accessory,Average
9,35.97,Unique,Average
10,-13.52,Core,Average
10,106.09,Accessory,Average
10,30.79,Unique,Average
11,-12.09,Core,Average
11,95.35,Accessory,Average
11,33.20,Unique,Average
12,-11.19,Core,Average
12,92.82,Accessory,Average
12,26.19,Unique,Average
13,-9.45,Core,Average
13,86.33,Accessory,Average
13,21.17,Unique,Average
14,-8.69,Core,Average
14,80.69,Accessory,Average
14,22.96,Unique,Average
15,-8.10,Core,Average
15,76.19,Accessory,Average
15,19.79,Unique,Average
16,-7.67,Core,Average
16,73.75,Accessory,Average
16,18.80,Unique,Average
17,-7.09,Core,Average
17,69.20,Accessory,Average
17,15.05,Unique,Average
18,-7.10,Core,Average
18,67.45,Accessory,Average
18,13.36,Unique,Average
19,-6.78,Core,Average
19,63.18,Accessory,Average
19,15.03,Unique,Average
20,-6.14,Core,Average
20,61.22,Accessory,Average
20,14.82,Unique,Average
21,-6.33,Core,Average
21,60.25,Accessory,Average
21,11.28,Unique,Average
22,-5.49,Core,Average
22,54.50,Accessory,Average
22,11.57,Unique,Average
23,-6.03,Core,Average
23,56.10,Accessory,Average
23,12.63,Unique,Average
24,-5.05,Core,Average
24,52.15,Accessory,Average
24,10.38,Unique,Average
25,-5.54,Core,Average
25,51.16,Accessory,Average
25,12.22,Unique,Average
26,-4.70,Core,Average
26,48.06,Accessory,Average
26,7.81,Unique,Average
27,-4.97,Core,Average
27,49.04,Accessory,Average
27,9.63,Unique,Average
28,-4.33,Core,Average
28,44.89,Accessory,Average
28,8.87,Unique,Average
29,-5.07,Core,Average
29,46.10,Accessory,Average
29,11.10,Unique,Average
30,-5.29,Core,Average
30,45.00,Accessory,Average
30,12.06,Unique,Average
