x,y,Category,Metric
4,-97.50,Core,Average
4,369.24,Accessory,Average
5,-48.12,Core,Average
5,268.43,Accessory,Average
6,-30.08,Core,Average
6,214.35,Accessory,Average
7,-23.73,Core,Average
7,189.37,Accessory,Average
8,-18.24,Core,Average
8,165.25,Accessory,Average
9,-16.01,Core,Average
9,150.88,Accessory,Average
10,-13.52,Core,Average
10,136.88,Accessory,Average
11,-12.09,Core,Average
11,128.55,Accessory,Average
12,-11.19,Core,Average
12,119.01,Accessory,Average
13,-9.45,Core,Average
13,107.49,Accessory,Average
14,-8.69,Core,Average
14,103.65,Accessory,Average
15,-8.10,Core,Average
15,95.98,Accessory,Average
16,-7.67,Core,Average
16,92.56,Accessory,Average
17,-7.09,Core,Average
17,84.24,Accessory,Average
18,-7.10,Core,Average
18,80.81,Accessory,Average
19,-6.78,Core,Average
19,78.21,Accessory,Average
20,-6.14,Core,Average
20,76.04,Accessory,Average
21,-6.33,Core,Average
21,71.53,Accessory,Average
22,-5.49,Core,Average
22,66.07,Accessory,Average
23,-6.03,Core,Average
23,68.73,Accessory,Average
24,-5.05,Core,Average
24,62.53,Accessory,Average
25,-5.54,Core,Average
25,63.37,Accessory,Average
26,-4.70,Core,Average
26,55.87,Accessory,Average
27,-4.97,Core,Average
27,58.67,Accessory,Average
28,-4.33,Core,Average
28,53.76,Accessory,Average
29,-5.07,Core,Average
29,57.20,Accessory,Average
30,-5.29,Core,Average
30,57.06,Accessory,Average
31,-4.34,Core,Average
31,50.69,Accessory,Average
32,-4.43,Core,Average
32,51.42,Accessory,Average
33,-3.92,Core,Average
33,47.51,Accessory,Average
34,-4.25,Core,Average
34,47.40,Accessory,Average
35,-3.82,Core,Average
35,46.05,Accessory,Average
36,-4.14,Core,Average
36,46.66,Accessory,Average
37,-4.08,Core,Average
37,45.50,Accessory,Average
38,-4.05,Core,Average
38,45.85,Accessory,Average
39,-3.58,Core,Average
39,41.41,Accessory,Average
40,-3.45,Core,Average
40,41.26,Accessory,Average
41,-3.21,Core,Average
41,39.31,Accessory,Average
42,-3.75,Core,Average
42,42.05,Accessory,Average
43,-3.21,Core,Average
43,39.21,Accessory,Average
44,-3.57,Core,Average
44,40.79,Accessory,Average
45,-3.46,Core,Average
45,40.85,Accessory,Average
46,-3.17,Core,Average
46,39.97,Accessory,Average
47,-3.13,Core,Average
47,36.73,Accessory,Average
48,-2.96,Core,Average
48,35.86,Accessory,Average
49,-2.95,Core,Average
49,35.26,Accessory,Average
50,-2.92,Core,Average
50,34.45,Accessory,Average
51,-2.79,Core,Average
51,32.43,Accessory,Average
52,-3.09,Core,Average
52,34.44,Accessory,Average
53,-3.14,Core,Average
53,35.85,Accessory,Average
54,-2.88,Core,Average
54,32.60,Accessory,Average
55,-3.11,Core,Average
55,33.55,Accessory,Average
56,-2.70,Core,Average
56,32.36,Accessory,Average
57,-2.95,Core,Average
57,32.93,Accessory,Average
58,-2.96,Core,Average
58,33.31,Accessory,Average
59,-2.78,Core,Average
59,32.20,Accessory,Average
60,-2.37,Core,Average
60,28.52,Accessory,Average
61,-3.01,Core,Average
61,32.72,Accessory,Average
62,-2.83,Core,Average
62,31.39,Accessory,Average
63,-2.53,Core,Average
63,27.51,Accessory,Average
64,-2.64,Core,Average
64,29.20,Accessory,Average
65,-2.51,Core,Average
65,29.08,Accessory,Average
66,-2.25,Core,Average
66,26.28,Accessory,Average
67,-2.61,Core,Average
67,28.97,Accessory,Average
68,-2.50,Core,Average
68,28.66,Accessory,Average
69,-2.52,Core,Average
69,29.64,Accessory,Average
70,-2.43,Core,Average
70,27.75,Accessory,Average
71,-2.60,Core,Average
71,28.76,Accessory,Average
72,-2.27,Core,Average
72,27.12,Accessory,Average
73,-2.40,Core,Average
73,26.76,Accessory,Average
74,-2.19,Core,Average
74,24.55,Accessory,Average
75,-2.62,Core,Average
75,27.10,Accessory,Average
76,-2.42,Core,Average
76,27.98,Accessory,Average
77,-2.23,Core,Average
77,25.15,Accessory,Average
78,-2.09,Core,Average
78,24.84,Accessory,Average
79,-2.37,Core,Average
79,25.61,Accessory,Average
80,-2.43,Core,Average
80,26.33,Accessory,Average
81,-2.26,Core,Average
81,25.00,Accessory,Average
82,-2.21,Core,Average
82,24.79,Accessory,Average
83,-2.21,Core,Average
83,23.44,Accessory,Average
84,-2.37,Core,Average
84,25.30,Accessory,Average
85,-2.43,Core,Average
85,25.96,Accessory,Average
86,-2.20,Core,Average
86,24.09,Accessory,Average
87,-2.34,Core,Average
87,24.39,Accessory,Average
88,-2.19,Core,Average
88,23.44,Accessory,Average
89,-2.21,Core,Average
89,23.90,Accessory,Average
