x,y,Category,Metric
4,-92.00,Core,Median
4,292.00,Accessory,Median
4,80.00,Unique,Median
5,-45.00,Core,Median
5,194.00,Accessory,Median
5,88.00,Unique,Median
6,-29.00,Core,Median
6,155.00,Accessory,Median
6,74.00,Unique,Median
7,-21.00,Core,Median
7,136.00,Accessory,Median
7,63.00,Unique,Median
8,-16.00,Core,Median
8,119.00,Accessory,Median
8,60.00,Unique,Median
9,-13.00,Core,Median
9,112.00,Accessory,Median
9,50.00,Unique,Median
10,-11.00,Core,Median
10,104.00,Accessory,Median
10,46.00,Unique,Median
11,-10.00,Core,Median
11,94.00,Accessory,Median
11,48.00,Unique,Median
12,-8.00,Core,Median
12,92.00,Accessory,Median
12,37.00,Unique,Median
13,-7.00,Core,Median
13,85.00,Accessory,Median
13,32.00,Unique,Median
14,-6.00,Core,Median
14,81.00,Accessory,Median
14,29.00,Unique,Median
15,-6.00,Core,Median
15,76.00,Accessory,Median
15,25.00,Unique,Median
16,-5.00,Core,Median
16,74.00,Accessory,Median
16,23.00,Unique,Median
17,-5.00,Core,Median
17,71.00,Accessory,Median
17,18.00,Unique,Median
18,-4.00,Core,Median
18,68.00,Accessory,Median
18,9.00,Unique,Median
19,-4.00,Core,Median
19,64.00,Accessory,Median
19,13.00,Unique,Median
20,-4.00,Core,Median
20,63.00,Accessory,Median
20,12.00,Unique,Median
21,-4.00,Core,Median
21,62.00,Accessory,Median
21,7.00,Unique,Median
22,-3.00,Core,Median
22,56.00,Accessory,Median
22,7.00,Unique,Median
23,-3.00,Core,Median
23,57.00,Accessory,Median
23,6.00,Unique,Median
24,-3.00,Core,Median
24,53.00,Accessory,Median
24,3.00,Unique,Median
25,-3.00,Core,Median
25,51.00,Accessory,Median
25,5.00,Unique,Median
26,-3.00,Core,Median
26,50.00,Accessory,Median
26,2.00,Unique,Median
27,-3.00,Core,Median
27,51.00,Accessory,Median
27,5.00,Unique,Median
28,-2.00,Core,Median
28,45.00,Accessory,Median
28,2.00,Unique,Median
29,-2.00,Core,Median
29,45.00,Accessory,Median
29,3.00,Unique,Median
30,-2.00,Core,Median
30,45.00,Accessory,Median
30,5.00,Unique,Median
31,-2.00,Core,Median
31,41.00,Accessory,Median
31,3.00,Unique,Median
32,-2.00,Core,Median
32,42.00,Accessory,Median
32,3.00,Unique,Median
33,-2.00,Core,Median
33,39.00,Accessory,Median
33,3.00,Unique,Median
34,-2.00,Core,Median
34,39.00,Accessory,Median
34,1.00,Unique,Median
35,-2.00,Core,Median
35,36.00,Accessory,Median
35,3.00,Unique,Median
36,-2.00,Core,Median
36,36.00,Accessory,Median
36,3.00,Unique,Median
37,-2.00,Core,Median
37,36.00,Accessory,Median
37,2.00,Unique,Median
38,-2.00,Core,Median
38,34.00,Accessory,Median
38,4.00,Unique,Median
39,-2.00,Core,Median
39,30.00,Accessory,Median
39,1.00,Unique,Median
40,-2.00,Core,Median
40,33.00,Accessory,Median
40,2.00,Unique,Median
41,-2.00,Core,Median
41,32.00,Accessory,Median
41,1.00,Unique,Median
42,-2.00,Core,Median
42,29.00,Accessory,Median
42,3.00,Unique,Median
43,-1.00,Core,Median
43,29.00,Accessory,Median
43,2.00,Unique,Median
44,-2.00,Core,Median
44,28.00,Accessory,Median
44,3.00,Unique,Median
45,-1.00,Core,Median
45,30.00,Accessory,Median
45,2.00,Unique,Median
46,-1.00,Core,Median
46,28.00,Accessory,Median
46,2.00,Unique,Median
47,-1.00,Core,Median
47,27.00,Accessory,Median
47,2.00,Unique,Median
48,-1.00,Core,Median
48,24.00,Accessory,Median
48,2.00,Unique,Median
49,-1.00,Core,Median
49,25.00,Accessory,Median
49,2.00,Unique,Median
50,-1.00,Core,Median
50,24.00,Accessory,Median
50,1.00,Unique,Median
51,-1.00,Core,Median
51,25.00,Accessory,Median
51,1.00,Unique,Median
52,-1.00,Core,Median
52,24.00,Accessory,Median
52,1.00,Unique,Median
53,-1.00,Core,Median
53,23.00,Accessory,Median
53,1.00,Unique,Median
54,-1.00,Core,Median
54,22.00,Accessory,Median
54,2.00,Unique,Median
55,-1.00,Core,Median
55,22.00,Accessory,Median
55,2.00,Unique,Median
56,-1.00,Core,Median
56,21.00,Accessory,Median
56,1.00,Unique,Median
57,-1.00,Core,Median
57,23.00,Accessory,Median
57,2.00,Unique,Median
58,-1.00,Core,Median
58,21.00,Accessory,Median
58,2.00,Unique,Median
59,-1.00,Core,Median
59,22.00,Accessory,Median
59,2.00,Unique,Median
60,-1.00,Core,Median
60,20.00,Accessory,Median
60,1.00,Unique,Median
61,-1.00,Core,Median
61,19.00,Accessory,Median
61,1.00,Unique,Median
62,-1.00,Core,Median
62,19.00,Accessory,Median
62,2.00,Unique,Median
63,-1.00,Core,Median
63,15.00,Accessory,Median
63,2.00,Unique,Median
64,-1.00,Core,Median
64,19.00,Accessory,Median
64,1.00,Unique,Median
65,-1.00,Core,Median
65,17.00,Accessory,Median
65,2.00,Unique,Median
66,-1.00,Core,Median
66,15.00,Accessory,Median
66,1.00,Unique,Median
67,-1.00,Core,Median
67,15.00,Accessory,Median
67,2.00,Unique,Median
68,-1.00,Core,Median
68,19.00,Accessory,Median
68,2.00,Unique,Median
69,-1.00,Core,Median
69,16.00,Accessory,Median
69,2.00,Unique,Median
70,-1.00,Core,Median
70,17.00,Accessory,Median
70,2.00,Unique,Median
71,-1.00,Core,Median
71,16.00,Accessory,Median
71,1.00,Unique,Median
72,-1.00,Core,Median
72,15.00,Accessory,Median
72,1.00,Unique,Median
73,-1.00,Core,Median
73,17.00,Accessory,Median
73,1.00,Unique,Median
74,-1.00,Core,Median
74,14.00,Accessory,Median
74,1.00,Unique,Median
75,-1.00,Core,Median
75,16.00,Accessory,Median
75,1.00,Unique,Median
76,-1.00,Core,Median
76,14.00,Accessory,Median
76,2.00,Unique,Median
77,-1.00,Core,Median
77,14.00,Accessory,Median
77,2.00,Unique,Median
78,-1.00,Core,Median
78,14.00,Accessory,Median
78,1.00,Unique,Median
79,-1.00,Core,Median
79,15.00,Accessory,Median
79,2.00,Unique,Median
80,-1.00,Core,Median
80,14.00,Accessory,Median
80,1.00,Unique,Median
81,-1.00,Core,Median
81,12.00,Accessory,Median
81,1.00,Unique,Median
82,-1.00,Core,Median
82,15.00,Accessory,Median
82,2.00,Unique,Median
83,-1.00,Core,Median
83,12.00,Accessory,Median
83,1.00,Unique,Median
84,-1.00,Core,Median
84,12.00,Accessory,Median
