x,y,Category,Metric
4,-92.00,Core,Median
4,371.00,Accessory,Median
5,-45.00,Core,Median
5,274.00,Accessory,Median
6,-29.00,Core,Median
6,225.00,Accessory,Median
7,-21.00,Core,Median
7,196.00,Accessory,Median
8,-16.00,Core,Median
8,176.00,Accessory,Median
9,-13.00,Core,Median
9,158.00,Accessory,Median
10,-11.00,Core,Median
10,147.00,Accessory,Median
11,-10.00,Core,Median
11,136.00,Accessory,Median
12,-8.00,Core,Median
12,126.00,Accessory,Median
13,-7.00,Core,Median
13,116.00,Accessory,Median
14,-6.00,Core,Median
14,107.00,Accessory,Median
15,-6.00,Core,Median
15,100.00,Accessory,Median
16,-5.00,Core,Median
16,97.00,Accessory,Median
17,-5.00,Core,Median
17,87.00,Accessory,Median
18,-4.00,Core,Median
18,78.00,Accessory,Median
19,-4.00,Core,Median
19,79.00,Accessory,Median
20,-4.00,Core,Median
20,75.00,Accessory,Median
21,-4.00,Core,Median
21,70.00,Accessory,Median
22,-3.00,Core,Median
22,60.00,Accessory,Median
23,-3.00,Core,Median
23,60.00,Accessory,Median
24,-3.00,Core,Median
24,54.00,Accessory,Median
25,-3.00,Core,Median
25,52.00,Accessory,Median
26,-3.00,Core,Median
26,44.00,Accessory,Median
27,-3.00,Core,Median
27,51.00,Accessory,Median
28,-2.00,Core,Median
28,45.00,Accessory,Median
29,-2.00,Core,Median
29,45.00,Accessory,Median
30,-2.00,Core,Median
30,46.00,Accessory,Median
31,-2.00,Core,Median
31,40.00,Accessory,Median
32,-2.00,Core,Median
32,40.00,Accessory,Median
33,-2.00,Core,Median
33,36.00,Accessory,Median
34,-2.00,Core,Median
34,32.00,Accessory,Median
35,-2.00,Core,Median
35,33.00,Accessory,Median
36,-2.00,Core,Median
36,35.00,Accessory,Median
37,-2.00,Core,Median
37,30.00,Accessory,Median
38,-2.00,Core,Median
38,32.00,Accessory,Median
39,-2.00,Core,Median
39,26.00,Accessory,Median
40,-2.00,Core,Median
40,24.00,Accessory,Median
41,-2.00,Core,Median
41,24.00,Accessory,Median
42,-2.00,Core,Median
42,26.00,Accessory,Median
43,-1.00,Core,Median
43,24.00,Accessory,Median
44,-2.00,Core,Median
44,25.00,Accessory,Median
45,-1.00,Core,Median
45,25.00,Accessory,Median
46,-1.00,Core,Median
46,25.00,Accessory,Median
47,-1.00,Core,Median
47,24.00,Accessory,Median
48,-1.00,Core,Median
48,22.00,Accessory,Median
49,-1.00,Core,Median
49,22.00,Accessory,Median
50,-1.00,Core,Median
50,17.00,Accessory,Median
51,-1.00,Core,Median
51,19.00,Accessory,Median
52,-1.00,Core,Median
52,19.00,Accessory,Median
53,-1.00,Core,Median
53,20.00,Accessory,Median
54,-1.00,Core,Median
54,19.00,Accessory,Median
55,-1.00,Core,Median
55,17.00,Accessory,Median
56,-1.00,Core,Median
56,16.00,Accessory,Median
57,-1.00,Core,Median
57,17.00,Accessory,Median
58,-1.00,Core,Median
58,16.00,Accessory,Median
59,-1.00,Core,Median
59,19.00,Accessory,Median
60,-1.00,Core,Median
60,14.00,Accessory,Median
61,-1.00,Core,Median
61,16.00,Accessory,Median
62,-1.00,Core,Median
62,15.00,Accessory,Median
63,-1.00,Core,Median
63,11.00,Accessory,Median
64,-1.00,Core,Median
64,15.00,Accessory,Median
65,-1.00,Core,Median
65,15.00,Accessory,Median
66,-1.00,Core,Median
66,11.00,Accessory,Median
67,-1.00,Core,Median
67,12.00,Accessory,Median
68,-1.00,Core,Median
68,16.00,Accessory,Median
69,-1.00,Core,Median
69,12.00,Accessory,Median
70,-1.00,Core,Median
70,14.00,Accessory,Median
71,-1.00,Core,Median
71,11.00,Accessory,Median
72,-1.00,Core,Median
72,12.00,Accessory,Median
73,-1.00,Core,Median
73,11.00,Accessory,Median
74,-1.00,Core,Median
74,10.00,Accessory,Median
75,-1.00,Core,Median
75,13.00,Accessory,Median
76,-1.00,Core,Median
76,11.00,Accessory,Median
77,-1.00,Core,Median
77,10.00,Accessory,Median
78,-1.00,Core,Median
78,11.00,Accessory,Median
79,-1.00,Core,Median
79,11.00,Accessory,Median
80,-1.00,Core,Median
80,10.00,Accessory,Median
81,-1.00,Core,Median
81,10.00,Accessory,Median
82,-1.00,Core,Median
82,11.00,Accessory,Median
83,-1.00,Core,Median
83,10.00,Accessory,Median
84,-1.00,Core,Median
84,10.00,Accessory,Median
85,-1.00,Core,Median
85,11.00,Accessory,Median
86,-1.00,Core,Median
86,10.00,Accessory,Median
87,-1.00,Core,Median
87,9.00,Accessory,Median
88,-1.00,Core,Median
88,10.00,Accessory,Median
89,-1.00,Core,Median
89,10.00,Accessory,Median
