Two overviews of homology group sizes based on number of proteins and number of genomes
#Group size based on number of proteins, occurrences
1, 1845
2, 788
3, 498
4, 290
5, 172
6, 181
7, 124
8, 107
9, 91
10, 71
11, 55
12, 91
13, 67
14, 33
15, 47
16, 26
17, 21
18, 28
19, 32
20, 21
21, 32
22, 37
23, 35
24, 35
25, 36
26, 23
27, 19
28, 42
29, 25
30, 16
31, 25
32, 12
33, 19
34, 24
35, 16
36, 13
37, 28
38, 26
39, 52
40, 13
41, 14
42, 7
43, 10
44, 3
45, 16
46, 10
47, 11
48, 9
49, 9
50, 10
51, 5
52, 11
53, 3
54, 13
55, 14
56, 12
57, 10
58, 11
59, 9
60, 14
61, 9
62, 7
63, 8
64, 5
65, 8
66, 11
67, 7
68, 8
69, 5
70, 4
71, 4
72, 5
73, 7
74, 16
75, 7
76, 10
77, 8
78, 4
79, 5
80, 4
81, 3
82, 3
83, 13
84, 5
85, 4
86, 2
87, 4
88, 12
89, 3
90, 6
91, 7
92, 2
93, 11
94, 5
95, 5
96, 3
97, 2
98, 3
99, 5
100, 1
101, 7
103, 3
104, 1
105, 5
106, 2
107, 4
108, 2
109, 4
110, 4
111, 3
112, 2
113, 1
114, 2
115, 2
116, 2
120, 2
121, 2
122, 2
123, 1
124, 6
125, 1
126, 2
127, 3
128, 1
129, 2
130, 1
132, 1
133, 2
134, 2
135, 1
136, 1
138, 2
139, 1
140, 2
142, 3
143, 1
146, 1
147, 1
150, 2
151, 2
153, 3
154, 1
155, 2
156, 5
158, 3
159, 1
161, 1
162, 3
163, 2
164, 2
165, 2
166, 3
168, 3
169, 2
170, 2
171, 2
172, 3
173, 6
175, 1
176, 1
177, 3
178, 1
179, 1
181, 1
182, 2
184, 2
185, 1
186, 1
187, 3
189, 1
190, 1
192, 3
198, 2
200, 2
202, 1
206, 1
209, 1
210, 1
212, 1
213, 4
215, 1
216, 1
217, 1
218, 1
219, 2
221, 3
222, 2
223, 2
224, 4
225, 3
226, 1
227, 1
229, 1
230, 3
231, 5
232, 4
233, 5
234, 2
235, 4
236, 3
237, 8
238, 6
239, 5
240, 6
241, 15
242, 9
243, 11
244, 17
245, 37
246, 114
247, 977
248, 87
249, 22
250, 6
251, 6
252, 8
253, 4
254, 2
255, 1
256, 1
257, 2
258, 2
261, 1
263, 2
264, 1
267, 1
269, 1
270, 1
271, 1
272, 3
322, 1
488, 1
1030, 1
1447, 1


#Group size based on number of genomes (maximum of 247), occurrences
1, 1854
2, 792
3, 505
4, 287
5, 168
6, 185
7, 123
8, 108
9, 90
10, 77
11, 52
12, 90
13, 64
14, 35
15, 44
16, 26
17, 22
18, 27
19, 27
20, 23
21, 46
22, 26
23, 34
24, 38
25, 35
26, 24
27, 21
28, 38
29, 25
30, 17
31, 19
32, 13
33, 18
34, 29
35, 17
36, 13
37, 35
38, 25
39, 48
40, 9
41, 12
42, 8
43, 9
44, 8
45, 15
46, 8
47, 14
48, 8
49, 10
50, 11
51, 11
52, 11
53, 9
54, 12
55, 5
56, 14
57, 5
58, 13
59, 11
60, 8
61, 12
62, 7
63, 5
64, 7
65, 10
66, 10
67, 10
68, 3
69, 6
70, 8
71, 6
72, 8
73, 16
74, 8
75, 6
76, 5
77, 4
78, 5
79, 2
80, 10
81, 6
82, 3
83, 14
84, 10
85, 3
86, 8
87, 4
88, 5
89, 6
90, 6
91, 5
92, 1
93, 5
94, 3
95, 4
96, 5
98, 5
99, 3
100, 1
101, 2
102, 2
103, 6
104, 1
105, 4
106, 4
107, 2
108, 5
109, 5
110, 4
112, 2
113, 1
118, 2
120, 2
122, 1
123, 1
124, 7
125, 2
126, 2
127, 1
128, 1
129, 2
132, 3
133, 1
134, 1
135, 1
136, 1
137, 1
138, 1
139, 1
140, 1
141, 1
142, 1
146, 3
147, 1
150, 1
151, 2
153, 1
154, 2
155, 1
156, 5
158, 6
159, 1
161, 1
162, 2
163, 2
164, 1
165, 2
166, 4
168, 2
169, 2
170, 1
171, 2
172, 4
173, 6
174, 1
176, 1
177, 2
178, 1
179, 1
180, 1
181, 1
182, 1
184, 2
186, 2
187, 1
189, 1
190, 1
191, 1
192, 1
194, 1
198, 2
200, 1
202, 1
205, 1
208, 1
209, 1
210, 1
213, 5
214, 1
216, 1
217, 2
218, 1
219, 2
221, 4
222, 3
223, 2
224, 5
225, 2
227, 1
229, 1
230, 3
231, 5
232, 5
233, 3
234, 3
235, 3
236, 5
237, 7
238, 7
239, 6
240, 5
241, 14
242, 13
243, 11
244, 16
245, 41
246, 128
247, 1106
