x,y,Category
87,1172,Unique
10,673,Accessory
109,1693,Unique
141,1432,Unique
238,4116,Accessory
163,1734,Unique
6,555,Accessory
172,1171,Core
130,3034,Accessory
154,1558,Unique
139,1896,Unique
170,1723,Unique
69,2264,Accessory
216,3954,Accessory
183,1849,Unique
202,1732,Unique
202,1899,Unique
178,1819,Unique
3,892,Unique
116,2873,Accessory
197,1180,Core
208,3977,Accessory
105,2815,Accessory
3,436,Unique
140,1520,Unique
87,2804,Accessory
120,2962,Accessory
171,3722,Accessory
153,1646,Unique
220,1888,Unique
108,1781,Unique
119,1781,Unique
123,3107,Accessory
158,3363,Accessory
163,3502,Accessory
2,1470,Core
105,1380,Unique
136,1569,Unique
188,1907,Unique
78,2534,Accessory
20,1255,Unique
147,1704,Unique
92,1229,Core
157,1885,Unique
230,4115,Accessory
16,1137,Unique
126,3188,Accessory
35,1237,Core
214,1114,Core
43,1971,Accessory
187,3700,Accessory
181,1723,Unique
218,1729,Unique
85,2461,Accessory
26,1481,Accessory
94,2731,Accessory
162,3452,Accessory
227,1905,Unique
135,1657,Unique
106,1292,Unique
140,1687,Unique
128,1594,Unique
162,1139,Core
11,1079,Unique
142,3385,Accessory
49,2197,Accessory
218,1131,Core
70,2533,Accessory
196,1808,Unique
186,3650,Accessory
188,3758,Accessory
195,3920,Accessory
4,504,Unique
8,468,Accessory
16,1345,Core
212,3823,Accessory
4,1498,Core
35,1751,Accessory
74,1175,Core
100,2895,Accessory
130,1599,Unique
61,2263,Accessory
210,1707,Unique
146,1583,Unique
56,2088,Accessory
14,1130,Accessory
109,2982,Accessory
43,1302,Unique
34,1126,Unique
29,898,Unique
34,1665,Accessory
90,1749,Unique
122,1698,Unique
73,1505,Unique
116,3216,Accessory
64,1329,Unique
234,1759,Unique
71,1237,Core
82,1215,Core
143,3210,Accessory
109,1600,Unique
95,2789,Accessory
207,1883,Unique
98,2826,Accessory
21,745,Unique
136,1495,Unique
81,2591,Accessory
41,1252,Core
61,2227,Accessory
111,1162,Core
139,3121,Accessory
176,1786,Unique
24,1038,Unique
95,1807,Unique
110,2719,Accessory
10,765,Unique
228,1817,Unique
125,1193,Core
22,1350,Accessory
129,1715,Unique
26,1445,Accessory
125,1569,Unique
3,362,Unique
147,3341,Accessory
143,1921,Unique
39,1882,Accessory
208,1795,Unique
86,2718,Accessory
123,1443,Unique
66,1261,Core
212,1820,Unique
186,1874,Unique
177,1698,Unique
186,2005,Unique
74,1287,Unique
147,3305,Accessory
239,1123,Core
22,1314,Accessory
69,1257,Unique
123,3143,Accessory
174,1199,Core
195,3685,Accessory
219,3999,Accessory
103,1630,Unique
127,3238,Accessory
38,1439,Unique
74,2403,Accessory
95,1510,Unique
30,1795,Accessory
144,1833,Unique
22,1079,Unique
145,1671,Unique
41,1948,Accessory
101,1671,Unique
98,2862,Accessory
6,598,Unique
100,1184,Core
33,1214,Unique
19,986,Unique
162,3416,Accessory
201,3801,Accessory
30,1534,Accessory
166,1605,Unique
74,1417,Unique
136,1171,Core
233,1847,Unique
94,2496,Accessory
54,1993,Accessory
106,2901,Accessory
151,3159,Accessory
180,1811,Unique
134,1745,Unique
189,1119,Core
19,1008,Unique
155,3525,Accessory
34,1291,Core
85,1422,Unique
48,1453,Unique
72,2520,Accessory
53,1483,Unique
39,1277,Unique
243,1861,Unique
85,1589,Unique
67,1433,Unique
38,1142,Unique
72,1463,Unique
238,1831,Unique
9,667,Unique
122,1828,Unique
153,3538,Accessory
97,1636,Unique
199,1833,Unique
58,1257,Unique
46,2152,Accessory
236,1872,Unique
112,1517,Unique
55,1386,Unique
43,1395,Unique
29,1189,Unique
42,1260,Unique
142,3349,Accessory
59,1532,Unique
47,1541,Unique
168,1127,Core
77,1521,Unique
188,3794,Accessory
28,1054,Unique
73,1375,Unique
185,3713,Accessory
145,3318,Accessory
216,3990,Accessory
131,2984,Accessory
80,2469,Accessory
59,1169,Unique
83,2438,Accessory
160,3465,Accessory
25,1183,Unique
20,1327,Accessory
194,1775,Unique
102,1429,Unique
54,1474,Unique
45,1298,Unique
129,3261,Accessory
108,1855,Unique
93,1774,Unique
101,2981,Accessory
12,822,Unique
17,762,Unique
13,865,Accessory
88,1744,Unique
103,1704,Unique
27,897,Unique
120,3174,Accessory
198,1791,Unique
183,1552,Unique
151,3195,Accessory
225,1872,Unique
38,1365,Unique
9,951,Unique
37,1230,Unique
232,4102,Accessory
83,1240,Core
73,1208,Core
95,1677,Unique
216,3918,Accessory
83,1686,Unique
82,1551,Unique
20,807,Unique
68,1345,Unique
127,3274,Accessory
189,1745,Unique
117,1668,Unique
188,1610,Unique
11,952,Accessory
28,1589,Accessory
96,2839,Accessory
111,1605,Unique
64,1562,Unique
37,1634,Accessory
127,3013,Accessory
70,1634,Unique
61,1458,Unique
185,1120,Core
131,1874,Unique
56,1428,Unique
77,1225,Core
90,1526,Unique
31,1620,Accessory
106,1172,Core
117,1150,Core
163,1660,Unique
154,1484,Unique
6,961,Unique
158,1630,Unique
60,1259,Core
49,1268,Core
140,3241,Accessory
89,2556,Accessory
50,1235,Unique
36,1029,Unique
209,4014,Accessory
35,1715,Accessory
159,1918,Unique
80,1438,Unique
29,1414,Accessory
164,1572,Unique
101,2720,Accessory
97,2776,Accessory
37,1895,Accessory
43,1935,Accessory
91,2658,Accessory
72,2416,Accessory
8,599,Unique
8,729,Unique
65,2394,Accessory
152,3245,Accessory
50,1458,Unique
111,1452,Unique
166,3583,Accessory
35,1117,Unique
40,1147,Unique
45,2066,Accessory
91,2762,Accessory
25,1359,Accessory
130,1183,Core
116,1756,Unique
9,747,Accessory
24,1271,Unique
184,3627,Accessory
169,1630,Unique
216,1696,Unique
141,1808,Unique
15,1225,Unique
60,1546,Unique
121,1540,Unique
45,1205,Unique
65,2133,Accessory
84,1189,Core
49,1949,Accessory
64,2507,Accessory
220,1721,Unique
5,739,Unique
56,1229,Core
17,1139,Accessory
98,1548,Unique
209,1124,Core
226,1784,Unique
164,1869,Unique
146,1713,Unique
137,1537,Unique
213,1811,Unique
225,4107,Accessory
107,3050,Accessory
4,374,Unique
138,1761,Unique
88,2705,Accessory
138,1812,Unique
182,1714,Unique
231,4016,Accessory
130,3426,Accessory
213,3985,Accessory
129,1585,Unique
7,374,Accessory
67,1280,Unique
158,1927,Unique
56,1507,Unique
145,3354,Accessory
84,2835,Accessory
98,1395,Unique
129,1636,Unique
151,3263,Accessory
111,2841,Accessory
66,2295,Accessory
152,1655,Unique
102,2846,Accessory
95,1380,Unique
229,1808,Unique
75,2565,Accessory
124,1578,Unique
141,3223,Accessory
160,3533,Accessory
40,920,Unique
63,2214,Accessory
20,1032,Unique
210,3872,Accessory
3,259,Accessory
12,1332,Core
71,1625,Unique
1,1693,Core
19,1162,Accessory
194,1905,Unique
124,3008,Accessory
48,2035,Accessory
106,2977,Accessory
2,447,Unique
10,1361,Core
45,1922,Accessory
118,2824,Accessory
155,1526,Unique
6,1047,Unique
201,1741,Unique
57,2305,Accessory
179,3592,Accessory
163,1813,Unique
173,3438,Accessory
16,1216,Unique
216,1849,Unique
214,1867,Unique
76,2583,Accessory
194,1928,Unique
161,1831,Unique
36,1652,Accessory
41,1984,Accessory
62,2164,Accessory
219,3923,Accessory
75,1408,Unique
92,2744,Accessory
244,1113,Core
124,1411,Unique
133,1754,Unique
16,1013,Accessory
59,2093,Accessory
149,3485,Accessory
169,1876,Unique
156,1200,Core
124,3044,Accessory
98,1781,Unique
19,1126,Accessory
28,1364,Accessory
62,2389,Accessory
31,1696,Accessory
83,2474,Accessory
107,2802,Accessory
214,1700,Unique
66,1247,Core
55,1140,Unique
62,2128,Accessory
230,3979,Accessory
39,1312,Core
58,2310,Accessory
128,3175,Accessory
90,1373,Unique
123,1522,Unique
90,2676,Accessory
86,2587,Accessory
98,2758,Accessory
114,1346,Unique
177,1777,Unique
26,959,Unique
154,1637,Unique
170,1644,Unique
174,3456,Accessory
23,1047,Unique
4,182,Accessory
84,1728,Unique
8,572,Accessory
75,1255,Unique
175,3749,Accessory
23,1251,Accessory
218,3837,Accessory
207,1660,Unique
62,1449,Unique
245,1815,Unique
19,609,Unique
132,1865,Unique
148,3467,Accessory
123,1689,Unique
9,718,Unique
108,1211,Core
44,1140,Unique
202,3963,Accessory
67,2120,Accessory
242,1893,Unique
14,1303,Core
96,1645,Unique
177,1828,Unique
110,2755,Accessory
109,1222,Core
42,2021,Accessory
168,1141,Core
27,1216,Unique
66,1079,Unique
80,1415,Unique
168,3570,Accessory
47,2017,Accessory
157,1149,Core
243,4092,Accessory
128,1747,Unique
135,3301,Accessory
150,1831,Unique
180,1681,Unique
48,2071,Accessory
43,2079,Accessory
38,1720,Accessory
103,2864,Accessory
11,907,Unique
34,1629,Accessory
58,1490,Unique
67,2381,Accessory
200,1852,Unique
208,1925,Unique
187,3632,Accessory
60,2281,Accessory
166,3547,Accessory
43,1172,Unique
169,3516,Accessory
88,1600,Unique
181,3694,Accessory
24,958,Unique
148,3399,Accessory
161,1193,Core
184,3663,Accessory
144,3268,Accessory
24,1458,Accessory
141,3299,Accessory
27,1427,Accessory
23,1280,Unique
68,1218,Core
63,2250,Accessory
150,3177,Accessory
199,3740,Accessory
224,1881,Unique
130,1506,Unique
54,1395,Unique
61,2159,Accessory
65,1530,Unique
21,1228,Accessory
24,735,Unique
27,1063,Unique
79,1647,Unique
106,1719,Unique
123,3039,Accessory
231,4052,Accessory
172,3704,Accessory
132,3309,Accessory
18,1157,Accessory
76,1246,Unique
13,834,Unique
193,1784,Unique
101,1438,Unique
11,833,Unique
57,1289,Unique
23,1310,Core
38,1286,Unique
71,1251,Core
150,1905,Unique
241,4069,Accessory
215,3868,Accessory
77,1600,Unique
67,1577,Unique
68,1424,Unique
99,2727,Accessory
205,3932,Accessory
146,3440,Accessory
150,3294,Accessory
63,1338,Unique
189,1666,Unique
153,1493,Unique
93,1196,Core
6,519,Accessory
