x,y,Category
104,4522,Dispensable
91,4487,Dispensable
89,4031,Dispensable
127,4671,Dispensable
142,5124,Dispensable
172,1171,Core
229,5945,Dispensable
150,5043,Dispensable
77,3823,Dispensable
32,2921,Dispensable
197,1180,Core
165,5273,Dispensable
98,4445,Dispensable
53,3532,Dispensable
22,2497,Dispensable
23,2639,Dispensable
74,4154,Dispensable
68,3762,Dispensable
136,4732,Dispensable
133,5063,Dispensable
2,1470,Core
69,3904,Dispensable
70,3865,Dispensable
89,4373,Dispensable
157,5354,Dispensable
112,4441,Dispensable
5,1040,Dispensable
92,1229,Core
166,5415,Dispensable
6,1524,Dispensable
205,5654,Dispensable
35,1237,Core
240,6017,Dispensable
214,1114,Core
82,4073,Dispensable
17,1905,Dispensable
128,4813,Dispensable
130,4916,Dispensable
162,1139,Core
234,5978,Dispensable
197,5494,Dispensable
218,1131,Core
76,3681,Dispensable
174,5334,Dispensable
119,4752,Dispensable
100,4494,Dispensable
194,5553,Dispensable
139,4971,Dispensable
173,5192,Dispensable
16,1345,Core
4,1498,Core
74,1175,Core
214,5715,Dispensable
86,4145,Dispensable
41,3243,Dispensable
145,5010,Dispensable
107,4452,Dispensable
205,5643,Dispensable
35,2851,Dispensable
17,1916,Dispensable
5,1128,Dispensable
191,5678,Dispensable
26,2525,Dispensable
185,5492,Dispensable
170,5262,Dispensable
77,4084,Dispensable
145,5054,Dispensable
71,1237,Core
82,1215,Core
145,4804,Dispensable
78,4226,Dispensable
10,1605,Dispensable
41,1252,Core
27,2932,Dispensable
111,1162,Core
125,1193,Core
162,5343,Dispensable
136,4743,Dispensable
177,5573,Dispensable
50,3657,Dispensable
127,4417,Dispensable
61,3451,Dispensable
65,3887,Dispensable
121,4513,Dispensable
189,5564,Dispensable
66,1261,Core
153,5271,Dispensable
189,5520,Dispensable
161,4995,Dispensable
31,2569,Dispensable
202,5768,Dispensable
210,5687,Dispensable
239,1123,Core
103,4380,Dispensable
174,1199,Core
231,5960,Dispensable
