x,y,Category
47,4575,Total
195,6783,Total
107,5787,Total
91,4487,Dispensable
89,4031,Dispensable
229,5945,Dispensable
150,5043,Dispensable
218,6746,Total
237,7099,Total
197,1180,Core
74,5243,Total
98,4445,Dispensable
207,6667,Total
53,3532,Dispensable
62,5131,Total
148,6298,Total
23,2639,Dispensable
35,4463,Total
59,4687,Total
69,3904,Dispensable
89,4373,Dispensable
157,5354,Dispensable
112,4441,Dispensable
25,3900,Total
5,1040,Dispensable
166,5415,Dispensable
26,3933,Total
214,1114,Core
106,5754,Total
119,5899,Total
82,4073,Dispensable
17,1905,Dispensable
128,4813,Dispensable
154,6324,Total
31,3809,Total
130,4916,Dispensable
162,1139,Core
218,1131,Core
76,3681,Dispensable
53,4601,Total
119,4752,Dispensable
160,6164,Total
100,4494,Dispensable
194,5553,Dispensable
173,5192,Dispensable
112,5594,Total
4,1498,Core
46,4542,Total
2,2027,Total
86,4145,Dispensable
41,3243,Dispensable
97,5750,Total
152,6072,Total
95,5145,Total
107,4452,Dispensable
130,5732,Total
97,5819,Total
35,2851,Dispensable
17,1916,Dispensable
5,1128,Dispensable
147,6265,Total
191,5678,Dispensable
26,2525,Dispensable
185,5492,Dispensable
77,4084,Dispensable
145,5054,Dispensable
155,6357,Total
71,1237,Core
82,1215,Core
10,1605,Dispensable
41,1252,Core
75,4958,Total
110,5863,Total
166,6436,Total
125,1193,Core
162,5343,Dispensable
50,3657,Dispensable
81,5302,Total
121,4513,Dispensable
189,5564,Dispensable
153,5271,Dispensable
131,5765,Total
210,5687,Dispensable
23,3717,Total
103,4380,Dispensable
174,1199,Core
7,2532,Total
231,5960,Dispensable
145,5065,Dispensable
171,5404,Dispensable
159,6377,Total
69,5101,Total
200,6697,Total
94,4020,Dispensable
154,5126,Dispensable
165,6403,Total
122,5709,Total
75,5276,Total
95,4206,Dispensable
157,5001,Dispensable
140,6029,Total
136,1171,Core
24,3681,Total
2,1975,Total
189,1119,Core
34,1291,Core
195,6517,Total
125,4938,Dispensable
31,2514,Dispensable
134,6120,Total
138,6053,Total
175,6648,Total
190,5481,Dispensable
186,5336,Dispensable
15,3538,Total
22,2453,Dispensable
29,2753,Dispensable
116,4524,Dispensable
107,5452,Total
94,4362,Dispensable
234,7000,Total
38,2825,Dispensable
36,4161,Total
31,4127,Total
39,4061,Total
82,3867,Dispensable
167,6469,Total
14,3505,Total
130,5122,Dispensable
205,5698,Dispensable
146,6232,Total
139,6086,Total
48,3201,Dispensable
104,4577,Dispensable
174,6615,Total
108,5621,Total
214,5759,Dispensable
70,3567,Dispensable
177,5275,Dispensable
83,1240,Core
150,4848,Dispensable
19,3608,Total
52,4903,Total
50,3304,Dispensable
235,6981,Total
105,5721,Total
95,4471,Dispensable
29,2411,Dispensable
4,742,Dispensable
186,6571,Total
185,1120,Core
43,4239,Total
235,7033,Total
149,5137,Dispensable
56,4787,Total
128,5107,Dispensable
48,3543,Dispensable
230,5851,Dispensable
106,1172,Core
117,1150,Core
94,4108,Dispensable
57,3604,Dispensable
60,1259,Core
49,1268,Core
216,6879,Total
178,6548,Total
221,5790,Dispensable
219,6779,Total
54,3729,Dispensable
155,6022,Total
197,5527,Dispensable
39,3217,Dispensable
116,5800,Total
55,5072,Total
109,5654,Total
174,5047,Dispensable
7,2396,Total
153,5017,Dispensable
236,7066,Total
41,3232,Dispensable
55,4754,Total
146,5914,Total
35,2939,Dispensable
89,5305,Total
141,4776,Dispensable
137,6020,Total
198,6683,Total
22,2100,Dispensable
5,1117,Dispensable
57,3615,Dispensable
102,5418,Total
230,6947,Total
194,6750,Total
40,4339,Total
117,5833,Total
150,4837,Dispensable
84,1189,Core
152,4967,Dispensable
174,5389,Dispensable
186,6727,Total
153,5359,Dispensable
71,4888,Total
40,2840,Dispensable
56,1229,Core
215,6846,Total
18,3754,Total
38,3020,Dispensable
161,6284,Total
167,6556,Total
101,4349,Dispensable
116,5713,Total
146,6145,Total
92,4585,Dispensable
134,5802,Total
1,1855,Total
39,4217,Total
119,5035,Dispensable
108,5956,Total
5,2330,Total
23,3561,Total
214,5682,Dispensable
56,3175,Dispensable
85,4036,Dispensable
92,4243,Dispensable
101,5651,Total
170,5560,Dispensable
59,3734,Dispensable
66,3941,Dispensable
18,3389,Total
92,4596,Dispensable
188,5466,Dispensable
10,1361,Core
18,2220,Dispensable
131,6083,Total
25,2681,Dispensable
70,5310,Total
232,5804,Dispensable
203,6734,Total
156,5245,Dispensable
111,4332,Dispensable
72,3697,Dispensable
47,3434,Dispensable
85,5186,Total
46,4455,Total
54,3641,Dispensable
78,5313,Total
142,5091,Dispensable
130,6119,Total
244,1113,Core
163,5452,Dispensable
190,6749,Total
37,2981,Dispensable
65,3589,Dispensable
67,4866,Total
90,4290,Dispensable
38,4363,Total
140,4667,Dispensable
42,3341,Dispensable
66,3930,Dispensable
221,5878,Dispensable
13,3001,Total
177,6379,Total
144,6414,Total
6,1226,Dispensable
162,6503,Total
136,6322,Total
218,5754,Dispensable
113,4638,Dispensable
20,2323,Dispensable
109,4582,Dispensable
160,5213,Dispensable
10,1870,Dispensable
159,4925,Dispensable
88,4275,Dispensable
155,6444,Total
108,1211,Core
77,3878,Dispensable
145,4859,Dispensable
124,4829,Dispensable
74,5156,Total
14,1303,Core
192,5434,Dispensable
109,1222,Core
2,401,Dispensable
171,6578,Total
5,2665,Total
97,5298,Total
16,2002,Dispensable
82,5422,Total
127,4704,Dispensable
134,4911,Dispensable
64,3723,Dispensable
54,4969,Total
181,5497,Dispensable
115,5631,Total
158,6257,Total
131,5852,Total
239,7103,Total
111,5717,Total
86,5268,Total
68,1218,Core
76,3769,Dispensable
82,5335,Total
83,3976,Dispensable
225,5862,Dispensable
58,3724,Dispensable
96,4315,Dispensable
40,2928,Dispensable
52,3092,Dispensable
110,4322,Dispensable
89,4119,Dispensable
35,3145,Dispensable
178,5384,Dispensable
166,6349,Total
90,5514,Total
191,5590,Dispensable
151,6108,Total
94,5447,Total
71,1251,Core
198,6820,Total
60,3397,Dispensable
103,5538,Total
111,5896,Total
124,6210,Total
128,6143,Total
92,5245,Total
151,4946,Dispensable
184,5383,Dispensable
181,6488,Total
196,5683,Dispensable
44,2912,Dispensable
15,1952,Dispensable
224,7041,Total
95,4217,Dispensable
196,5506,Dispensable
37,4281,Total
174,6528,Total
152,5162,Dispensable
49,1282,Core
11,1714,Dispensable
41,1238,Core
126,5958,Total
204,5589,Dispensable
189,5575,Dispensable
65,3832,Dispensable
211,5796,Dispensable
115,4415,Dispensable
182,6707,Total
122,4622,Dispensable
84,4026,Dispensable
17,3269,Total
168,5545,Dispensable
17,2111,Dispensable
151,4957,Dispensable
119,5986,Total
8,1698,Dispensable
130,4927,Dispensable
54,4634,Total
243,7125,Total
191,5325,Dispensable
13,3336,Total
133,4802,Dispensable
139,5210,Dispensable
28,3800,Total
156,6526,Total
127,6061,Total
52,1216,Core
111,5561,Total
88,5558,Total
220,6988,Total
194,6819,Total
101,4338,Dispensable
86,3851,Dispensable
205,6780,Total
28,2302,Dispensable
176,6661,Total
208,6787,Total
122,4611,Dispensable
81,3670,Dispensable
