x,y,Category,Metric
4,-59.25,Core,Average
4,253.09,Accessory,Average
5,-26.14,Core,Average
5,186.61,Accessory,Average
6,-15.52,Core,Average
6,150.88,Accessory,Average
7,-10.97,Core,Average
7,127.64,Accessory,Average
8,-8.21,Core,Average
8,115.06,Accessory,Average
9,-7.04,Core,Average
9,104.06,Accessory,Average
10,-6.24,Core,Average
10,94.37,Accessory,Average
11,-5.61,Core,Average
11,88.87,Accessory,Average
12,-4.94,Core,Average
12,81.64,Accessory,Average
13,-4.86,Core,Average
13,76.57,Accessory,Average
14,-4.33,Core,Average
14,74.69,Accessory,Average
15,-3.96,Core,Average
15,67.17,Accessory,Average
16,-3.82,Core,Average
16,63.62,Accessory,Average
17,-3.74,Core,Average
17,63.77,Accessory,Average
18,-3.19,Core,Average
18,57.21,Accessory,Average
19,-3.02,Core,Average
19,54.51,Accessory,Average
20,-2.94,Core,Average
20,54.58,Accessory,Average
21,-2.89,Core,Average
21,50.81,Accessory,Average
22,-2.87,Core,Average
22,49.50,Accessory,Average
23,-2.76,Core,Average
23,50.04,Accessory,Average
24,-2.44,Core,Average
24,46.32,Accessory,Average
25,-2.46,Core,Average
25,46.23,Accessory,Average
26,-2.50,Core,Average
26,43.16,Accessory,Average
27,-2.48,Core,Average
27,43.22,Accessory,Average
28,-2.37,Core,Average
28,41.60,Accessory,Average
29,-2.33,Core,Average
29,41.86,Accessory,Average
30,-2.34,Core,Average
30,40.42,Accessory,Average
31,-2.19,Core,Average
31,40.02,Accessory,Average
32,-2.09,Core,Average
32,38.65,Accessory,Average
33,-2.01,Core,Average
33,36.82,Accessory,Average
34,-1.78,Core,Average
34,34.72,Accessory,Average
35,-2.02,Core,Average
35,37.39,Accessory,Average
36,-1.96,Core,Average
36,34.89,Accessory,Average
37,-2.03,Core,Average
37,36.96,Accessory,Average
38,-1.73,Core,Average
38,34.00,Accessory,Average
39,-1.77,Core,Average
39,33.01,Accessory,Average
40,-1.70,Core,Average
40,33.45,Accessory,Average
41,-1.68,Core,Average
41,30.51,Accessory,Average
42,-1.74,Core,Average
42,30.87,Accessory,Average
43,-1.65,Core,Average
43,30.83,Accessory,Average
44,-1.47,Core,Average
44,30.04,Accessory,Average
45,-1.62,Core,Average
45,30.90,Accessory,Average
46,-1.61,Core,Average
46,30.09,Accessory,Average
47,-1.36,Core,Average
47,26.54,Accessory,Average
48,-1.51,Core,Average
48,27.72,Accessory,Average
49,-1.60,Core,Average
49,28.79,Accessory,Average
50,-1.49,Core,Average
50,27.00,Accessory,Average
51,-1.46,Core,Average
51,26.62,Accessory,Average
52,-1.40,Core,Average
52,28.16,Accessory,Average
53,-1.45,Core,Average
53,26.86,Accessory,Average
54,-1.44,Core,Average
54,26.48,Accessory,Average
55,-1.31,Core,Average
55,27.71,Accessory,Average
56,-1.27,Core,Average
56,24.02,Accessory,Average
57,-1.45,Core,Average
57,27.15,Accessory,Average
58,-1.25,Core,Average
58,25.15,Accessory,Average
59,-1.19,Core,Average
59,23.14,Accessory,Average
60,-1.28,Core,Average
60,23.74,Accessory,Average
61,-1.24,Core,Average
61,24.31,Accessory,Average
62,-1.11,Core,Average
62,22.41,Accessory,Average
63,-1.11,Core,Average
63,20.85,Accessory,Average
64,-1.28,Core,Average
64,23.13,Accessory,Average
65,-1.20,Core,Average
65,22.74,Accessory,Average
66,-1.16,Core,Average
66,20.69,Accessory,Average
67,-1.20,Core,Average
67,21.69,Accessory,Average
68,-1.15,Core,Average
68,21.85,Accessory,Average
69,-1.18,Core,Average
69,21.98,Accessory,Average
70,-1.09,Core,Average
70,21.53,Accessory,Average
71,-1.21,Core,Average
71,21.61,Accessory,Average
72,-1.22,Core,Average
72,22.18,Accessory,Average
73,-1.13,Core,Average
73,21.69,Accessory,Average
74,-1.08,Core,Average
74,20.89,Accessory,Average
75,-1.06,Core,Average
75,19.43,Accessory,Average
76,-1.09,Core,Average
76,20.89,Accessory,Average
77,-1.07,Core,Average
77,19.63,Accessory,Average
78,-1.00,Core,Average
78,18.82,Accessory,Average
79,-1.14,Core,Average
79,19.25,Accessory,Average
80,-1.11,Core,Average
80,20.26,Accessory,Average
81,-1.04,Core,Average
81,20.66,Accessory,Average
82,-1.01,Core,Average
82,19.77,Accessory,Average
83,-1.10,Core,Average
83,19.01,Accessory,Average
84,-1.03,Core,Average
84,19.33,Accessory,Average
85,-1.05,Core,Average
85,19.17,Accessory,Average
86,-0.96,Core,Average
86,18.32,Accessory,Average
87,-0.96,Core,Average
87,18.01,Accessory,Average
88,-1.03,Core,Average
88,17.77,Accessory,Average
89,-1.13,Core,Average
89,18.07,Accessory,Average
90,-0.97,Core,Average
90,18.00,Accessory,Average
91,-0.85,Core,Average
91,17.03,Accessory,Average
92,-0.84,Core,Average
92,16.70,Accessory,Average
93,-0.94,Core,Average
93,18.33,Accessory,Average
94,-0.88,Core,Average
94,16.74,Accessory,Average
