x,y,Category,Metric
4,-49.00,Core,Median
4,172.00,Accessory,Median
4,84.00,Unique,Median
5,-22.00,Core,Median
5,116.00,Accessory,Median
5,71.00,Unique,Median
6,-12.00,Core,Median
6,100.00,Accessory,Median
6,53.00,Unique,Median
7,-9.00,Core,Median
7,89.00,Accessory,Median
7,46.00,Unique,Median
8,-7.00,Core,Median
8,76.00,Accessory,Median
8,43.00,Unique,Median
9,-6.00,Core,Median
9,73.00,Accessory,Median
9,34.00,Unique,Median
10,-5.00,Core,Median
10,65.00,Accessory,Median
10,31.00,Unique,Median
11,-4.00,Core,Median
11,64.00,Accessory,Median
11,29.00,Unique,Median
12,-4.00,Core,Median
12,56.00,Accessory,Median
12,25.00,Unique,Median
13,-4.00,Core,Median
13,54.00,Accessory,Median
13,23.00,Unique,Median
14,-3.00,Core,Median
14,52.00,Accessory,Median
14,23.00,Unique,Median
15,-3.00,Core,Median
15,47.00,Accessory,Median
15,20.00,Unique,Median
16,-2.00,Core,Median
16,46.00,Accessory,Median
16,16.00,Unique,Median
17,-2.00,Core,Median
17,44.00,Accessory,Median
17,17.00,Unique,Median
18,-2.00,Core,Median
18,41.00,Accessory,Median
18,13.00,Unique,Median
19,-2.00,Core,Median
19,37.00,Accessory,Median
19,13.00,Unique,Median
20,-2.00,Core,Median
20,38.00,Accessory,Median
20,13.00,Unique,Median
21,-2.00,Core,Median
21,34.00,Accessory,Median
21,10.00,Unique,Median
22,-2.00,Core,Median
22,35.00,Accessory,Median
22,11.00,Unique,Median
23,-2.00,Core,Median
23,33.00,Accessory,Median
23,12.00,Unique,Median
24,-1.00,Core,Median
24,32.00,Accessory,Median
24,9.00,Unique,Median
25,-1.00,Core,Median
25,29.00,Accessory,Median
25,10.00,Unique,Median
26,-1.00,Core,Median
26,30.00,Accessory,Median
26,8.00,Unique,Median
27,-1.00,Core,Median
27,28.00,Accessory,Median
27,8.00,Unique,Median
28,-1.00,Core,Median
28,28.00,Accessory,Median
28,7.00,Unique,Median
29,-1.00,Core,Median
29,27.00,Accessory,Median
29,9.00,Unique,Median
30,-1.00,Core,Median
30,26.00,Accessory,Median
30,8.00,Unique,Median
31,-1.00,Core,Median
31,24.00,Accessory,Median
31,7.00,Unique,Median
32,-1.00,Core,Median
32,24.00,Accessory,Median
32,7.00,Unique,Median
33,-1.00,Core,Median
33,24.00,Accessory,Median
33,6.00,Unique,Median
34,-1.00,Core,Median
34,23.00,Accessory,Median
34,5.00,Unique,Median
35,-1.00,Core,Median
35,23.00,Accessory,Median
35,7.00,Unique,Median
36,-1.00,Core,Median
36,21.00,Accessory,Median
36,6.00,Unique,Median
37,-1.00,Core,Median
37,22.00,Accessory,Median
37,7.00,Unique,Median
38,-1.00,Core,Median
38,20.00,Accessory,Median
38,5.00,Unique,Median
39,-1.00,Core,Median
39,21.00,Accessory,Median
39,4.00,Unique,Median
40,-1.00,Core,Median
40,21.00,Accessory,Median
40,5.00,Unique,Median
41,-1.00,Core,Median
41,19.00,Accessory,Median
41,4.00,Unique,Median
42,-1.00,Core,Median
42,20.00,Accessory,Median
42,3.00,Unique,Median
43,-1.00,Core,Median
43,19.00,Accessory,Median
43,4.00,Unique,Median
44,-1.00,Core,Median
44,18.00,Accessory,Median
44,4.00,Unique,Median
45,-1.00,Core,Median
45,19.00,Accessory,Median
45,5.00,Unique,Median
46,-1.00,Core,Median
46,19.00,Accessory,Median
46,3.00,Unique,Median
47,-1.00,Core,Median
47,18.00,Accessory,Median
47,2.00,Unique,Median
48,0.00,Core,Median
48,17.00,Accessory,Median
48,3.00,Unique,Median
49,-1.00,Core,Median
49,17.00,Accessory,Median
49,4.00,Unique,Median
50,0.00,Core,Median
50,16.00,Accessory,Median
50,3.00,Unique,Median
51,0.00,Core,Median
51,17.00,Accessory,Median
51,2.00,Unique,Median
52,0.00,Core,Median
52,17.00,Accessory,Median
52,3.00,Unique,Median
53,-1.00,Core,Median
53,16.00,Accessory,Median
53,3.00,Unique,Median
54,-1.00,Core,Median
54,15.00,Accessory,Median
54,3.00,Unique,Median
55,0.00,Core,Median
55,15.00,Accessory,Median
55,3.00,Unique,Median
56,0.00,Core,Median
56,15.00,Accessory,Median
