x,y,Category
7,3536,Core
11,3298,Core
24,1682,Dispensable
49,2343,Dispensable
5,813,Dispensable
22,1905,Dispensable
28,3264,Core
8,1290,Dispensable
27,1590,Dispensable
21,1774,Dispensable
42,2043,Dispensable
47,3156,Core
12,1139,Dispensable
14,3477,Core
36,3250,Core
4,455,Dispensable
33,1743,Dispensable
34,3204,Core
20,3417,Core
22,3463,Core
13,1502,Dispensable
8,927,Dispensable
30,1824,Dispensable
8,938,Dispensable
30,1835,Dispensable
26,3218,Core
34,2124,Dispensable
34,2113,Dispensable
28,1732,Dispensable
28,1721,Dispensable
45,2293,Dispensable
51,2457,Dispensable
25,1824,Dispensable
25,1813,Dispensable
51,2446,Dispensable
19,1660,Dispensable
19,1671,Dispensable
30,2074,Dispensable
30,2085,Dispensable
19,1439,Dispensable
25,2063,Dispensable
24,1671,Dispensable
11,3539,Core
14,3420,Core
37,3142,Core
23,3355,Core
5,802,Dispensable
21,1785,Dispensable
44,3218,Core
15,1389,Dispensable
21,1763,Dispensable
25,3326,Core
24,3193,Core
4,444,Dispensable
33,1732,Dispensable
13,1513,Dispensable
36,1982,Dispensable
12,1371,Dispensable
21,3309,Core
10,3403,Core
15,1290,Dispensable
8,3428,Core
26,3293,Core
37,2021,Dispensable
16,1410,Dispensable
5,824,Dispensable
42,3247,Core
8,1047,Dispensable
18,1286,Dispensable
42,2065,Dispensable
16,1509,Dispensable
38,3221,Core
4,477,Dispensable
16,1741,Dispensable
33,1721,Dispensable
42,2374,Dispensable
13,1524,Dispensable
16,1785,Dispensable
30,1846,Dispensable
53,3099,Core
30,1802,Dispensable
34,2146,Dispensable
34,2102,Dispensable
45,3185,Core
13,3585,Core
28,1754,Dispensable
51,2468,Dispensable
45,2282,Dispensable
51,2479,Dispensable
25,1802,Dispensable
51,2435,Dispensable
19,1428,Dispensable
25,1835,Dispensable
19,1417,Dispensable
25,1846,Dispensable
19,1693,Dispensable
30,2052,Dispensable
42,3193,Core
8,3374,Core
9,1101,Dispensable
51,2424,Dispensable
24,1693,Dispensable
4,775,Dispensable
12,1106,Dispensable
19,1759,Dispensable
46,2424,Dispensable
8,3615,Core
49,2354,Dispensable
49,2310,Dispensable
36,3304,Core
9,1432,Dispensable
42,2076,Dispensable
9,3636,Core
13,3398,Core
20,3363,Core
42,2363,Dispensable
5,3436,Core
21,3384,Core
28,3318,Core
36,1971,Dispensable
12,1382,Dispensable
37,2032,Dispensable
15,3312,Core
16,1443,Dispensable
7,790,Dispensable
17,3412,Core
29,3156,Core
10,3647,Core
8,1058,Dispensable
49,3127,Core
15,1069,Dispensable
4,764,Dispensable
49,2387,Dispensable
5,1073,Dispensable
21,1465,Dispensable
15,1356,Dispensable
17,3286,Core
39,3242,Core
11,3370,Core
48,2289,Dispensable
21,1730,Dispensable
39,1989,Dispensable
50,3104,Core
42,3118,Core
12,3503,Core
25,3272,Core
12,1448,Dispensable
8,850,Dispensable
36,1960,Dispensable
21,1509,Dispensable
29,1907,Dispensable
7,3482,Core
52,3092,Core
7,889,Dispensable
12,1051,Dispensable
2,3814,Core
7,878,Dispensable
28,1776,Dispensable
28,1765,Dispensable
45,2260,Dispensable
30,2030,Dispensable
30,2041,Dispensable
20,1367,Dispensable
30,1879,Dispensable
30,1868,Dispensable
41,3168,Core
21,1476,Dispensable
33,1809,Dispensable
12,3377,Core
15,1345,Dispensable
6,3590,Core
48,2278,Dispensable
43,2207,Dispensable
41,3111,Core
8,861,Dispensable
37,1837,Dispensable
39,3299,Core
13,1535,Dispensable
13,1557,Dispensable
30,3377,Core
12,1393,Dispensable
33,2059,Dispensable
37,2087,Dispensable
27,1689,Dispensable
5,1106,Dispensable
16,3394,Core
16,1432,Dispensable
22,1618,Dispensable
12,3320,Core
19,1373,Dispensable
5,868,Dispensable
18,3494,Core
8,1003,Dispensable
24,1748,Dispensable
8,3690,Core
51,2380,Dispensable
17,3527,Core
12,1117,Dispensable
46,2413,Dispensable
4,742,Dispensable
21,3255,Core
32,3233,Core
43,3211,Core
3,3706,Core
49,2365,Dispensable
15,1334,Dispensable
21,3438,Core
46,3135,Core
21,1796,Dispensable
16,3520,Core
37,3199,Core
48,3177,Core
24,3247,Core
54,3121,Core
21,3499,Core
38,2229,Dispensable
8,916,Dispensable
34,2135,Dispensable
29,1929,Dispensable
29,1918,Dispensable
7,867,Dispensable
12,1073,Dispensable
27,3372,Core
14,1192,Dispensable
45,2271,Dispensable
26,3347,Core
41,3226,Core
20,1389,Dispensable
46,2402,Dispensable
4,753,Dispensable
49,2376,Dispensable
13,1204,Dispensable
42,2054,Dispensable
42,2109,Dispensable
12,1128,Dispensable
39,1978,Dispensable
19,3386,Core
30,3316,Core
37,3257,Core
23,3172,Core
34,3150,Core
3,3648,Core
9,3582,Core
10,3518,Core
16,1752,Dispensable
12,1459,Dispensable
2,423,Dispensable
7,3665,Core
33,2048,Dispensable
37,2098,Dispensable
37,2010,Dispensable
22,1607,Dispensable
16,1421,Dispensable
5,3565,Core
15,3369,Core
23,1595,Dispensable
3,373,Dispensable
19,1384,Dispensable
51,2391,Dispensable
5,879,Dispensable
24,1737,Dispensable
46,2159,Dispensable
4,3788,Core
33,3254,Core
15,1312,Dispensable
17,1629,Dispensable
45,2337,Dispensable
14,3362,Core
48,2245,Dispensable
34,3319,Core
7,3421,Core
14,3294,Core
13,1237,Dispensable
41,2298,Dispensable
6,1248,Dispensable
8,894,Dispensable
33,3186,Core
32,1998,Dispensable
5,780,Dispensable
38,2130,Dispensable
36,3117,Core
30,3391,Core
