x,y,Category
7,3536,Core
11,3298,Core
24,1682,Dispensable
49,2343,Dispensable
6,4500,Total
5,813,Dispensable
22,1905,Dispensable
28,3264,Core
8,1290,Dispensable
27,1590,Dispensable
19,4856,Total
21,1774,Dispensable
42,2043,Dispensable
27,4985,Total
47,3156,Core
12,1139,Dispensable
14,3477,Core
36,3250,Core
4,455,Dispensable
33,1743,Dispensable
49,5567,Total
16,4813,Total
34,3204,Core
10,4541,Total
20,3417,Core
31,5183,Total
22,3463,Core
13,1502,Dispensable
8,927,Dispensable
30,1824,Dispensable
8,938,Dispensable
23,5054,Total
30,1835,Dispensable
26,3218,Core
34,2124,Dispensable
34,2113,Dispensable
32,5123,Total
46,5524,Total
35,5166,Total
28,1732,Dispensable
28,1721,Dispensable
42,5262,Total
45,2293,Dispensable
51,2457,Dispensable
26,5004,Total
20,5011,Total
25,1824,Dispensable
25,1813,Dispensable
51,2446,Dispensable
19,1660,Dispensable
19,1671,Dispensable
30,2074,Dispensable
30,2085,Dispensable
19,1439,Dispensable
25,2063,Dispensable
3,4271,Total
24,1671,Dispensable
37,5176,Total
29,5047,Total
11,3539,Core
14,3420,Core
37,3142,Core
23,3355,Core
5,802,Dispensable
26,4952,Total
21,1785,Dispensable
44,3218,Core
15,1389,Dispensable
21,1763,Dispensable
25,3326,Core
24,3193,Core
48,5534,Total
15,4873,Total
4,444,Dispensable
33,1732,Dispensable
13,1513,Dispensable
2,4307,Total
1,3906,Total
36,1982,Dispensable
36,5106,Total
12,1371,Dispensable
36,5199,Total
21,3309,Core
10,3403,Core
15,1290,Dispensable
8,3428,Core
22,5021,Total
26,3293,Core
27,5037,Total
37,2021,Dispensable
40,5252,Total
16,1410,Dispensable
22,4932,Total
5,824,Dispensable
14,4896,Total
21,5044,Total
30,5219,Total
42,3247,Core
33,5193,Total
8,1047,Dispensable
18,1286,Dispensable
30,5113,Total
17,4883,Total
11,4853,Total
42,2065,Dispensable
14,4840,Total
16,1509,Dispensable
38,3221,Core
4,477,Dispensable
16,1741,Dispensable
33,1721,Dispensable
42,2374,Dispensable
13,1524,Dispensable
16,1785,Dispensable
30,1846,Dispensable
11,4890,Total
8,4510,Total
53,3099,Core
30,1802,Dispensable
34,2146,Dispensable
34,2102,Dispensable
45,3185,Core
13,3585,Core
37,5139,Total
18,4879,Total
25,4975,Total
28,1754,Dispensable
51,2468,Dispensable
45,2282,Dispensable
51,2479,Dispensable
25,1802,Dispensable
51,2435,Dispensable
19,1428,Dispensable
25,1835,Dispensable
19,1417,Dispensable
25,1846,Dispensable
19,1693,Dispensable
30,2052,Dispensable
42,3193,Core
8,3374,Core
5,4523,Total
9,1101,Dispensable
51,2424,Dispensable
24,1693,Dispensable
4,775,Dispensable
12,1106,Dispensable
19,1759,Dispensable
46,2424,Dispensable
10,4647,Total
8,3615,Core
49,2354,Dispensable
23,5017,Total
31,5146,Total
49,2310,Dispensable
36,3304,Core
9,1432,Dispensable
42,2076,Dispensable
9,3636,Core
13,3398,Core
29,4995,Total
27,5074,Total
20,3363,Core
42,2363,Dispensable
5,3436,Core
21,3384,Core
24,5087,Total
28,3318,Core
36,1971,Dispensable
46,5282,Total
12,1382,Dispensable
17,4846,Total
37,2032,Dispensable
15,3312,Core
6,4556,Total
43,5295,Total
3,4377,Total
34,5133,Total
16,1443,Dispensable
7,790,Dispensable
17,3412,Core
29,3156,Core
10,3647,Core
21,5081,Total
8,1058,Dispensable
49,3127,Core
15,1069,Dispensable
9,4543,Total
13,4547,Total
4,764,Dispensable
49,2387,Dispensable
5,1073,Dispensable
21,1465,Dispensable
15,1356,Dispensable
17,3286,Core
23,5091,Total
39,3242,Core
10,4504,Total
11,3370,Core
38,5382,Total
48,2289,Dispensable
21,1730,Dispensable
10,4597,Total
39,1989,Dispensable
50,3104,Core
42,3118,Core
12,3503,Core
13,4826,Total
25,3272,Core
49,5461,Total
34,5170,Total
6,4327,Total
12,1448,Dispensable
8,850,Dispensable
36,1960,Dispensable
19,4800,Total
18,4929,Total
21,1509,Dispensable
29,1907,Dispensable
7,3482,Core
10,4876,Total
26,5041,Total
52,3092,Core
7,889,Dispensable
12,1051,Dispensable
9,4599,Total
2,3814,Core
7,878,Dispensable
28,1776,Dispensable
28,1765,Dispensable
7,4589,Total
9,4649,Total
45,2260,Dispensable
30,2030,Dispensable
30,2041,Dispensable
15,4979,Total
20,1367,Dispensable
30,1879,Dispensable
30,1868,Dispensable
41,3168,Core
17,4740,Total
24,5031,Total
21,1476,Dispensable
33,1809,Dispensable
12,3377,Core
15,1345,Dispensable
32,5160,Total
6,3590,Core
8,4616,Total
48,2278,Dispensable
29,5220,Total
43,2207,Dispensable
16,4850,Total
41,3111,Core
20,4922,Total
8,861,Dispensable
37,1837,Dispensable
39,3299,Core
13,1535,Dispensable
13,1557,Dispensable
30,3377,Core
12,1393,Dispensable
20,5067,Total
36,5372,Total
33,2059,Dispensable
37,2087,Dispensable
33,5119,Total
27,1689,Dispensable
21,4955,Total
27,5210,Total
5,1106,Dispensable
16,3394,Core
16,1432,Dispensable
22,1618,Dispensable
9,4506,Total
12,3320,Core
19,1373,Dispensable
5,868,Dispensable
18,3494,Core
8,1003,Dispensable
24,1748,Dispensable
8,3690,Core
51,2380,Dispensable
17,3527,Core
12,1117,Dispensable
46,2413,Dispensable
4,742,Dispensable
21,3255,Core
32,3233,Core
43,3211,Core
3,3706,Core
49,2365,Dispensable
15,1334,Dispensable
21,3438,Core
46,3135,Core
47,5328,Total
21,1796,Dispensable
47,5501,Total
16,3520,Core
