x,y,Category,Metric
4,-92.59,Core,Average
4,186.79,Accessory,Average
5,-68.44,Core,Average
5,139.71,Accessory,Average
6,-49.77,Core,Average
6,107.71,Accessory,Average
7,-37.97,Core,Average
7,87.15,Accessory,Average
8,-32.88,Core,Average
8,80.07,Accessory,Average
9,-26.89,Core,Average
9,69.13,Accessory,Average
10,-23.02,Core,Average
10,62.12,Accessory,Average
11,-19.73,Core,Average
11,56.82,Accessory,Average
12,-18.18,Core,Average
12,55.18,Accessory,Average
13,-16.80,Core,Average
13,50.54,Accessory,Average
14,-14.29,Core,Average
14,46.17,Accessory,Average
15,-12.90,Core,Average
15,43.30,Accessory,Average
16,-14.48,Core,Average
16,45.78,Accessory,Average
17,-12.38,Core,Average
17,41.43,Accessory,Average
18,-12.08,Core,Average
18,40.07,Accessory,Average
19,-10.59,Core,Average
19,37.40,Accessory,Average
20,-10.99,Core,Average
20,37.73,Accessory,Average
21,-9.60,Core,Average
21,34.82,Accessory,Average
22,-10.61,Core,Average
22,35.33,Accessory,Average
23,-9.50,Core,Average
23,33.16,Accessory,Average
24,-10.10,Core,Average
24,33.52,Accessory,Average
25,-10.70,Core,Average
25,36.84,Accessory,Average
26,-8.86,Core,Average
26,31.20,Accessory,Average
27,-9.64,Core,Average
27,33.35,Accessory,Average
28,-7.71,Core,Average
28,27.43,Accessory,Average
29,-8.94,Core,Average
29,31.48,Accessory,Average
30,-7.91,Core,Average
30,29.68,Accessory,Average
31,-7.84,Core,Average
31,28.84,Accessory,Average
32,-7.76,Core,Average
32,27.53,Accessory,Average
33,-6.79,Core,Average
33,26.38,Accessory,Average
34,-7.06,Core,Average
34,26.36,Accessory,Average
35,-6.95,Core,Average
35,25.96,Accessory,Average
36,-7.43,Core,Average
36,27.25,Accessory,Average
37,-7.88,Core,Average
37,28.07,Accessory,Average
38,-6.98,Core,Average
38,25.07,Accessory,Average
39,-7.16,Core,Average
39,25.70,Accessory,Average
40,-7.81,Core,Average
40,26.64,Accessory,Average
41,-6.95,Core,Average
41,25.34,Accessory,Average
42,-7.74,Core,Average
42,25.61,Accessory,Average
43,-5.93,Core,Average
43,22.11,Accessory,Average
44,-6.44,Core,Average
44,22.93,Accessory,Average
45,-6.28,Core,Average
45,22.34,Accessory,Average
46,-6.68,Core,Average
46,24.17,Accessory,Average
47,-6.09,Core,Average
47,22.21,Accessory,Average
48,-6.23,Core,Average
48,22.84,Accessory,Average
49,-5.50,Core,Average
49,20.93,Accessory,Average
50,-5.53,Core,Average
50,20.69,Accessory,Average
51,-5.56,Core,Average
51,21.01,Accessory,Average
52,-6.26,Core,Average
52,22.09,Accessory,Average
53,-4.72,Core,Average
53,19.49,Accessory,Average
54,-5.92,Core,Average
54,21.76,Accessory,Average
55,-4.86,Core,Average
55,19.42,Accessory,Average
56,-5.00,Core,Average
56,20.14,Accessory,Average
57,-4.75,Core,Average
57,18.79,Accessory,Average
