x,y,Category,Metric
4,-75.00,Core,Median
4,172.00,Accessory,Median
5,-49.00,Core,Median
5,132.00,Accessory,Median
6,-27.00,Core,Median
6,98.00,Accessory,Median
7,-16.00,Core,Median
7,68.00,Accessory,Median
8,-12.00,Core,Median
8,59.00,Accessory,Median
9,-10.00,Core,Median
9,48.00,Accessory,Median
10,-7.00,Core,Median
10,36.00,Accessory,Median
11,-6.00,Core,Median
11,31.00,Accessory,Median
12,-5.00,Core,Median
12,31.00,Accessory,Median
13,-4.00,Core,Median
13,26.00,Accessory,Median
14,-4.00,Core,Median
14,24.00,Accessory,Median
15,-3.00,Core,Median
15,23.00,Accessory,Median
16,-4.00,Core,Median
16,24.00,Accessory,Median
17,-3.00,Core,Median
17,23.00,Accessory,Median
18,-3.00,Core,Median
18,22.00,Accessory,Median
19,-3.00,Core,Median
19,21.00,Accessory,Median
20,-3.00,Core,Median
20,21.00,Accessory,Median
21,-2.00,Core,Median
21,20.00,Accessory,Median
22,-2.00,Core,Median
22,20.00,Accessory,Median
23,-2.00,Core,Median
23,19.00,Accessory,Median
24,-2.00,Core,Median
24,19.00,Accessory,Median
25,-2.00,Core,Median
25,20.00,Accessory,Median
26,-2.00,Core,Median
26,18.00,Accessory,Median
27,-2.00,Core,Median
27,18.00,Accessory,Median
28,-2.00,Core,Median
28,16.00,Accessory,Median
29,-2.00,Core,Median
29,18.00,Accessory,Median
30,-2.00,Core,Median
30,18.00,Accessory,Median
31,-2.00,Core,Median
31,18.00,Accessory,Median
32,-2.00,Core,Median
32,16.00,Accessory,Median
33,-2.00,Core,Median
33,16.00,Accessory,Median
34,-2.00,Core,Median
34,16.00,Accessory,Median
35,-2.00,Core,Median
35,17.00,Accessory,Median
36,-2.00,Core,Median
36,16.00,Accessory,Median
37,-2.00,Core,Median
37,17.00,Accessory,Median
38,-2.00,Core,Median
38,15.00,Accessory,Median
39,-2.00,Core,Median
39,16.00,Accessory,Median
40,-1.00,Core,Median
40,15.00,Accessory,Median
41,-1.00,Core,Median
41,15.00,Accessory,Median
42,-2.00,Core,Median
42,15.00,Accessory,Median
43,-1.00,Core,Median
43,14.00,Accessory,Median
44,-2.00,Core,Median
44,15.00,Accessory,Median
45,-1.00,Core,Median
45,14.00,Accessory,Median
46,-1.00,Core,Median
46,14.00,Accessory,Median
47,-1.00,Core,Median
47,13.00,Accessory,Median
48,-1.00,Core,Median
48,15.00,Accessory,Median
49,-1.00,Core,Median
49,14.00,Accessory,Median
50,-1.00,Core,Median
50,14.00,Accessory,Median
51,-1.00,Core,Median
51,13.00,Accessory,Median
52,-1.00,Core,Median
52,13.00,Accessory,Median
53,-1.00,Core,Median
53,13.00,Accessory,Median
54,-1.00,Core,Median
54,13.00,Accessory,Median
55,-1.00,Core,Median
55,13.00,Accessory,Median
56,-1.00,Core,Median
56,13.00,Accessory,Median
57,-1.00,Core,Median
57,12.00,Accessory,Median
