x,y,Category
43,12608,Accessory
49,11978,Accessory
67,14331,Accessory
79,15208,Accessory
39,11736,Accessory
55,12917,Accessory
59,13064,Accessory
12,6972,Accessory
23,3912,Core
9,5824,Accessory
37,11408,Accessory
65,14264,Accessory
3,2902,Accessory
17,3972,Core
77,14573,Accessory
70,14617,Accessory
82,15192,Accessory
72,3620,Core
34,3818,Core
8,4692,Accessory
30,9960,Accessory
63,14450,Accessory
21,9176,Accessory
46,12440,Accessory
16,7428,Accessory
64,3634,Core
69,14145,Accessory
6,5170,Accessory
23,9519,Accessory
19,8348,Accessory
43,11769,Accessory
43,12869,Accessory
26,9610,Accessory
37,3756,Core
42,12045,Accessory
60,13554,Accessory
34,11031,Accessory
12,6458,Accessory
38,10907,Accessory
58,3694,Core
70,13796,Accessory
47,3713,Core
29,10655,Accessory
35,10530,Accessory
67,14574,Accessory
75,14488,Accessory
39,3727,Core
26,3850,Core
57,13250,Accessory
42,12027,Accessory
4,4029,Accessory
11,6165,Accessory
21,9158,Accessory
6,4015,Core
54,13679,Accessory
29,10673,Accessory
67,14313,Accessory
12,4064,Core
2,1770,Accessory
14,7067,Accessory
13,5940,Accessory
39,11718,Accessory
60,13536,Accessory
73,14692,Accessory
4,4231,Core
15,6531,Accessory
2,1238,Accessory
23,9537,Accessory
27,9921,Accessory
40,12213,Accessory
50,12212,Accessory
28,9380,Accessory
48,13318,Accessory
18,8037,Accessory
62,13621,Accessory
52,12287,Accessory
78,14911,Accessory
60,13518,Accessory
61,14104,Accessory
12,6476,Accessory
42,12063,Accessory
48,12993,Accessory
19,3943,Core
9,6072,Accessory
15,7874,Accessory
20,8617,Accessory
28,10074,Accessory
6,4669,Accessory
16,6103,Accessory
33,10220,Accessory
69,14109,Accessory
51,3685,Core
62,3663,Core
60,13572,Accessory
34,11013,Accessory
53,13098,Accessory
9,4967,Accessory
16,7446,Accessory
33,11563,Accessory
13,5904,Accessory
69,14163,Accessory
30,9942,Accessory
50,12455,Accessory
27,9668,Accessory
22,9244,Accessory
22,8144,Accessory
72,14702,Accessory
3,4396,Core
77,15159,Accessory
57,3727,Core
8,3988,Core
29,10159,Accessory
69,14641,Accessory
39,11754,Accessory
35,11359,Accessory
7,5445,Accessory
14,6837,Accessory
2,1752,Accessory
3,3132,Accessory
4,4044,Core
2,990,Accessory
18,8073,Accessory
47,12151,Accessory
3,2649,Accessory
45,12084,Accessory
40,11392,Accessory
9,4140,Core
28,9736,Accessory
2,6,Accessory
17,8483,Accessory
23,8698,Accessory
38,11173,Accessory
12,7315,Accessory
63,14197,Accessory
37,11687,Accessory
42,11188,Accessory
56,13025,Accessory
52,13126,Accessory
8,5035,Accessory
57,13214,Accessory
2,4630,Core
7,4102,Accessory
68,3705,Core
79,14883,Accessory
37,11426,Accessory
5,3790,Accessory
11,3909,Core
32,10734,Accessory
7,4223,Core
74,14534,Accessory
14,7937,Accessory
17,7514,Accessory
31,3826,Core
17,8465,Accessory
71,14842,Accessory
31,10171,Accessory
31,9532,Accessory
51,13658,Accessory
47,12394,Accessory
42,11815,Accessory
39,11790,Accessory
36,10484,Accessory
60,12932,Accessory
9,6960,Accessory
6,4687,Accessory
69,14605,Accessory
61,3642,Core
34,10156,Accessory
41,11919,Accessory
79,14847,Accessory
55,13147,Accessory
47,12133,Accessory
44,3778,Core
76,14601,Accessory
75,14966,Accessory
20,8653,Accessory
16,7072,Accessory
44,3663,Core
2,4429,Core
6,4202,Core
42,10976,Accessory
30,10293,Accessory
12,4118,Core
38,12715,Accessory
41,11937,Accessory
16,7906,Accessory
6,4940,Accessory
11,7022,Accessory
15,3872,Core
15,7856,Accessory
6,4426,Accessory
9,5860,Accessory
36,10858,Accessory
14,6445,Accessory
40,3704,Core
53,12886,Accessory
30,10275,Accessory
21,8536,Accessory
19,8808,Accessory
58,3748,Core
48,12011,Accessory
61,14329,Accessory
25,9524,Accessory
17,7532,Accessory
48,12272,Accessory
32,10499,Accessory
37,11052,Accessory
9,6054,Accessory
3,2293,Accessory
67,13848,Accessory
59,13934,Accessory
8,4805,Accessory
57,13493,Accessory
13,3955,Core
42,10958,Accessory
64,14057,Accessory
14,4035,Core
4,4529,Core
38,11191,Accessory
55,13165,Accessory
4,3921,Accessory
29,9159,Accessory
62,3717,Core
28,10205,Accessory
62,14000,Accessory
11,4043,Core
74,14516,Accessory
33,9911,Accessory
49,3687,Core
26,8717,Accessory
11,6183,Accessory
66,13763,Accessory
19,9241,Accessory
71,14999,Accessory
67,13952,Accessory
11,6400,Accessory
10,3963,Core
10,6557,Accessory
11,6129,Accessory
68,3651,Core
13,6580,Accessory
77,14929,Accessory
70,3703,Core
61,13743,Accessory
58,13371,Accessory
63,14179,Accessory
75,14705,Accessory
8,5017,Accessory
27,3799,Core
39,11380,Accessory
43,11787,Accessory
