x,y,Category
26,27627205,Accessory
59,38476546,Accessory
12,21100262,Accessory
42,33361152,Accessory
41,33856815,Accessory
68,41078221,Accessory
27,29137307,Accessory
57,390645,Core
31,449160,Core
72,347437,Core
55,391955,Core
73,40842041,Accessory
49,393023,Core
25,27612358,Accessory
65,39440135,Accessory
56,389860,Core
3,3205124,Core
64,364802,Core
17,23941471,Accessory
49,390847,Core
33,490370,Core
44,35484149,Accessory
51,385687,Core
75,350948,Core
38,33919233,Accessory
61,37694319,Accessory
5,12737509,Accessory
43,419476,Core
74,41056611,Accessory
18,592614,Core
68,368135,Core
9,19242034,Accessory
67,365694,Core
75,344551,Core
18,676098,Core
40,32962973,Accessory
69,40194298,Accessory
51,377848,Core
19,25192653,Accessory
71,41660550,Accessory
14,586468,Core
54,394042,Core
72,41768224,Accessory
13,557796,Core
56,380244,Core
15,23408302,Accessory
46,397156,Core
9,19938045,Accessory
16,23088076,Accessory
63,39248478,Accessory
37,425592,Core
60,396322,Core
79,338380,Core
30,27491116,Accessory
59,400000,Core
22,26515828,Accessory
74,353473,Core
21,517815,Core
52,396840,Core
40,32636829,Accessory
57,397842,Core
22,491226,Core
21,527272,Core
43,35038817,Accessory
10,714755,Core
29,29622571,Accessory
69,359094,Core
46,34836575,Accessory
74,345885,Core
59,373854,Core
8,18994493,Accessory
2,2614654,Core
49,453333,Core
15,569531,Core
27,503388,Core
12,21333750,Accessory
48,392003,Core
38,411389,Core
63,380567,Core
73,355735,Core
68,41615403,Accessory
63,381617,Core
36,443457,Core
75,341937,Core
26,27243727,Accessory
51,403745,Core
60,39218627,Accessory
48,34698205,Accessory
25,545768,Core
58,395318,Core
44,419619,Core
52,35663095,Accessory
55,385921,Core
38,34426828,Accessory
76,41080515,Accessory
75,41267202,Accessory
7,17204290,Accessory
50,391202,Core
34,31440690,Accessory
53,379579,Core
58,38937166,Accessory
4,11313042,Accessory
54,36105380,Accessory
42,431463,Core
79,42273033,Accessory
69,355865,Core
55,38176764,Accessory
62,38840008,Accessory
22,617185,Core
10,631207,Core
16,22799267,Accessory
40,35365906,Accessory
52,405574,Core
68,40799222,Accessory
67,40374452,Accessory
66,40012962,Accessory
53,36633318,Accessory
62,395141,Core
24,488784,Core
81,340127,Core
42,434375,Core
17,557035,Core
12,21457730,Accessory
14,23139922,Accessory
50,35808634,Accessory
19,23817835,Accessory
8,706841,Core
7,17925349,Accessory
24,529577,Core
56,387750,Core
64,39983356,Accessory
26,501624,Core
3,1173371,Core
75,358832,Core
67,355874,Core
70,354911,Core
34,30198045,Accessory
57,368821,Core
29,493707,Core
32,31543980,Accessory
43,32809741,Accessory
50,387152,Core
80,42956686,Accessory
24,512503,Core
11,22355384,Accessory
49,34903802,Accessory
26,479085,Core
45,390750,Core
27,26183514,Accessory
50,423795,Core
8,1051970,Core
57,395538,Core
25,26645130,Accessory
11,17192761,Accessory
31,438782,Core
13,17941346,Accessory
37,500387,Core
62,38700871,Accessory
75,343372,Core
44,404536,Core
26,28575024,Accessory
44,31696256,Accessory
