x,y,Category
80,13924031,Unique
48,12393113,Unique
22,10913970,Unique
38,20260251,Accessory
57,390645,Core
31,449160,Core
72,347437,Core
74,28627491,Accessory
23,15217872,Accessory
55,391955,Core
49,393023,Core
17,13696604,Accessory
26,15703191,Accessory
8,7483376,Unique
67,26604343,Accessory
56,389860,Core
3,3205124,Core
64,364802,Core
46,23284783,Accessory
69,27014883,Accessory
43,11483709,Unique
49,390847,Core
33,490370,Core
21,10805591,Unique
51,385687,Core
75,350948,Core
36,18913213,Accessory
19,10314104,Unique
58,11692907,Unique
28,17641381,Accessory
48,13966036,Unique
66,12498005,Unique
17,13667016,Accessory
43,419476,Core
18,592614,Core
43,12452844,Unique
19,10312707,Unique
68,368135,Core
21,14342365,Accessory
69,26839942,Accessory
67,365694,Core
75,344551,Core
43,10965580,Unique
18,676098,Core
51,377848,Core
12,8908839,Unique
35,11894294,Unique
14,586468,Core
54,394042,Core
7,7718753,Unique
13,557796,Core
56,380244,Core
46,397156,Core
34,11979763,Unique
8,7884381,Unique
26,11960269,Unique
6,6781154,Accessory
34,12570077,Unique
29,17154933,Accessory
37,425592,Core
60,396322,Core
14,7777249,Unique
79,338380,Core
10,8031259,Unique
40,13289801,Unique
44,12313733,Unique
24,9690257,Unique
16,11530737,Unique
59,400000,Core
57,24564353,Accessory
74,353473,Core
21,517815,Core
19,11046435,Unique
52,396840,Core
57,397842,Core
22,491226,Core
21,527272,Core
27,17333500,Accessory
77,14311138,Unique
18,13997750,Accessory
34,19592480,Accessory
10,714755,Core
69,359094,Core
10,10217247,Unique
74,28044482,Accessory
22,15668140,Accessory
4,8718427,Unique
71,15251775,Unique
18,12235660,Unique
23,15143110,Accessory
74,345885,Core
20,11501375,Unique
59,373854,Core
2,2614654,Core
49,453333,Core
58,12233180,Unique
77,28664051,Accessory
15,569531,Core
27,503388,Core
33,13158090,Unique
48,392003,Core
38,411389,Core
63,380567,Core
64,26982272,Accessory
73,355735,Core
59,25194933,Accessory
81,29515011,Accessory
16,13306644,Accessory
64,26426950,Accessory
40,23493778,Accessory
37,12331189,Unique
63,381617,Core
31,12903820,Unique
34,12283566,Unique
43,12624784,Unique
36,443457,Core
13,12940185,Accessory
19,9797535,Unique
75,341937,Core
5,5399155,Unique
48,24016095,Accessory
51,403745,Core
72,28304276,Accessory
68,13214688,Unique
34,17862893,Accessory
8,7668448,Unique
23,11029895,Unique
25,545768,Core
15,11724484,Accessory
9,9486610,Accessory
58,395318,Core
44,419619,Core
55,385921,Core
14,11841931,Accessory
34,19109558,Accessory
37,20035441,Accessory
70,27044530,Accessory
50,391202,Core
55,24528380,Accessory
76,13118095,Unique
53,379579,Core
42,10613823,Unique
81,29539585,Accessory
33,13373540,Unique
42,431463,Core
41,20800716,Accessory
73,28188158,Accessory
29,17768121,Accessory
69,355865,Core
60,12017232,Unique
68,27427218,Accessory
22,617185,Core
58,13387912,Unique
10,631207,Core
49,12705983,Unique
10,12058411,Unique
52,405574,Core
26,9966225,Unique
19,14890920,Accessory
46,14278159,Unique
8,8608081,Accessory
26,16168502,Accessory
62,395141,Core
24,488784,Core
81,340127,Core
42,434375,Core
32,15006863,Unique
17,557035,Core
10,8617034,Unique
53,12413615,Unique
35,20652166,Accessory
28,10983898,Unique
8,706841,Core
4,4715263,Accessory
24,529577,Core
20,14600803,Accessory
33,19601619,Accessory
56,387750,Core
22,15468604,Accessory
30,10786279,Unique
75,12916669,Unique
13,11588690,Accessory
3,7926207,Unique
26,501624,Core
75,28755227,Accessory
3,1173371,Core
75,358832,Core
9,7543851,Unique
4,3964039,Accessory
52,23345271,Accessory
35,12056884,Unique
81,29401778,Accessory
67,355874,Core
70,354911,Core
57,368821,Core
30,18512307,Accessory
29,493707,Core
47,8567859,Unique
55,14000074,Unique
50,387152,Core
24,512503,Core
14,10725222,Unique
15,10223028,Unique
26,479085,Core
45,390750,Core
9,9331545,Accessory
50,423795,Core
8,1051970,Core
57,395538,Core
31,438782,Core
73,13121314,Unique
69,27107485,Accessory
37,500387,Core
79,13307286,Unique
42,19183219,Accessory
75,27295441,Accessory
75,343372,Core
44,404536,Core
58,13284038,Unique
58,25172368,Accessory
41,13402492,Unique
58,15020045,Unique
43,12142405,Unique
9,9353243,Unique
57,25649980,Accessory
19,537009,Core
35,12652752,Unique
7,7551880,Accessory
54,12744863,Unique
62,13007036,Unique
66,25982914,Accessory
44,21480279,Accessory
10,7246115,Unique
75,12297434,Unique
62,13146245,Unique
80,339780,Core
20,15102028,Accessory
74,27869081,Accessory
71,356183,Core
27,10939036,Unique
73,27371510,Accessory
2,8207703,Unique
68,27289509,Accessory
54,12446384,Unique
4,7676657,Unique
18,11759331,Unique
33,20071748,Accessory
15,8763548,Unique
18,529526,Core
66,12999273,Unique
80,28940609,Accessory
68,360330,Core
20,14571975,Accessory
4,2443954,Core
19,533417,Core
34,511371,Core
16,9963902,Unique
56,402206,Core
76,28412218,Accessory
62,12120959,Unique
14,11460604,Accessory
65,27174927,Accessory
73,351515,Core
5,8780215,Unique
34,12906820,Unique
43,21624038,Accessory
32,435758,Core
73,357967,Core
44,13662817,Unique
76,12967524,Unique
70,27338940,Accessory
68,12931777,Unique
63,13489260,Unique
57,25353361,Accessory
67,26465047,Accessory
29,10020762,Unique
12,10399465,Unique
64,391713,Core
51,9462166,Unique
49,13637441,Unique
67,13664548,Unique
80,28683987,Accessory
64,370222,Core
77,28674172,Accessory
33,485073,Core
78,29135409,Accessory
41,400494,Core
5,7396336,Unique
32,20285318,Accessory
60,383586,Core
36,19446965,Accessory
16,573673,Core
17,11208697,Unique
5,986018,Core
75,13362430,Unique
29,16884946,Accessory
46,12408099,Unique
15,11643865,Accessory
43,21647756,Accessory
29,11275298,Unique
39,424961,Core
76,346994,Core
40,452291,Core
30,19409389,Accessory
25,10162302,Unique
35,12890633,Unique
27,11844709,Unique
69,28399820,Accessory
58,383592,Core
34,21069206,Accessory
10,8491636,Unique
38,441898,Core
7,9022237,Unique
25,11504443,Unique
55,25029393,Accessory
44,22098641,Accessory
23,16117655,Accessory
73,346663,Core
28,12662499,Unique
48,413292,Core
41,457449,Core
70,13941857,Unique
32,11924764,Unique
24,560423,Core
34,12368696,Unique
24,15613906,Accessory
63,371380,Core
2,3386568,Core
23,9283101,Unique
75,28044645,Accessory
47,11989523,Unique
4,8681157,Unique
35,10588429,Unique
4,934183,Core
18,13777597,Accessory
58,25092092,Accessory
22,11891479,Unique
50,22684227,Accessory
48,13909151,Unique
27,10322968,Unique
31,20173965,Accessory
36,13941217,Unique
12,8423747,Unique
67,359035,Core
18,546811,Core
14,612250,Core
42,433631,Core
45,402960,Core
33,481406,Core
31,454755,Core
58,25755211,Accessory
22,545074,Core
29,13031971,Unique
9,11365715,Unique
53,24646917,Accessory
29,11889492,Unique
77,344355,Core
45,12733129,Unique
80,28846785,Accessory
27,522898,Core
58,14369033,Unique
38,12859862,Unique
66,13225733,Unique
43,420858,Core
33,424909,Core
36,20026063,Accessory
16,610066,Core
75,28205576,Accessory
74,27684454,Accessory
7,7694110,Accessory
29,520219,Core
72,366584,Core
46,12063414,Unique
39,407802,Core
79,13685672,Unique
75,347018,Core
64,13248003,Unique
47,12491561,Unique
70,26709903,Accessory
9,9300615,Unique
8,7992429,Unique
48,22055192,Accessory
29,14174126,Unique
40,13660227,Unique
36,19392544,Accessory
40,20986247,Accessory
33,439392,Core
43,411847,Core
24,502068,Core
51,418350,Core
38,423126,Core
12,8727523,Unique
61,363298,Core
75,346209,Core
66,360203,Core
71,346672,Core
70,27880133,Accessory
47,12646420,Unique
62,361033,Core
5,997150,Core
76,363277,Core
20,15238523,Accessory
12,10406826,Unique
45,21172440,Accessory
33,468291,Core
68,27254412,Accessory
33,19715766,Accessory
32,12826813,Unique
42,418395,Core
24,534806,Core
23,15588662,Accessory
22,10404377,Unique
29,482036,Core
46,13891408,Unique
43,405134,Core
52,12834037,Unique
23,9674637,Unique
50,11430175,Unique
54,25175445,Accessory
40,21647957,Accessory
72,13681554,Unique
82,337902,Core
68,27847375,Accessory
34,11919913,Unique
37,476349,Core
71,26812297,Accessory
64,13044874,Unique
21,541634,Core
7,934443,Core
72,342724,Core
69,26808591,Accessory
12,10386341,Accessory
70,27088540,Accessory
58,13592381,Unique
67,13640501,Unique
51,11831977,Unique
31,17690491,Accessory
51,408828,Core
12,8049950,Unique
40,470425,Core
63,14743127,Unique
28,469131,Core
50,384182,Core
74,27943010,Accessory
71,10805858,Unique
26,460281,Core
36,20244565,Accessory
37,20243218,Accessory
35,13464241,Unique
10,729658,Core
79,351811,Core
78,13262830,Unique
44,427340,Core
68,27349385,Accessory
3,1072904,Core
44,21640336,Accessory
56,23847650,Accessory
75,13631719,Unique
60,25157392,Accessory
77,339432,Core
19,10576851,Unique
70,359071,Core
61,24113451,Accessory
49,23161405,Accessory
79,28802852,Accessory
18,8997051,Unique
11,638500,Core
47,22268816,Accessory
53,419635,Core
27,17144910,Accessory
65,25662269,Accessory
30,444042,Core
50,23554021,Accessory
29,509645,Core
20,9704248,Unique
28,11816184,Unique
38,419327,Core
18,599189,Core
55,9437381,Unique
61,383424,Core
65,26560921,Accessory
13,11174848,Unique
14,12422116,Accessory
8,5244818,Unique
74,12678107,Unique
28,13276444,Unique
20,13348663,Accessory
38,19856182,Accessory
61,14560569,Unique
36,507179,Core
69,14095027,Unique
55,15251882,Unique
27,10445302,Unique
76,27616258,Accessory
40,459474,Core
45,432481,Core
6,5394350,Accessory
24,539211,Core
50,22560405,Accessory
20,10129739,Unique
52,12879788,Unique
16,582239,Core
37,21798580,Accessory
9,10575855,Accessory
55,24262805,Accessory
36,19581837,Accessory
80,339148,Core
24,16840473,Accessory
68,376473,Core
16,12129551,Accessory
64,381153,Core
49,399777,Core
79,342168,Core
48,11598331,Unique
36,419462,Core
42,20998889,Accessory
60,14438506,Unique
10,10376453,Accessory
9,9546364,Accessory
32,13178167,Unique
9,6517990,Accessory
21,527771,Core
40,20313915,Accessory
16,585291,Core
30,18630462,Accessory
43,21085107,Accessory
14,581392,Core
17,10770578,Unique
14,10896947,Unique
29,495627,Core
45,406175,Core
36,12851864,Unique
68,356079,Core
35,427327,Core
38,13982095,Unique
22,7538907,Unique
44,22096197,Accessory
57,11132070,Unique
64,12485670,Unique
60,25019653,Accessory
7,789762,Core
31,19399096,Accessory
34,19776363,Accessory
20,14583174,Accessory
9,779933,Core
11,8506323,Unique
28,17799484,Accessory
38,462531,Core
82,337837,Core
28,17809652,Accessory
33,19780546,Accessory
60,12687143,Unique
37,467464,Core
59,376342,Core
24,542509,Core
53,381889,Core
62,386866,Core
78,13383102,Unique
12,9915501,Unique
39,21823563,Accessory
12,652886,Core
3,1903958,Accessory
62,368165,Core
6,7249892,Accessory
67,13958900,Unique
43,409351,Core
57,391325,Core
3,2557663,Core
21,525467,Core
50,22965139,Accessory
75,28197198,Accessory
28,448997,Core
14,12043782,Accessory
27,489479,Core
19,569886,Core
75,28061997,Accessory
58,14381460,Unique
4,5102564,Unique
26,17364435,Accessory
4,1077783,Core
6,8681722,Unique
49,22525186,Accessory
69,354004,Core
23,491580,Core
37,19770648,Accessory
43,22056798,Accessory
80,28938269,Accessory
15,12655478,Accessory
82,29685237,Accessory
2,1428878,Core
27,9969343,Unique
13,636248,Core
57,374920,Core
60,13303725,Unique
66,12803483,Unique
27,10823920,Unique
35,430507,Core
29,520535,Core
26,17892207,Accessory
19,13540161,Accessory
71,12973814,Unique
22,15641572,Accessory
36,415741,Core
63,26371464,Accessory
36,428778,Core
75,28039465,Accessory
3,2554880,Core
57,383992,Core
14,9045468,Unique
42,21866105,Accessory
24,479464,Core
23,15239219,Accessory
16,615211,Core
50,12999492,Unique
13,640987,Core
67,361912,Core
78,343319,Core
22,11202312,Unique
39,22821602,Accessory
33,450971,Core
52,24268727,Accessory
70,27786323,Accessory
78,13952867,Unique
32,19788034,Accessory
39,461631,Core
15,9278970,Unique
6,818604,Core
52,24065251,Accessory
55,384178,Core
51,13419436,Unique
16,560391,Core
77,353302,Core
19,12180815,Unique
63,12027756,Unique
40,428475,Core
64,382698,Core
73,358471,Core
81,342363,Core
19,9179135,Unique
3,1331402,Core
70,28126510,Accessory
9,8707177,Unique
45,21626586,Accessory
36,19673132,Accessory
81,343413,Core
20,12656866,Unique
73,27769752,Accessory
47,416848,Core
57,13714615,Unique
67,12643526,Unique
78,351284,Core
13,690831,Core
57,25336581,Accessory
58,12707898,Unique
76,13529321,Unique
7,799398,Core
10,727121,Core
25,8973364,Unique
44,13191309,Unique
69,10080895,Unique
19,507872,Core
39,455776,Core
17,13832356,Accessory
25,16180340,Accessory
62,12189809,Unique
29,482474,Core
18,11624914,Unique
28,445026,Core
26,461270,Core
76,13171315,Unique
47,22536411,Accessory
81,29140572,Accessory
7,8766194,Unique
81,339186,Core
31,10994754,Unique
71,12161623,Unique
57,25269343,Accessory
2,1466038,Core
79,29041847,Accessory
48,421056,Core
39,19995635,Accessory
50,23832111,Accessory
48,23594523,Accessory
74,12415334,Unique
70,356960,Core
67,25439386,Accessory
51,11572695,Unique
54,14223556,Unique
40,11214721,Unique
58,14334326,Unique
74,27036674,Accessory
54,24681879,Accessory
67,13036619,Unique
79,341987,Core
71,27787797,Accessory
78,343021,Core
31,11331121,Unique
61,13687289,Unique
55,13757700,Unique
52,406369,Core
66,355218,Core
34,450109,Core
5,903446,Core
47,13277766,Unique
20,597019,Core
46,12365256,Unique
5,1078744,Core
60,366305,Core
2,3878092,Core
28,18002009,Accessory
13,11928960,Accessory
78,344128,Core
7,8477757,Accessory
36,19262735,Accessory
63,12389199,Unique
13,691137,Core
23,15213170,Accessory
37,12150280,Unique
4,7550006,Unique
32,423652,Core
66,12004468,Unique
48,21718275,Accessory
61,369126,Core
67,26962807,Accessory
56,378297,Core
20,11227717,Unique
23,464292,Core
34,20601438,Accessory
79,14180053,Unique
21,10048180,Unique
14,599082,Core
65,12513779,Unique
43,10561413,Unique
58,24844504,Accessory
73,27849929,Accessory
39,427119,Core
60,13364543,Unique
3,2508732,Accessory
6,7523546,Accessory
55,12296444,Unique
5,5864460,Unique
36,450304,Core
21,16718056,Accessory
44,13590260,Unique
41,11703106,Unique
45,411095,Core
59,24846677,Accessory
38,21298855,Accessory
12,802779,Core
16,565291,Core
72,355344,Core
18,611172,Core
28,9548158,Unique
8,804925,Core
58,380863,Core
69,13960583,Unique
15,550149,Core
46,415533,Core
3,1503349,Accessory
25,13156265,Unique
16,519786,Core
30,11364333,Unique
55,12226452,Unique
10,9909906,Accessory
71,28536893,Accessory
49,397168,Core
39,21536470,Accessory
8,8009834,Accessory
81,29416854,Accessory
65,358184,Core
34,11875012,Unique
62,13604825,Unique
38,21412233,Accessory
66,365656,Core
33,439626,Core
59,25345216,Accessory
35,10805299,Unique
7,8814925,Unique
48,23686823,Accessory
13,625066,Core
55,12046975,Unique
28,10424003,Unique
60,370050,Core
21,13107836,Accessory
46,22796015,Accessory
10,9648835,Accessory
38,19582496,Accessory
8,8896737,Accessory
77,14258348,Unique
72,14880024,Unique
56,24672490,Accessory
74,349182,Core
56,392680,Core
15,696096,Core
27,467193,Core
12,11223485,Accessory
33,19502363,Accessory
22,549104,Core
7,869338,Core
51,12858861,Unique
17,13814571,Accessory
75,350582,Core
59,377069,Core
70,366094,Core
74,27968450,Accessory
12,783539,Core
17,13369360,Accessory
14,10921960,Unique
70,26746105,Accessory
80,342162,Core
62,376866,Core
32,10462319,Unique
60,370348,Core
66,373736,Core
79,342355,Core
77,28474717,Accessory
45,23031449,Accessory
17,8644647,Unique
18,12473055,Unique
20,526805,Core
64,25450249,Accessory
63,26425556,Accessory
44,11236115,Unique
73,12778128,Unique
73,27167979,Accessory
6,8216628,Unique
77,28080753,Accessory
34,11829906,Unique
27,10094163,Unique
74,13434097,Unique
45,10159599,Unique
35,19035342,Accessory
45,21648366,Accessory
51,11896999,Unique
39,11126675,Unique
68,26881386,Accessory
31,19050627,Accessory
18,555268,Core
67,26674560,Accessory
11,10336999,Unique
28,16709436,Accessory
37,409792,Core
57,24660814,Accessory
14,624716,Core
49,22807510,Accessory
39,13628775,Unique
36,11899360,Unique
15,13418748,Accessory
63,14328281,Unique
15,12413351,Unique
41,13753192,Unique
34,11101479,Unique
37,434725,Core
8,8333295,Accessory
34,11144504,Unique
49,12728316,Unique
73,353313,Core
45,430537,Core
12,10393216,Accessory
2,2309552,Core
77,28902815,Accessory
4,6371814,Unique
61,26573280,Accessory
14,11907916,Accessory
69,353331,Core
65,26797560,Accessory
13,11546231,Accessory
7,723483,Core
16,12600951,Accessory
36,426549,Core
74,356630,Core
18,12341979,Unique
40,426104,Core
4,3771829,Accessory
35,482454,Core
51,12873671,Unique
72,28085146,Accessory
20,7829672,Unique
73,28799741,Accessory
63,12132059,Unique
82,29572253,Accessory
49,13806291,Unique
30,11409482,Unique
80,342888,Core
19,11213161,Unique
35,20290234,Accessory
79,29577734,Accessory
35,450096,Core
7,10123453,Unique
23,533114,Core
55,375911,Core
12,6727089,Unique
65,25373873,Accessory
21,562273,Core
70,13190635,Unique
34,10539229,Unique
31,19159098,Accessory
30,18886248,Accessory
30,12720853,Unique
57,13956266,Unique
58,25717422,Accessory
63,369854,Core
34,20076406,Accessory
33,13139298,Unique
82,13657861,Unique
7,928038,Core
29,11589669,Unique
61,11296518,Unique
44,21476794,Accessory
15,12064273,Accessory
18,530182,Core
3,2625773,Accessory
33,519593,Core
52,23352786,Accessory
3,1169881,Core
49,23826065,Accessory
27,18157970,Accessory
75,27992615,Accessory
47,433580,Core
7,753683,Core
8,8343538,Accessory
11,9004828,Unique
58,384082,Core
81,29410664,Accessory
56,12488030,Unique
40,12771671,Unique
23,11588409,Unique
76,28417912,Accessory
65,360562,Core
29,18516968,Accessory
21,14487935,Accessory
62,26485809,Accessory
58,11536762,Unique
63,361492,Core
