x,y,Category
9,3431,Unique
21,4546,Accessory
70,5032,Unique
38,4915,Unique
43,4945,Unique
29,4739,Unique
78,5128,Unique
65,5002,Unique
8,3156,Unique
36,6656,Accessory
80,10252,Accessory
17,3972,Core
34,3818,Core
11,2856,Unique
28,5597,Accessory
13,3487,Accessory
35,6363,Accessory
78,9589,Accessory
47,7553,Accessory
64,3634,Core
31,4731,Unique
33,5997,Accessory
13,3226,Accessory
25,5516,Accessory
37,6706,Accessory
37,3756,Core
12,3053,Unique
27,5043,Accessory
47,4728,Unique
3,1306,Unique
61,9057,Accessory
31,6232,Accessory
39,3727,Core
43,7422,Accessory
64,5257,Unique
6,1883,Accessory
51,5131,Unique
31,4368,Unique
24,3267,Unique
70,9588,Accessory
62,9107,Accessory
29,5024,Unique
54,3833,Unique
28,4827,Unique
4,4231,Core
41,7043,Accessory
53,8233,Accessory
65,9423,Accessory
29,3781,Unique
65,9684,Accessory
70,9327,Accessory
50,7313,Accessory
45,8013,Accessory
47,5013,Unique
5,2833,Unique
78,9824,Accessory
3,719,Accessory
64,5620,Unique
15,3454,Unique
44,4327,Unique
19,3943,Core
46,5268,Unique
19,3997,Accessory
15,3866,Accessory
51,3685,Core
62,3663,Core
11,2896,Accessory
60,5474,Unique
54,8787,Accessory
15,3605,Accessory
45,3657,Unique
57,5194,Unique
14,3542,Unique
54,5532,Unique
34,4239,Unique
8,3988,Core
74,9990,Accessory
2,1924,Unique
16,3292,Unique
66,9238,Accessory
54,5699,Unique
67,5128,Unique
20,3028,Unique
17,2826,Unique
72,5158,Unique
23,3885,Unique
7,3318,Unique
46,5101,Unique
9,4140,Core
25,4956,Unique
14,3312,Accessory
26,5809,Accessory
70,5199,Unique
9,3068,Unique
52,4758,Unique
29,4209,Unique
48,8094,Accessory
3,1762,Unique
36,5013,Unique
63,9697,Accessory
66,9274,Accessory
53,4373,Unique
41,4382,Unique
11,3438,Unique
72,9575,Accessory
36,4352,Unique
39,4167,Unique
74,9918,Accessory
65,9648,Accessory
4,1243,Accessory
33,4481,Unique
19,4275,Unique
23,4170,Unique
28,4451,Unique
45,7801,Accessory
51,4470,Unique
21,3526,Unique
30,5038,Unique
73,9868,Accessory
62,9143,Accessory
75,4731,Unique
11,3239,Accessory
17,2752,Unique
55,8377,Accessory
77,10304,Accessory
67,4997,Unique
68,9617,Accessory
14,2881,Unique
13,3797,Unique
23,4393,Unique
41,7007,Accessory
47,8157,Accessory
6,4202,Core
66,9013,Accessory
12,4118,Core
20,4805,Unique
13,3722,Accessory
53,5620,Unique
76,4643,Unique
38,4176,Unique
65,4950,Unique
76,5095,Unique
56,4774,Unique
62,4186,Unique
33,5439,Unique
5,1797,Accessory
37,6742,Accessory
72,4404,Unique
18,3855,Unique
40,3704,Core
6,2745,Unique
11,3968,Unique
3,1836,Unique
5,2001,Unique
