x,y,Category,Metric
4,-113.87,Core,Average
4,659.33,Accessory,Average
5,-73.39,Core,Average
5,555.46,Accessory,Average
6,-52.46,Core,Average
6,493.24,Accessory,Average
7,-37.70,Core,Average
7,422.72,Accessory,Average
8,-35.21,Core,Average
8,404.51,Accessory,Average
9,-26.77,Core,Average
9,364.07,Accessory,Average
10,-23.96,Core,Average
10,334.29,Accessory,Average
11,-20.22,Core,Average
11,322.61,Accessory,Average
12,-17.60,Core,Average
12,301.82,Accessory,Average
13,-15.57,Core,Average
13,282.47,Accessory,Average
14,-15.43,Core,Average
14,274.89,Accessory,Average
15,-14.03,Core,Average
15,258.78,Accessory,Average
16,-12.44,Core,Average
16,240.20,Accessory,Average
17,-11.83,Core,Average
17,239.91,Accessory,Average
18,-9.76,Core,Average
18,212.40,Accessory,Average
19,-9.90,Core,Average
19,218.90,Accessory,Average
20,-9.50,Core,Average
20,205.49,Accessory,Average
21,-9.39,Core,Average
21,207.44,Accessory,Average
22,-8.27,Core,Average
22,187.65,Accessory,Average
23,-8.37,Core,Average
23,188.40,Accessory,Average
24,-7.50,Core,Average
24,174.80,Accessory,Average
25,-7.08,Core,Average
25,183.08,Accessory,Average
26,-6.88,Core,Average
26,165.03,Accessory,Average
27,-6.75,Core,Average
27,175.52,Accessory,Average
28,-6.33,Core,Average
28,160.24,Accessory,Average
29,-6.53,Core,Average
29,165.63,Accessory,Average
30,-5.65,Core,Average
30,148.96,Accessory,Average
31,-5.94,Core,Average
31,147.37,Accessory,Average
32,-5.85,Core,Average
32,144.59,Accessory,Average
33,-5.23,Core,Average
33,140.66,Accessory,Average
34,-5.48,Core,Average
34,140.49,Accessory,Average
35,-4.98,Core,Average
35,134.83,Accessory,Average
36,-5.09,Core,Average
36,132.95,Accessory,Average
37,-5.34,Core,Average
37,133.05,Accessory,Average
38,-4.57,Core,Average
38,123.59,Accessory,Average
39,-4.31,Core,Average
39,124.43,Accessory,Average
40,-4.74,Core,Average
40,123.28,Accessory,Average
41,-4.15,Core,Average
41,118.87,Accessory,Average
42,-4.01,Core,Average
42,116.44,Accessory,Average
43,-4.06,Core,Average
43,114.10,Accessory,Average
44,-4.17,Core,Average
44,111.82,Accessory,Average
45,-3.94,Core,Average
45,106.35,Accessory,Average
46,-4.05,Core,Average
46,110.39,Accessory,Average
47,-3.85,Core,Average
47,102.61,Accessory,Average
48,-3.76,Core,Average
48,99.88,Accessory,Average
49,-3.46,Core,Average
49,98.20,Accessory,Average
50,-3.40,Core,Average
50,97.22,Accessory,Average
51,-3.72,Core,Average
51,97.48,Accessory,Average
52,-3.31,Core,Average
52,94.90,Accessory,Average
53,-3.85,Core,Average
53,95.03,Accessory,Average
54,-3.21,Core,Average
54,88.19,Accessory,Average
55,-3.49,Core,Average
55,92.10,Accessory,Average
56,-3.09,Core,Average
56,88.40,Accessory,Average
57,-3.24,Core,Average
57,81.34,Accessory,Average
58,-2.95,Core,Average
58,84.12,Accessory,Average
59,-2.92,Core,Average
59,87.42,Accessory,Average
60,-3.28,Core,Average
60,80.60,Accessory,Average
61,-3.16,Core,Average
61,82.06,Accessory,Average
62,-3.10,Core,Average
62,82.62,Accessory,Average
63,-2.79,Core,Average
63,78.84,Accessory,Average
64,-3.24,Core,Average
64,81.24,Accessory,Average
65,-3.04,Core,Average
65,76.67,Accessory,Average
66,-2.94,Core,Average
66,75.73,Accessory,Average
67,-2.98,Core,Average
67,76.26,Accessory,Average
68,-2.50,Core,Average
68,76.54,Accessory,Average
69,-3.09,Core,Average
69,75.87,Accessory,Average
70,-2.75,Core,Average
70,71.54,Accessory,Average
71,-2.46,Core,Average
71,73.46,Accessory,Average
72,-3.04,Core,Average
72,72.48,Accessory,Average
73,-2.45,Core,Average
73,65.64,Accessory,Average
74,-2.61,Core,Average
74,67.98,Accessory,Average
75,-2.65,Core,Average
75,66.04,Accessory,Average
76,-2.90,Core,Average
76,69.77,Accessory,Average
77,-2.89,Core,Average
77,64.99,Accessory,Average
78,-2.63,Core,Average
78,64.54,Accessory,Average
79,-2.55,Core,Average
79,64.45,Accessory,Average
80,-2.37,Core,Average
80,62.35,Accessory,Average
81,-2.64,Core,Average
81,64.68,Accessory,Average
82,-2.24,Core,Average
82,59.26,Accessory,Average
83,-2.28,Core,Average
83,60.33,Accessory,Average
