x,y,Category,Metric
4,-83.00,Core,Median
4,472.00,Accessory,Median
4,182.00,Unique,Median
5,-52.00,Core,Median
5,360.00,Accessory,Median
5,187.00,Unique,Median
6,-38.00,Core,Median
6,302.00,Accessory,Median
6,189.00,Unique,Median
7,-27.00,Core,Median
7,262.00,Accessory,Median
7,155.00,Unique,Median
8,-27.00,Core,Median
8,242.00,Accessory,Median
8,159.00,Unique,Median
9,-19.00,Core,Median
9,217.00,Accessory,Median
9,139.00,Unique,Median
10,-16.00,Core,Median
10,208.00,Accessory,Median
10,124.00,Unique,Median
11,-14.00,Core,Median
11,191.00,Accessory,Median
11,122.00,Unique,Median
12,-12.00,Core,Median
12,186.00,Accessory,Median
12,113.00,Unique,Median
13,-11.00,Core,Median
13,176.00,Accessory,Median
13,104.00,Unique,Median
14,-10.00,Core,Median
14,171.00,Accessory,Median
14,104.00,Unique,Median
15,-9.00,Core,Median
15,170.00,Accessory,Median
15,92.00,Unique,Median
16,-8.00,Core,Median
16,158.00,Accessory,Median
16,83.00,Unique,Median
17,-7.00,Core,Median
17,158.00,Accessory,Median
17,84.00,Unique,Median
18,-6.00,Core,Median
18,151.00,Accessory,Median
18,67.00,Unique,Median
19,-6.00,Core,Median
19,146.00,Accessory,Median
19,71.00,Unique,Median
20,-5.00,Core,Median
20,138.00,Accessory,Median
20,68.00,Unique,Median
21,-5.00,Core,Median
21,137.00,Accessory,Median
21,73.00,Unique,Median
22,-4.00,Core,Median
22,137.00,Accessory,Median
22,58.00,Unique,Median
23,-5.00,Core,Median
23,127.00,Accessory,Median
23,60.00,Unique,Median
24,-4.00,Core,Median
24,123.00,Accessory,Median
24,54.00,Unique,Median
25,-4.00,Core,Median
25,123.00,Accessory,Median
25,61.00,Unique,Median
26,-3.00,Core,Median
26,121.00,Accessory,Median
26,47.00,Unique,Median
27,-4.00,Core,Median
27,115.00,Accessory,Median
27,61.00,Unique,Median
28,-3.00,Core,Median
28,112.00,Accessory,Median
28,50.00,Unique,Median
29,-3.00,Core,Median
29,116.00,Accessory,Median
29,48.00,Unique,Median
30,-2.00,Core,Median
30,109.00,Accessory,Median
30,40.00,Unique,Median
31,-3.00,Core,Median
31,109.00,Accessory,Median
31,42.00,Unique,Median
32,-2.00,Core,Median
32,104.00,Accessory,Median
32,42.00,Unique,Median
33,-2.00,Core,Median
33,103.00,Accessory,Median
33,39.00,Unique,Median
34,-2.00,Core,Median
34,99.00,Accessory,Median
34,38.00,Unique,Median
35,-2.00,Core,Median
35,98.00,Accessory,Median
35,35.00,Unique,Median
36,-2.00,Core,Median
36,96.00,Accessory,Median
36,37.00,Unique,Median
37,-2.00,Core,Median
37,95.00,Accessory,Median
37,37.00,Unique,Median
38,-1.00,Core,Median
38,95.00,Accessory,Median
38,28.00,Unique,Median
39,-2.00,Core,Median
39,93.00,Accessory,Median
39,31.00,Unique,Median
40,-2.00,Core,Median
40,90.00,Accessory,Median
40,30.00,Unique,Median
41,-2.00,Core,Median
41,88.00,Accessory,Median
41,26.00,Unique,Median
42,-1.00,Core,Median
42,91.00,Accessory,Median
42,28.00,Unique,Median
43,-1.00,Core,Median
43,89.00,Accessory,Median
43,27.00,Unique,Median
44,-1.00,Core,Median
44,85.00,Accessory,Median
44,26.00,Unique,Median
45,-1.00,Core,Median
45,84.00,Accessory,Median
45,22.00,Unique,Median
46,-1.00,Core,Median
46,84.00,Accessory,Median
46,26.00,Unique,Median
47,-1.00,Core,Median
47,83.00,Accessory,Median
47,16.00,Unique,Median
48,-1.00,Core,Median
48,79.00,Accessory,Median
48,21.00,Unique,Median
49,-1.00,Core,Median
49,80.00,Accessory,Median
49,20.00,Unique,Median
50,-1.00,Core,Median
50,77.00,Accessory,Median
50,17.00,Unique,Median
51,-1.00,Core,Median
51,75.00,Accessory,Median
51,18.00,Unique,Median
52,-1.00,Core,Median
52,70.00,Accessory,Median
52,19.00,Unique,Median
53,-1.00,Core,Median
53,73.00,Accessory,Median
53,18.00,Unique,Median
54,-1.00,Core,Median
54,74.00,Accessory,Median
54,12.00,Unique,Median
55,-1.00,Core,Median
55,72.00,Accessory,Median
55,18.00,Unique,Median
56,-1.00,Core,Median
56,69.00,Accessory,Median
56,16.00,Unique,Median
57,-1.00,Core,Median
57,71.00,Accessory,Median
57,12.00,Unique,Median
58,-1.00,Core,Median
58,65.00,Accessory,Median
58,17.00,Unique,Median
59,-1.00,Core,Median
59,65.00,Accessory,Median
59,17.00,Unique,Median
60,-1.00,Core,Median
60,66.00,Accessory,Median
60,13.00,Unique,Median
61,-1.00,Core,Median
61,64.00,Accessory,Median
61,12.00,Unique,Median
62,-1.00,Core,Median
62,65.00,Accessory,Median
62,17.00,Unique,Median
63,-1.00,Core,Median
63,61.00,Accessory,Median
63,13.00,Unique,Median
64,-1.00,Core,Median
64,64.00,Accessory,Median
64,17.00,Unique,Median
65,-1.00,Core,Median
65,63.00,Accessory,Median
65,13.00,Unique,Median
66,-1.00,Core,Median
66,58.00,Accessory,Median
66,13.00,Unique,Median
67,-1.00,Core,Median
67,57.00,Accessory,Median
67,15.00,Unique,Median
68,-1.00,Core,Median
68,58.00,Accessory,Median
68,14.00,Unique,Median
69,-1.00,Core,Median
69,56.00,Accessory,Median
69,13.00,Unique,Median
70,-1.00,Core,Median
70,56.00,Accessory,Median
70,11.00,Unique,Median
71,-1.00,Core,Median
71,54.00,Accessory,Median
71,13.00,Unique,Median
72,-1.00,Core,Median
72,54.00,Accessory,Median
72,16.00,Unique,Median
73,-1.00,Core,Median
73,51.00,Accessory,Median
73,10.00,Unique,Median
74,-1.00,Core,Median
74,53.00,Accessory,Median
74,11.00,Unique,Median
75,-1.00,Core,Median
75,54.00,Accessory,Median
75,11.00,Unique,Median
76,-1.00,Core,Median
76,52.00,Accessory,Median
76,14.00,Unique,Median
77,-1.00,Core,Median
77,50.00,Accessory,Median
77,12.00,Unique,Median
78,-1.00,Core,Median
