x,y,Category
4,17934,Core
34,9391380,Accessory
28,2236,Core
21,2697,Core
5,2195700,Accessory
33,1945,Core
5,8336,Core
30,8551097,Accessory
22,7276680,Accessory
2,41646,Core
8,4359,Core
30,2202,Core
34,9355099,Accessory
25,2000,Core
5,2338742,Accessory
30,8680196,Accessory
18,5292550,Accessory
30,1985,Core
11,6185,Core
18,3710,Core
6,6588,Core
29,8478672,Accessory
27,7986251,Accessory
20,6125630,Accessory
21,2478,Core
14,2765,Core
6,6215,Core
11,3417,Core
11,3395,Core
15,4860409,Accessory
20,2148,Core
33,1848,Core
25,7915884,Accessory
17,2387,Core
5,11043,Core
20,2489,Core
5,6104,Core
7,2727968,Accessory
25,7545875,Accessory
22,6674073,Accessory
25,7264625,Accessory
3,1462512,Accessory
25,2592,Core
16,2930,Core
24,7176259,Accessory
18,3056,Core
10,4167573,Accessory
14,5266774,Accessory
27,7942590,Accessory
19,6252950,Accessory
18,2279,Core
14,2909,Core
23,6798343,Accessory
18,5540403,Accessory
17,6192600,Accessory
10,3033,Core
14,5179190,Accessory
6,2664331,Accessory
19,2333,Core
2,923931,Accessory
10,4617214,Accessory
15,5990355,Accessory
31,9007367,Accessory
21,2227,Core
29,2074,Core
22,7002543,Accessory
8,3216723,Accessory
30,1960,Core
4,1467040,Accessory
29,8201548,Accessory
31,8710682,Accessory
18,2782,Core
5,13153,Core
31,8930138,Accessory
12,4621,Core
3,1458328,Accessory
19,3045,Core
32,8652113,Accessory
31,2040,Core
3,1694629,Accessory
16,3053,Core
5,8311,Core
29,8289149,Accessory
33,9316214,Accessory
8,5976,Core
4,16227,Core
9,4014945,Accessory
16,5592261,Accessory
11,2870,Core
13,5066020,Accessory
23,7320862,Accessory
5,9396,Core
3,1515470,Accessory
12,5118178,Accessory
30,8616149,Accessory
13,2995,Core
27,7940649,Accessory
22,7048656,Accessory
6,6466,Core
29,2196,Core
15,3161,Core
25,7746302,Accessory
22,6953263,Accessory
17,3010,Core
25,2089,Core
22,2248,Core
4,2000363,Accessory
18,6299438,Accessory
32,1963,Core
12,4811318,Accessory
14,4861489,Accessory
31,1967,Core
31,2065,Core
9,3492,Core
6,6739,Core
9,3830,Core
23,7132865,Accessory
32,1859,Core
10,4521,Core
26,6930049,Accessory
2,919319,Accessory
5,2626232,Accessory
9,3240057,Accessory
9,3490149,Accessory
27,8506777,Accessory
30,1917,Core
2,67990,Core
22,7559006,Accessory
14,3136,Core
23,6782422,Accessory
12,3011,Core
6,6222,Core
31,8814618,Accessory
12,4723540,Accessory
26,2240,Core
4,1636404,Accessory
12,4843755,Accessory
10,4035305,Accessory
29,8547022,Accessory
22,7883959,Accessory
25,7545388,Accessory
