x,y,Category
4,17934,Core
28,2236,Core
21,2697,Core
18,4469123,Unique
31,2995396,Accessory
21,5182607,Unique
33,1945,Core
24,4766143,Unique
5,8336,Core
17,2128482,Accessory
22,4947965,Unique
22,5247509,Unique
24,2544963,Accessory
2,41646,Core
8,3020260,Unique
29,5657065,Unique
18,4131958,Unique
3,1375844,Unique
8,4359,Core
17,1741528,Accessory
26,2833869,Accessory
21,4641210,Unique
16,3863042,Unique
30,2202,Core
23,2560353,Accessory
21,1863304,Accessory
25,2000,Core
33,3312684,Accessory
14,3772146,Unique
28,2714845,Accessory
30,1985,Core
11,6185,Core
18,3710,Core
26,5806802,Unique
6,6588,Core
24,2666813,Accessory
28,4894354,Unique
34,5958702,Unique
21,2478,Core
14,2765,Core
6,6215,Core
30,5524583,Unique
10,1056653,Accessory
7,2699131,Unique
25,2471728,Accessory
11,3417,Core
11,3395,Core
21,2395226,Accessory
15,3025872,Unique
27,2798671,Accessory
2,1097589,Unique
29,3022904,Accessory
31,3268282,Accessory
20,2148,Core
28,5211189,Unique
28,4607694,Unique
33,1848,Core
18,2152033,Accessory
17,2387,Core
17,4786713,Unique
20,3876032,Unique
5,11043,Core
20,2489,Core
5,6104,Core
30,5170640,Unique
24,2300479,Accessory
31,3127087,Accessory
33,5787542,Unique
18,2903319,Unique
9,571269,Accessory
25,2592,Core
17,3700435,Unique
16,2930,Core
18,3056,Core
28,5145426,Unique
20,2237955,Accessory
7,2540834,Unique
14,1177907,Accessory
32,3304960,Accessory
32,3261411,Accessory
18,2279,Core
14,2909,Core
12,3311058,Unique
18,4565409,Unique
28,4644075,Unique
10,3033,Core
12,928470,Accessory
19,2333,Core
11,3416932,Unique
21,2227,Core
4,1801519,Unique
7,406406,Accessory
27,3087696,Accessory
29,2074,Core
23,5077769,Unique
30,1960,Core
18,2782,Core
5,13153,Core
32,3263045,Accessory
9,878720,Accessory
12,4621,Core
19,3045,Core
32,5686986,Unique
8,569956,Accessory
17,3430147,Unique
3,188472,Accessory
18,2003021,Accessory
31,2040,Core
16,3053,Core
5,8311,Core
33,5971605,Unique
8,5976,Core
4,16227,Core
11,2870,Core
18,4789272,Unique
5,298494,Accessory
5,9396,Core
32,5815210,Unique
33,3164809,Accessory
4,1033922,Unique
13,2995,Core
2,999353,Unique
7,816503,Accessory
32,6146160,Unique
21,2077884,Accessory
3,443345,Unique
14,4007780,Unique
6,6466,Core
22,2381682,Accessory
6,738811,Accessory
29,2196,Core
31,3204420,Accessory
15,3161,Core
17,3010,Core
5,210857,Accessory
25,2089,Core
5,174643,Accessory
22,2248,Core
26,2613030,Accessory
26,4735418,Unique
11,3073698,Unique
6,2484824,Unique
33,5774864,Unique
32,1963,Core
18,2175273,Accessory
13,1119834,Accessory
11,3251147,Unique
4,567563,Unique
21,2069483,Accessory
4,594298,Accessory
14,3185943,Unique
24,2192773,Accessory
31,1967,Core
18,1693837,Accessory
31,2065,Core
9,2872624,Unique
5,2229323,Unique
9,697485,Accessory
9,3590915,Unique
9,3492,Core
3,92157,Accessory
10,801548,Accessory
6,6739,Core
21,5139762,Unique
9,3830,Core
33,5961792,Unique
32,1859,Core
