x,y,Category
24,3293,Accessory
28,3172,Accessory
17,2284,Accessory
29,3474,Accessory
6,1378,Accessory
23,2977,Accessory
26,2554,Accessory
10,673,Accessory
15,1666,Accessory
16,1968,Accessory
10,1485,Accessory
11,1787,Accessory
5,1076,Accessory
6,555,Accessory
22,2675,Accessory
11,1526,Accessory
12,1828,Accessory
22,2414,Accessory
6,1126,Accessory
10,1224,Accessory
33,3302,Accessory
14,1364,Accessory
2,206,Accessory
7,1428,Accessory
32,3261,Accessory
18,93,Core
20,2071,Accessory
34,3604,Accessory
20,152,Core
30,2895,Accessory
27,2604,Accessory
31,2936,Accessory
15,154,Core
32,3252,Accessory
3,411,Core
7,1419,Accessory
7,1689,Accessory
11,1535,Accessory
14,2446,Accessory
13,2396,Accessory
23,2725,Accessory
18,2595,Accessory
28,3181,Accessory
18,2325,Accessory
10,2306,Accessory
5,1067,Accessory
24,3032,Accessory
31,2945,Accessory
11,90,Core
33,81,Core
33,3311,Accessory
6,1631,Accessory
2,156,Core
19,2618,Accessory
24,3050,Accessory
29,3231,Accessory
17,2041,Accessory
2,215,Accessory
24,3023,Accessory
33,3320,Accessory
4,885,Accessory
22,2432,Accessory
12,2094,Accessory
15,1648,Accessory
24,3284,Accessory
4,166,Core
13,2162,Accessory
23,2959,Accessory
30,2652,Accessory
16,1977,Accessory
27,2838,Accessory
5,1581,Accessory
6,1883,Accessory
2,472,Core
11,1769,Accessory
28,3163,Accessory
29,3492,Accessory
18,2568,Accessory
5,1094,Accessory
12,1837,Accessory
9,1460,Accessory
10,682,Accessory
18,2307,Accessory
21,86,Core
14,2428,Accessory
2,720,Accessory
32,3270,Accessory
5,1320,Accessory
13,2144,Accessory
26,2788,Accessory
29,3213,Accessory
21,2364,Accessory
9,1189,Accessory
26,2572,Accessory
14,2212,Accessory
14,1860,Accessory
19,2654,Accessory
13,2171,Accessory
6,528,Accessory
12,2076,Accessory
12,1855,Accessory
17,2257,Accessory
22,2179,Accessory
5,1572,Accessory
6,1144,Accessory
18,2100,Accessory
19,2402,Accessory
17,2005,Accessory
15,1901,Accessory
18,2559,Accessory
26,2581,Accessory
5,903,Accessory
27,2622,Accessory
21,2391,Accessory
15,1693,Accessory
6,1396,Accessory
25,2486,Accessory
10,1206,Accessory
2,519,Core
27,2613,Accessory
12,1603,Accessory
25,3361,Accessory
22,2450,Accessory
9,1442,Accessory
9,1807,Accessory
19,2663,Accessory
15,1684,Accessory
18,1991,Accessory
29,3456,Accessory
6,1135,Accessory
10,1972,Accessory
20,2923,Accessory
24,3257,Accessory
12,2067,Accessory
7,1437,Accessory
3,390,Accessory
4,84,Core
7,1203,Accessory
15,2766,Accessory
33,3076,Accessory
5,80,Core
25,3559,Accessory
13,2369,Accessory
8,1739,Accessory
14,2203,Accessory
15,2505,Accessory
32,3477,Accessory
13,2108,Accessory
12,1864,Accessory
22,2684,Accessory
14,2464,Accessory
6,370,Core
13,2135,Accessory
23,2986,Accessory
15,2532,Accessory
21,2589,Accessory
6,1613,Accessory
5,1311,Accessory
22,3027,Accessory
26,2779,Accessory
10,1233,Accessory
22,2423,Accessory
32,3216,Accessory
7,359,Core
29,3222,Accessory
16,1986,Accessory
18,2361,Accessory
17,2032,Accessory
33,3545,Accessory
8,703,Accessory
11,1562,Accessory
21,2355,Accessory
29,3483,Accessory
2,485,Accessory
17,2293,Accessory
30,3247,Accessory
16,1725,Accessory
28,2915,Accessory
2,224,Accessory
8,1505,Accessory
15,1657,Accessory
6,1108,Accessory
9,2073,Accessory
27,3086,Accessory
24,2549,Accessory
10,94,Core
31,3166,Accessory
6,1171,Accessory
28,3379,Accessory
8,1775,Accessory
19,2158,Accessory
9,1685,Accessory
17,2501,Accessory
18,2803,Accessory
19,2681,Accessory
25,2982,Accessory
4,849,Accessory
20,2932,Accessory
5,407,Accessory
24,2811,Accessory
17,1671,Accessory
12,1490,Accessory
25,2721,Accessory
10,1954,Accessory
4,1243,Accessory
16,1761,Accessory
9,1424,Accessory
9,1825,Accessory
33,3509,Accessory
27,3469,Accessory
15,1197,Accessory
20,2418,Accessory
28,3118,Accessory
13,1932,Accessory
5,1302,Accessory
6,363,Core
11,2270,Accessory
31,3549,Accessory
15,2027,Accessory
12,2703,Accessory
15,2288,Accessory
27,2378,Accessory
12,2058,Accessory
12,1873,Accessory
11,2148,Accessory
23,2500,Accessory
17,2744,Accessory
25,2991,Accessory
32,3225,Accessory
24,2306,Accessory
8,1113,Accessory
17,2510,Accessory
12,1368,Accessory
19,2149,Accessory
8,1392,Accessory
20,2679,Accessory
26,3158,Accessory
20,2783,Accessory
25,2964,Accessory
15,2036,Accessory
15,2009,Accessory
18,2370,Accessory
13,1679,Accessory
32,3486,Accessory
27,3095,Accessory
29,2748,Accessory
8,1514,Accessory
8,1131,Accessory
12,2302,Accessory
31,3306,Accessory
13,1905,Accessory
6,582,Accessory
12,1472,Accessory
28,3145,Accessory
15,2541,Accessory
2,465,Core
16,1995,Accessory
20,2522,Accessory
19,2420,Accessory
6,1162,Accessory
24,3005,Accessory
26,3176,Accessory
13,1950,Accessory
11,1553,Accessory
19,3015,Accessory
16,1734,Accessory
22,3009,Accessory
14,2081,Accessory
3,850,Accessory
25,3316,Accessory
4,1225,Accessory
11,83,Core
6,1622,Accessory
16,2347,Accessory
31,3139,Accessory
13,2378,Accessory
31,3193,Accessory
7,1054,Accessory
9,1451,Accessory
30,3229,Accessory
20,2044,Accessory
21,2815,Accessory
6,1829,Accessory
3,372,Accessory
7,1455,Accessory
15,2514,Accessory
5,1058,Accessory
21,2598,Accessory
16,2424,Accessory
2,404,Core
24,2567,Accessory
26,3280,Accessory
26,2536,Accessory
