x,y,Category
17,1579,Unique
31,1785,Unique
14,770,Accessory
2,731,Unique
14,1313,Unique
10,673,Accessory
4,202,Unique
28,2092,Unique
28,1714,Unique
12,1126,Unique
6,555,Accessory
24,1796,Unique
34,1169,Accessory
2,503,Unique
18,93,Core
10,235,Unique
20,152,Core
26,1755,Unique
16,1667,Unique
14,1541,Unique
3,436,Unique
27,1802,Unique
15,154,Core
3,411,Core
23,1656,Unique
10,1530,Unique
17,1942,Unique
20,984,Accessory
4,597,Unique
28,1942,Unique
5,591,Unique
4,128,Accessory
33,81,Core
21,1021,Accessory
29,1040,Accessory
19,839,Accessory
20,1255,Unique
10,1395,Unique
22,879,Accessory
16,1137,Unique
2,596,Unique
22,1670,Unique
13,1796,Unique
10,1302,Unique
22,1079,Accessory
6,203,Unique
8,486,Accessory
22,1442,Unique
3,86,Accessory
18,1000,Accessory
22,1972,Unique
3,68,Accessory
10,993,Unique
17,1412,Unique
4,732,Unique
24,1931,Unique
31,2070,Unique
10,691,Unique
20,1483,Unique
21,1697,Unique
22,897,Accessory
19,857,Accessory
6,537,Accessory
16,1365,Unique
18,1626,Unique
8,1685,Unique
30,1038,Accessory
13,1568,Unique
20,966,Accessory
21,86,Core
17,1640,Unique
17,926,Accessory
27,1500,Unique
24,1703,Unique
27,1969,Unique
30,1571,Unique
3,120,Accessory
9,593,Unique
8,660,Unique
33,2196,Unique
28,2166,Unique
18,1552,Unique
13,847,Accessory
20,1329,Unique
17,944,Accessory
20,948,Accessory
7,894,Unique
25,1541,Unique
14,752,Accessory
12,1280,Unique
17,1049,Unique
26,1681,Unique
9,1369,Unique
16,824,Unique
10,765,Unique
12,994,Unique
2,519,Core
22,1744,Unique
12,821,Accessory
3,362,Unique
19,1464,Unique
14,465,Unique
20,1785,Unique
6,591,Accessory
30,2097,Unique
25,2067,Unique
7,460,Accessory
15,778,Accessory
15,1453,Unique
6,431,Unique
13,1494,Unique
5,80,Core
30,2227,Unique
26,976,Accessory
29,1854,Unique
4,389,Accessory
7,438,Unique
27,1895,Unique
6,370,Core
27,2026,Unique
9,1067,Unique
5,967,Unique
6,598,Unique
7,359,Core
23,1582,Unique
20,2139,Unique
8,703,Accessory
29,2078,Unique
27,1035,Accessory
16,1500,Unique
31,1920,Unique
31,2144,Unique
8,957,Unique
19,1008,Unique
25,1843,Unique
10,94,Core
9,723,Unique
16,900,Accessory
16,1291,Unique
4,164,Accessory
7,801,Unique
24,1066,Accessory
5,407,Accessory
8,734,Unique
18,813,Accessory
9,500,Unique
8,506,Unique
20,1859,Unique
18,1194,Unique
31,2200,Unique
11,699,Accessory
19,893,Accessory
22,2252,Unique
19,1058,Accessory
32,2112,Unique
12,822,Unique
17,762,Unique
17,1282,Unique
13,865,Accessory
29,1552,Unique
20,2065,Unique
25,1917,Unique
23,1958,Unique
19,1241,Unique
31,2139,Unique
9,951,Unique
30,2004,Unique
9,1202,Unique
17,990,Unique
18,709,Accessory
6,733,Unique
15,1829,Unique
2,465,Core
30,2153,Unique
9,1072,Unique
19,1013,Unique
3,966,Unique
17,1277,Unique
19,2046,Unique
21,1003,Accessory
26,1453,Unique
28,2222,Unique
24,2076,Unique
11,83,Core
8,883,Unique
19,1236,Unique
5,511,Accessory
10,537,Unique
13,1931,Unique
7,685,Accessory
18,1189,Unique
29,2134,Unique
32,2340,Unique
7,1243,Unique
2,404,Core
2,373,Unique
17,1054,Unique
31,1859,Unique
31,1142,Accessory
18,1324,Unique
21,835,Accessory
26,2263,Unique
27,1017,Accessory
14,1178,Unique
25,864,Accessory
13,1043,Unique
8,721,Accessory
10,161,Unique
14,1183,Unique
10,655,Accessory
25,2123,Unique
25,1313,Unique
28,1121,Accessory
24,2081,Unique
29,2515,Unique
14,734,Accessory
18,825,Unique
6,956,Unique
26,2040,Unique
13,1266,Unique
13,908,Unique
8,380,Core
9,747,Accessory
12,1131,Unique
13,397,Unique
6,169,Core
9,851,Accessory
19,1994,Unique
7,420,Unique
15,1095,Unique
7,889,Unique
8,118,Core
3,345,Accessory
14,1308,Unique
26,994,Accessory
4,430,Unique
22,1818,Unique
12,1349,Unique
7,290,Unique
11,1214,Unique
31,2293,Unique
26,1829,Unique
5,739,Unique
11,1084,Unique
12,687,Unique
30,1160,Accessory
23,2090,Unique
17,1407,Unique
4,374,Unique
20,1199,Unique
10,686,Unique
20,1790,Unique
7,374,Accessory
21,1474,Unique
12,1298,Unique
21,817,Accessory
23,1940,Unique
24,1624,Unique
4,881,Unique
26,1532,Unique
15,1532,Unique
19,961,Accessory
19,1822,Unique
21,1525,Unique
22,1665,Unique
2,89,Core
29,1933,Unique
19,1315,Unique
26,1071,Accessory
18,1798,Unique
29,1798,Unique
3,259,Accessory
20,1334,Unique
6,882,Unique
7,1322,Unique
8,1006,Unique
11,785,Accessory
27,1103,Accessory
20,1841,Unique
9,540,Accessory
18,1547,Unique
11,982,Unique
21,1018,Unique
22,1800,Unique
6,1047,Unique
14,1006,Unique
8,1513,Unique
23,1298,Unique
12,735,Accessory
11,524,Accessory
10,821,Unique
16,1216,Unique
18,1496,Unique
10,1223,Unique
24,1573,Unique
13,1489,Unique
17,777,Accessory
12,717,Accessory
29,2083,Unique
19,1771,Unique
6,375,Unique
25,1838,Unique
3,327,Accessory
3,515,Unique
9,421,Unique
5,888,Unique
11,749,Accessory
30,1952,Unique
10,131,Core
4,448,Unique
15,846,Accessory
3,92,Core
16,1421,Unique
9,969,Unique
10,988,Unique
6,510,Unique
31,2065,Unique
19,1687,Unique
10,1018,Unique
15,909,Accessory
7,373,Core
30,1142,Accessory
10,127,Core
27,1672,Unique
24,1875,Unique
24,1048,Accessory
4,182,Accessory
13,640,Accessory
6,426,Unique
8,572,Accessory
23,1879,Unique
27,1071,Accessory
3,88,Core
16,1588,Unique
20,1915,Unique
13,1322,Unique
25,1462,Unique
32,2358,Unique
6,677,Unique
9,718,Unique
13,1117,Unique
25,1257,Unique
5,258,Accessory
29,2157,Unique
31,1790,Unique
16,996,Unique
18,745,Accessory
12,510,Accessory
31,1841,Unique
12,771,Accessory
31,1160,Accessory
20,1408,Unique
18,1631,Unique
33,2275,Unique
11,907,Unique
25,1066,Accessory
26,1978,Unique
28,1103,Accessory
12,82,Core
15,1834,Unique
27,1974,Unique
31,2367,Unique
10,839,Unique
29,2208,Unique
6,812,Unique
11,549,Unique
9,504,Accessory
32,2107,Unique
9,1351,Unique
26,1908,Unique
14,716,Accessory
24,1949,Unique
25,2202,Unique
32,78,Core
7,745,Unique
28,2017,Unique
12,803,Accessory
4,457,Accessory
21,871,Accessory
19,1385,Unique
10,587,Accessory
30,2176,Unique
6,1252,Unique
10,616,Unique
24,2099,Unique
30,2460,Unique
9,895,Unique
30,1074,Accessory
9,765,Accessory
27,2249,Unique
19,907,Accessory
10,900,Unique
23,933,Accessory
18,831,Accessory
19,875,Accessory
18,1245,Unique
21,2061,Unique
22,2103,Unique
6,519,Accessory
9,672,Unique
2,294,Unique
13,1949,Unique
10,741,Accessory
29,2441,Unique
23,2020,Unique
7,442,Accessory
23,1809,Unique
10,619,Accessory
15,761,Unique
8,962,Unique
32,2284,Unique
31,1106,Accessory
20,2144,Unique
29,1780,Unique
8,813,Unique
12,543,Unique
31,1915,Unique
