x,y,Category,Metric
4,-39.15,Core,Average
4,179.65,Accessory,Average
5,-29.02,Core,Average
5,155.42,Accessory,Average
6,-20.55,Core,Average
6,133.78,Accessory,Average
7,-13.24,Core,Average
7,121.08,Accessory,Average
8,-11.74,Core,Average
8,115.98,Accessory,Average
9,-8.05,Core,Average
9,110.59,Accessory,Average
10,-5.10,Core,Average
10,101.12,Accessory,Average
11,-5.89,Core,Average
11,97.98,Accessory,Average
12,-3.89,Core,Average
12,96.10,Accessory,Average
13,-3.11,Core,Average
13,93.59,Accessory,Average
14,-1.86,Core,Average
14,76.73,Accessory,Average
15,-1.81,Core,Average
15,87.03,Accessory,Average
16,-1.19,Core,Average
16,90.26,Accessory,Average
17,-1.10,Core,Average
17,91.79,Accessory,Average
18,-0.74,Core,Average
18,80.21,Accessory,Average
19,-0.84,Core,Average
19,82.30,Accessory,Average
20,-0.47,Core,Average
20,77.81,Accessory,Average
21,-0.37,Core,Average
21,76.48,Accessory,Average
22,-0.45,Core,Average
22,77.76,Accessory,Average
23,-0.34,Core,Average
23,78.88,Accessory,Average
24,-0.29,Core,Average
24,81.84,Accessory,Average
25,-0.36,Core,Average
25,79.60,Accessory,Average
26,-0.32,Core,Average
26,77.10,Accessory,Average
27,-0.23,Core,Average
27,72.17,Accessory,Average
28,-0.23,Core,Average
28,73.44,Accessory,Average
29,-0.21,Core,Average
29,68.83,Accessory,Average
30,-0.23,Core,Average
30,71.68,Accessory,Average
31,-0.21,Core,Average
31,67.04,Accessory,Average
32,-0.22,Core,Average
32,72.88,Accessory,Average
33,-0.22,Core,Average
33,70.92,Accessory,Average
34,-0.18,Core,Average
34,67.91,Accessory,Average
35,-0.19,Core,Average
35,64.99,Accessory,Average
