x,y,Category,Metric
4,-2.00,Core,Median
4,84.00,Accessory,Median
4,25.00,Unique,Median
5,-1.00,Core,Median
5,62.00,Accessory,Median
5,28.00,Unique,Median
6,-1.00,Core,Median
6,47.00,Accessory,Median
6,27.00,Unique,Median
7,0.00,Core,Median
7,40.00,Accessory,Median
7,27.00,Unique,Median
8,0.00,Core,Median
8,30.00,Accessory,Median
8,29.00,Unique,Median
9,0.00,Core,Median
9,27.00,Accessory,Median
9,27.00,Unique,Median
10,0.00,Core,Median
10,21.00,Accessory,Median
10,24.00,Unique,Median
11,0.00,Core,Median
11,19.00,Accessory,Median
11,15.00,Unique,Median
12,0.00,Core,Median
12,14.00,Accessory,Median
12,26.00,Unique,Median
13,0.00,Core,Median
13,14.00,Accessory,Median
13,14.00,Unique,Median
14,0.00,Core,Median
14,13.00,Accessory,Median
14,8.00,Unique,Median
15,0.00,Core,Median
15,14.00,Accessory,Median
15,9.00,Unique,Median
16,0.00,Core,Median
16,11.00,Accessory,Median
16,10.00,Unique,Median
17,0.00,Core,Median
17,11.00,Accessory,Median
17,12.00,Unique,Median
18,0.00,Core,Median
18,10.00,Accessory,Median
18,9.00,Unique,Median
19,0.00,Core,Median
19,10.00,Accessory,Median
19,4.00,Unique,Median
20,0.00,Core,Median
20,8.00,Accessory,Median
20,6.00,Unique,Median
21,0.00,Core,Median
21,8.00,Accessory,Median
21,4.00,Unique,Median
22,0.00,Core,Median
22,8.00,Accessory,Median
22,6.00,Unique,Median
23,0.00,Core,Median
23,8.00,Accessory,Median
23,5.00,Unique,Median
24,0.00,Core,Median
24,8.00,Accessory,Median
24,5.00,Unique,Median
25,0.00,Core,Median
25,8.00,Accessory,Median
25,4.00,Unique,Median
26,0.00,Core,Median
26,7.00,Accessory,Median
26,1.00,Unique,Median
27,0.00,Core,Median
27,6.00,Accessory,Median
27,1.00,Unique,Median
28,0.00,Core,Median
28,7.00,Accessory,Median
28,1.00,Unique,Median
29,0.00,Core,Median
29,7.00,Accessory,Median
29,0.00,Unique,Median
30,0.00,Core,Median
30,7.00,Accessory,Median
30,1.00,Unique,Median
31,0.00,Core,Median
31,6.00,Accessory,Median
31,0.00,Unique,Median
32,0.00,Core,Median
32,7.00,Accessory,Median
32,1.00,Unique,Median
33,0.00,Core,Median
33,6.00,Accessory,Median
33,1.00,Unique,Median
34,0.00,Core,Median
34,7.00,Accessory,Median
34,1.00,Unique,Median
35,0.00,Core,Median
35,5.00,Accessory,Median
35,0.00,Unique,Median
