x,y,Category
61,487414,Core
52,4117852,Accessory
56,4520050,Accessory
202,6207101,Accessory
50,431624,Core
16,610691,Core
53,4154355,Accessory
46,4464469,Accessory
165,6061931,Accessory
178,5909292,Accessory
216,318431,Core
200,351553,Core
70,459825,Core
230,308273,Core
101,397330,Core
76,450315,Core
188,6117636,Accessory
45,4412579,Accessory
162,5449437,Accessory
165,5526064,Accessory
125,377609,Core
41,540342,Core
126,394063,Core
81,467226,Core
26,562704,Core
209,316425,Core
213,6135462,Accessory
68,454432,Core
207,323834,Core
213,310596,Core
128,5367256,Accessory
151,5728086,Accessory
25,564793,Core
80,4998469,Accessory
151,5318528,Accessory
8,2144857,Accessory
68,4621803,Accessory
120,372031,Core
121,5458686,Accessory
22,534510,Core
213,315859,Core
63,469257,Core
165,329293,Core
232,307577,Core
77,438206,Core
139,5558893,Accessory
79,4731960,Accessory
65,439680,Core
172,5864843,Accessory
176,323340,Core
99,428702,Core
114,5460843,Accessory
7,2485690,Accessory
16,656589,Core
168,5743081,Accessory
222,310602,Core
91,4970342,Accessory
132,5256657,Accessory
53,510044,Core
45,4210888,Accessory
178,5855799,Accessory
147,375506,Core
132,393431,Core
2,1148774,Core
42,530909,Core
205,320737,Core
56,425315,Core
65,479309,Core
215,6135866,Accessory
175,5929198,Accessory
63,4752143,Accessory
185,332665,Core
112,388441,Core
232,6266008,Accessory
178,5979527,Accessory
102,5348631,Accessory
200,5911990,Accessory
26,572840,Core
95,5029699,Accessory
133,393204,Core
19,644617,Core
2,1163842,Accessory
120,5211309,Accessory
80,450752,Core
167,5983084,Accessory
40,4044055,Accessory
180,335140,Core
192,348582,Core
99,5323773,Accessory
41,573332,Core
113,374303,Core
56,4909740,Accessory
226,6261293,Accessory
213,316546,Core
127,5646478,Accessory
149,5903253,Accessory
88,4794014,Accessory
111,431523,Core
196,329672,Core
86,445615,Core
43,535481,Core
227,308054,Core
12,650708,Core
185,5944437,Accessory
134,391118,Core
134,5524246,Accessory
62,393767,Core
52,4281852,Accessory
101,419414,Core
96,425832,Core
22,671876,Core
133,5168878,Accessory
154,327302,Core
33,4020888,Accessory
57,4199273,Accessory
43,557034,Core
161,5938073,Accessory
228,6311660,Accessory
71,475962,Core
65,443529,Core
178,332277,Core
158,5888718,Accessory
183,5880054,Accessory
63,479393,Core
42,4136926,Accessory
213,311768,Core
72,4770245,Accessory
55,4517476,Accessory
227,311848,Core
64,453817,Core
