x,y,Category
225,1340188,Unique
61,487414,Core
154,4381178,Accessory
50,431624,Core
16,610691,Core
18,2465901,Accessory
228,4939902,Accessory
220,1312627,Unique
92,1171499,Unique
178,4639561,Accessory
14,2154258,Accessory
41,540342,Core
209,316425,Core
92,1321825,Unique
4,1138624,Unique
207,323834,Core
144,4464285,Accessory
165,1205663,Unique
132,1319498,Unique
25,564793,Core
40,1083699,Unique
120,372031,Core
83,3735946,Accessory
54,996151,Unique
137,1094349,Unique
22,534510,Core
138,4472338,Accessory
213,315859,Core
91,1296792,Unique
165,329293,Core
232,307577,Core
140,4459532,Accessory
80,3692356,Accessory
30,2904510,Accessory
32,2824516,Accessory
23,2694055,Accessory
128,1286936,Unique
111,943878,Unique
60,1266208,Unique
176,323340,Core
72,3698170,Accessory
127,1410384,Unique
16,656589,Core
220,4925936,Accessory
153,1463998,Unique
53,510044,Core
147,375506,Core
132,393431,Core
2,1148774,Core
81,1108211,Unique
42,530909,Core
76,3760446,Accessory
135,4422226,Accessory
56,425315,Core
107,3791061,Accessory
59,990744,Unique
185,332665,Core
112,388441,Core
129,930653,Unique
138,1001624,Unique
146,4463860,Accessory
184,1280061,Unique
166,1177391,Unique
171,4508873,Accessory
152,4417631,Accessory
90,1063911,Unique
34,1370154,Unique
81,3751700,Accessory
80,450752,Core
179,4742175,Accessory
64,3586419,Accessory
208,1135098,Unique
41,573332,Core
212,4927742,Accessory
7,897611,Unique
43,2954821,Accessory
24,2673487,Accessory
199,4816596,Accessory
213,316546,Core
105,998562,Unique
62,1327565,Unique
80,1149530,Unique
217,4844455,Accessory
196,329672,Core
86,445615,Core
43,535481,Core
227,308054,Core
65,3577496,Accessory
185,1379235,Unique
159,4644622,Accessory
166,1080217,Unique
50,3369515,Accessory
79,3689545,Accessory
101,419414,Core
96,1383429,Unique
145,973367,Unique
154,327302,Core
172,4598885,Accessory
227,4931057,Accessory
200,1312887,Unique
65,443529,Core
115,3976037,Accessory
178,332277,Core
142,4462055,Accessory
65,923971,Unique
63,479393,Core
89,972702,Unique
151,4575550,Accessory
131,4375607,Accessory
102,1112388,Unique
64,453817,Core
40,956166,Unique
167,4439894,Accessory
213,1421102,Unique
201,320270,Core
30,563756,Core
162,4604508,Accessory
169,1151665,Unique
203,1287212,Unique
118,4217119,Accessory
223,1351192,Unique
94,4039159,Accessory
171,335691,Core
189,4776313,Accessory
19,666432,Core
206,320269,Core
60,1144238,Unique
215,4894192,Accessory
119,4378517,Accessory
43,885184,Unique
26,657690,Core
116,4185849,Accessory
175,1204693,Unique
231,308046,Core
58,487439,Core
174,336142,Core
195,1305229,Unique
123,4238826,Accessory
162,1152387,Unique
76,1079944,Unique
179,4743978,Accessory
24,672170,Unique
32,554560,Core
89,1466288,Unique
66,1125056,Unique
52,1192416,Unique
109,386234,Core
28,558961,Core
43,3255924,Accessory
69,448666,Core
58,3402552,Accessory
70,3659386,Accessory
223,1374966,Unique
50,3423643,Accessory
13,1077542,Unique
100,3868889,Accessory
50,1019076,Unique
131,391038,Core
177,1046969,Unique
85,4042733,Accessory
17,545848,Core
102,1060243,Unique
140,1286579,Unique
28,2649365,Accessory
140,1004392,Unique
192,4706453,Accessory
137,4369264,Accessory
85,3687502,Accessory
123,362481,Core
148,1215061,Unique
222,4890115,Accessory
230,308327,Core
14,693638,Core
27,1115880,Unique
14,1970314,Accessory
169,1234220,Unique
27,558739,Core
53,1217996,Unique
