x,y,Category,Metric
4,-21.82,Core,Average
4,120.24,Accessory,Average
5,-13.21,Core,Average
5,98.29,Accessory,Average
6,-8.05,Core,Average
6,80.24,Accessory,Average
7,-5.64,Core,Average
7,65.15,Accessory,Average
8,-4.61,Core,Average
8,62.55,Accessory,Average
9,-3.95,Core,Average
9,53.69,Accessory,Average
10,-3.01,Core,Average
10,48.27,Accessory,Average
11,-2.55,Core,Average
11,41.65,Accessory,Average
12,-2.21,Core,Average
12,39.76,Accessory,Average
13,-2.17,Core,Average
13,38.73,Accessory,Average
14,-1.98,Core,Average
14,35.94,Accessory,Average
15,-1.85,Core,Average
15,31.65,Accessory,Average
16,-1.56,Core,Average
16,29.58,Accessory,Average
17,-1.39,Core,Average
17,28.06,Accessory,Average
18,-1.54,Core,Average
18,28.40,Accessory,Average
19,-1.27,Core,Average
19,25.32,Accessory,Average
20,-1.32,Core,Average
20,24.02,Accessory,Average
21,-1.10,Core,Average
21,22.80,Accessory,Average
22,-1.07,Core,Average
22,20.85,Accessory,Average
23,-1.28,Core,Average
23,22.72,Accessory,Average
24,-1.25,Core,Average
24,21.89,Accessory,Average
25,-0.98,Core,Average
25,20.60,Accessory,Average
26,-1.09,Core,Average
26,19.51,Accessory,Average
27,-1.18,Core,Average
27,20.06,Accessory,Average
28,-0.92,Core,Average
28,17.62,Accessory,Average
29,-0.86,Core,Average
29,16.92,Accessory,Average
30,-0.83,Core,Average
30,16.15,Accessory,Average
31,-0.75,Core,Average
31,16.03,Accessory,Average
32,-0.91,Core,Average
32,16.71,Accessory,Average
33,-0.80,Core,Average
33,14.99,Accessory,Average
34,-0.70,Core,Average
34,14.14,Accessory,Average
35,-0.94,Core,Average
35,14.65,Accessory,Average
36,-0.73,Core,Average
36,13.89,Accessory,Average
37,-0.85,Core,Average
37,14.52,Accessory,Average
38,-0.66,Core,Average
38,13.04,Accessory,Average
39,-0.69,Core,Average
39,12.21,Accessory,Average
40,-0.71,Core,Average
40,12.30,Accessory,Average
41,-0.86,Core,Average
41,13.29,Accessory,Average
42,-0.62,Core,Average
42,11.34,Accessory,Average
43,-0.68,Core,Average
43,10.98,Accessory,Average
44,-0.68,Core,Average
44,12.29,Accessory,Average
45,-0.65,Core,Average
45,10.72,Accessory,Average
46,-0.58,Core,Average
46,10.22,Accessory,Average
47,-0.53,Core,Average
47,10.80,Accessory,Average
48,-0.80,Core,Average
48,11.63,Accessory,Average
49,-0.67,Core,Average
49,10.36,Accessory,Average
50,-0.61,Core,Average
50,9.91,Accessory,Average
51,-0.63,Core,Average
51,11.02,Accessory,Average
52,-0.59,Core,Average
52,9.45,Accessory,Average
53,-0.69,Core,Average
53,10.29,Accessory,Average
54,-0.55,Core,Average
54,10.45,Accessory,Average
55,-0.54,Core,Average
55,10.20,Accessory,Average
56,-0.50,Core,Average
56,9.52,Accessory,Average
57,-0.65,Core,Average
57,9.86,Accessory,Average
58,-0.66,Core,Average
58,9.10,Accessory,Average
59,-0.44,Core,Average
59,8.95,Accessory,Average
60,-0.54,Core,Average
60,8.96,Accessory,Average
61,-0.46,Core,Average
61,8.19,Accessory,Average
62,-0.44,Core,Average
62,8.06,Accessory,Average
63,-0.44,Core,Average
63,7.92,Accessory,Average
64,-0.42,Core,Average
64,7.79,Accessory,Average
65,-0.54,Core,Average
65,7.22,Accessory,Average
66,-0.53,Core,Average
66,7.82,Accessory,Average
67,-0.52,Core,Average
67,7.98,Accessory,Average
68,-0.40,Core,Average
68,7.46,Accessory,Average
69,-0.56,Core,Average
69,7.85,Accessory,Average
70,-0.44,Core,Average
70,7.84,Accessory,Average
71,-0.41,Core,Average
71,7.24,Accessory,Average
72,-0.53,Core,Average
72,7.33,Accessory,Average
73,-0.49,Core,Average
73,8.08,Accessory,Average
74,-0.45,Core,Average
74,6.44,Accessory,Average
75,-0.44,Core,Average
75,7.78,Accessory,Average
76,-0.42,Core,Average
76,7.12,Accessory,Average
77,-0.40,Core,Average
77,6.56,Accessory,Average
78,-0.43,Core,Average
78,6.56,Accessory,Average
79,-0.46,Core,Average
79,7.16,Accessory,Average
80,-0.45,Core,Average
80,6.38,Accessory,Average
81,-0.43,Core,Average
81,6.45,Accessory,Average
82,-0.38,Core,Average
82,6.05,Accessory,Average
83,-0.44,Core,Average
83,6.48,Accessory,Average
84,-0.50,Core,Average
84,6.64,Accessory,Average
85,-0.49,Core,Average
85,7.05,Accessory,Average
86,-0.34,Core,Average
86,6.65,Accessory,Average
87,-0.45,Core,Average
87,6.40,Accessory,Average
88,-0.28,Core,Average
88,5.86,Accessory,Average
89,-0.43,Core,Average
89,5.34,Accessory,Average
90,-0.44,Core,Average
90,6.37,Accessory,Average
91,-0.40,Core,Average
91,5.90,Accessory,Average
92,-0.32,Core,Average
92,5.17,Accessory,Average
93,-0.56,Core,Average
93,5.78,Accessory,Average
94,-0.40,Core,Average
94,6.01,Accessory,Average
95,-0.41,Core,Average
95,5.87,Accessory,Average
96,-0.42,Core,Average
96,5.47,Accessory,Average
97,-0.35,Core,Average
97,5.54,Accessory,Average
98,-0.38,Core,Average
98,5.67,Accessory,Average
99,-0.47,Core,Average
99,5.89,Accessory,Average
100,-0.35,Core,Average
100,5.14,Accessory,Average
101,-0.44,Core,Average
101,5.17,Accessory,Average
102,-0.35,Core,Average
102,5.50,Accessory,Average
103,-0.43,Core,Average
103,4.93,Accessory,Average
104,-0.41,Core,Average
104,5.54,Accessory,Average
105,-0.31,Core,Average
105,4.79,Accessory,Average
106,-0.39,Core,Average
106,4.93,Accessory,Average
107,-0.36,Core,Average
107,3.99,Accessory,Average
108,-0.37,Core,Average
108,4.82,Accessory,Average
109,-0.35,Core,Average
109,4.38,Accessory,Average
110,-0.28,Core,Average
110,4.61,Accessory,Average
111,-0.40,Core,Average
111,4.94,Accessory,Average
112,-0.38,Core,Average
112,5.02,Accessory,Average
113,-0.38,Core,Average
113,5.00,Accessory,Average
114,-0.40,Core,Average
114,4.69,Accessory,Average
115,-0.33,Core,Average
115,4.98,Accessory,Average
116,-0.44,Core,Average
116,4.99,Accessory,Average
117,-0.36,Core,Average
117,4.65,Accessory,Average
118,-0.39,Core,Average
118,4.61,Accessory,Average
119,-0.35,Core,Average
119,4.78,Accessory,Average
120,-0.31,Core,Average
120,4.41,Accessory,Average
121,-0.30,Core,Average
121,4.33,Accessory,Average
122,-0.34,Core,Average
122,4.57,Accessory,Average
123,-0.30,Core,Average
123,3.91,Accessory,Average
124,-0.38,Core,Average
124,4.77,Accessory,Average
125,-0.32,Core,Average
125,4.66,Accessory,Average
126,-0.23,Core,Average
126,3.92,Accessory,Average
127,-0.34,Core,Average
127,4.39,Accessory,Average
128,-0.33,Core,Average
128,4.27,Accessory,Average
129,-0.31,Core,Average
129,4.09,Accessory,Average
130,-0.38,Core,Average
130,4.22,Accessory,Average
131,-0.36,Core,Average
131,4.54,Accessory,Average
132,-0.36,Core,Average
132,4.57,Accessory,Average
133,-0.34,Core,Average
133,3.90,Accessory,Average
134,-0.26,Core,Average
134,3.86,Accessory,Average
135,-0.28,Core,Average
135,4.06,Accessory,Average
136,-0.40,Core,Average
136,4.29,Accessory,Average
137,-0.31,Core,Average
137,3.74,Accessory,Average
138,-0.36,Core,Average
138,4.13,Accessory,Average
139,-0.41,Core,Average
139,4.40,Accessory,Average
140,-0.32,Core,Average
140,3.89,Accessory,Average
141,-0.29,Core,Average
141,4.32,Accessory,Average
142,-0.32,Core,Average
142,3.46,Accessory,Average
143,-0.43,Core,Average
143,4.50,Accessory,Average
144,-0.37,Core,Average
144,4.05,Accessory,Average
145,-0.29,Core,Average
145,3.32,Accessory,Average
146,-0.29,Core,Average
146,4.39,Accessory,Average
147,-0.34,Core,Average
147,3.92,Accessory,Average
148,-0.35,Core,Average
148,4.25,Accessory,Average
149,-0.30,Core,Average
149,3.54,Accessory,Average
150,-0.38,Core,Average
150,3.90,Accessory,Average
151,-0.32,Core,Average
151,3.55,Accessory,Average
152,-0.38,Core,Average
152,3.55,Accessory,Average
153,-0.34,Core,Average
153,3.45,Accessory,Average
154,-0.25,Core,Average
154,3.21,Accessory,Average
155,-0.28,Core,Average
155,3.13,Accessory,Average
156,-0.31,Core,Average
156,3.54,Accessory,Average
157,-0.22,Core,Average
157,2.93,Accessory,Average
158,-0.30,Core,Average
158,3.48,Accessory,Average
159,-0.24,Core,Average
159,2.91,Accessory,Average
160,-0.27,Core,Average
160,3.46,Accessory,Average
161,-0.29,Core,Average
161,3.42,Accessory,Average
162,-0.29,Core,Average
162,3.31,Accessory,Average
163,-0.32,Core,Average
163,3.62,Accessory,Average
164,-0.35,Core,Average
164,4.22,Accessory,Average
165,-0.29,Core,Average
165,3.31,Accessory,Average
166,-0.30,Core,Average
166,3.11,Accessory,Average
167,-0.21,Core,Average
167,3.25,Accessory,Average
168,-0.23,Core,Average
168,3.18,Accessory,Average
169,-0.25,Core,Average
169,3.31,Accessory,Average
170,-0.28,Core,Average
170,2.98,Accessory,Average
171,-0.35,Core,Average
171,3.14,Accessory,Average
