x,y,Category
49,2907,Core
6,6665528,Accessory
28,3264,Core
13,11852475,Accessory
7,8775240,Accessory
6,30847,Core
35,2822,Core
32,3039,Core
12,31990,Core
27,25105383,Accessory
22,3858,Core
34,24568423,Accessory
10,11474189,Accessory
10,11630360,Accessory
15,7130,Core
22,18723258,Accessory
13,16382340,Accessory
44,2879,Core
2,3082241,Core
40,27291177,Accessory
28,20308258,Accessory
12,17558828,Accessory
13,658562,Core
34,2987,Core
21,16348,Core
14,4308,Core
21,4872,Core
8,31505,Core
47,28182464,Accessory
6,11701572,Accessory
29,4425,Core
15,15942135,Accessory
16,15099444,Accessory
23,24367914,Accessory
26,21113860,Accessory
38,2882,Core
8,11565609,Accessory
42,28111462,Accessory
11,20618,Core
44,28197644,Accessory
8,59740,Core
47,28985738,Accessory
39,3267,Core
21,18645044,Accessory
34,4289,Core
11,46897,Core
38,3002,Core
11,672563,Core
30,26004554,Accessory
33,3290,Core
21,5049,Core
14,5160,Core
29,3221,Core
9,7357,Core
8,38210,Core
12,16684925,Accessory
38,3472,Core
32,24402399,Accessory
19,4752,Core
12,53938,Core
25,26684,Core
11,29304,Core
18,6557,Core
33,4178,Core
21,17930557,Accessory
8,12772662,Accessory
45,28247057,Accessory
16,18760717,Accessory
3,74790,Core
10,15558,Core
4,1578957,Core
5,1535541,Core
39,26890525,Accessory
37,3659,Core
23,3082,Core
29,24676274,Accessory
13,20806952,Accessory
15,4494,Core
31,25842940,Accessory
18,3961,Core
15,20852692,Accessory
20,5351,Core
33,25160475,Accessory
35,2944,Core
21,20775444,Accessory
19,28679,Core
29,3440,Core
9,844983,Core
19,21996833,Accessory
21,19300,Core
7,14600791,Accessory
36,27136625,Accessory
14,14020198,Accessory
6,68780,Core
39,26869336,Accessory
5,57408,Core
17,3534,Core
8,788061,Core
6,10910461,Accessory
38,3034,Core
43,2987,Core
4,9144577,Accessory
24,6005,Core
26,16661262,Accessory
36,4138,Core
11,15257599,Accessory
3,76979,Core
40,27014644,Accessory
16,21205183,Accessory
44,27896471,Accessory
36,25062535,Accessory
44,3412,Core
5,12703050,Accessory
46,27232976,Accessory
33,4340,Core
26,3480,Core
4,1034718,Core
43,27339257,Accessory
14,4559,Core
25,19597270,Accessory
22,23459601,Accessory
21,3812,Core
34,3301,Core
10,9421,Core
11,16149216,Accessory
28,15961,Core
15,27742,Core
9,11327255,Accessory
23,3937,Core
8,32073,Core
16,4943,Core
18,18297147,Accessory
