x,y,Category
4,5936411,Unique
28,3264,Core
24,9729447,Accessory
6,30847,Core
32,3039,Core
9,7837354,Unique
5,3846217,Accessory
12,31990,Core
32,8838983,Unique
5,7940182,Unique
2,3082241,Core
13,658562,Core
38,10981965,Unique
21,4872,Core
45,18220637,Accessory
44,8442170,Unique
13,6556007,Accessory
17,9499786,Unique
15,9111551,Unique
34,14775477,Accessory
8,31505,Core
36,17606094,Accessory
32,7191926,Unique
14,5826419,Unique
39,15449277,Accessory
23,10797987,Unique
17,8888892,Unique
4,10828014,Unique
40,18212632,Accessory
15,9816462,Accessory
14,9666561,Unique
39,16079563,Accessory
16,7771655,Unique
44,9577002,Unique
37,14809297,Accessory
11,672563,Core
21,5049,Core
41,9353279,Unique
14,5160,Core
29,3221,Core
36,9787884,Unique
9,7357,Core
8,38210,Core
38,3472,Core
25,12287181,Accessory
19,4752,Core
16,12662733,Unique
33,4178,Core
24,13575738,Accessory
36,15258941,Accessory
3,74790,Core
36,12424546,Unique
21,12491849,Accessory
5,1535541,Core
32,15019585,Accessory
4,3028759,Unique
25,12715247,Accessory
29,13797079,Accessory
15,4494,Core
37,11699849,Unique
33,8159312,Unique
31,6821403,Unique
9,8251186,Unique
20,5351,Core
20,7879414,Unique
47,18775239,Accessory
41,10232875,Unique
19,28679,Core
9,844983,Core
21,19300,Core
27,13687570,Accessory
24,9305409,Unique
5,3789303,Accessory
41,15477549,Accessory
5,57408,Core
17,3534,Core
8,788061,Core
38,3034,Core
10,11742441,Unique
44,18501679,Accessory
34,7150433,Unique
27,9562870,Unique
43,8982676,Unique
29,11396993,Unique
3,1400928,Accessory
30,12526412,Accessory
47,10953084,Unique
8,7926016,Accessory
22,11945231,Accessory
44,3412,Core
43,16589988,Accessory
43,8408796,Unique
34,15217815,Accessory
15,4210225,Unique
6,4193300,Accessory
26,3480,Core
4,1034718,Core
21,3812,Core
27,7066466,Unique
10,9421,Core
28,15961,Core
15,27742,Core
8,32073,Core
16,4943,Core
42,3498,Core
43,2840,Core
30,9929832,Unique
28,14508963,Accessory
3,10219729,Unique
9,5584587,Accessory
42,17272382,Accessory
32,11303637,Accessory
36,17313983,Accessory
4,1706054,Accessory
19,12523406,Unique
13,8469030,Unique
40,3517,Core
12,9578174,Unique
47,9553654,Unique
42,16100723,Accessory
36,16278939,Accessory
12,7704946,Accessory
43,3017,Core
2,3733839,Unique
6,8479,Core
20,6764578,Unique
18,7593336,Accessory
20,10710172,Unique
40,18132468,Accessory
26,3171,Core
5,8706,Core
37,16754321,Accessory
47,2911,Core
36,9443676,Unique
4,1980091,Core
19,8842247,Accessory
41,11888323,Unique
3,1480216,Accessory
25,6950699,Unique
29,10471504,Unique
27,12507328,Unique
15,50623,Core
24,8605738,Accessory
9,9558895,Unique
47,10385888,Unique
24,4365,Core
20,12349085,Unique
9,4978858,Accessory
40,9695358,Unique
38,16481199,Accessory
44,17742683,Accessory
6,9449569,Unique
43,2955,Core
12,6509869,Accessory
40,9939986,Unique
21,14005852,Accessory
14,7851624,Accessory
31,14094716,Accessory
37,15091437,Accessory
13,18624,Core
37,10719669,Unique
18,10259359,Unique
24,9897613,Accessory
23,11955624,Unique
30,2945,Core
2,88177,Core
40,15678054,Accessory
16,7807635,Accessory
48,2803,Core
31,10840621,Unique
33,3193,Core
12,6818607,Accessory
6,8630514,Unique
11,10381325,Unique
38,2968,Core
44,2912,Core
5,1915232,Core
40,9918090,Unique
8,7472,Core
26,11046665,Unique
23,4714,Core
39,15317,Core
8,4840803,Unique
25,10436636,Unique
45,9897878,Unique
40,2837,Core
8,5220128,Accessory
45,2811,Core
6,38911,Core
9,9031825,Unique
3,1066641,Accessory
30,13610114,Accessory
26,3347,Core
23,9125298,Unique
31,14712152,Accessory
34,13447915,Unique
45,3117,Core
44,2854,Core
4,3327985,Accessory
15,9801186,Unique
41,11674194,Unique
19,3077,Core
46,2818,Core
40,8392644,Unique
48,18875749,Accessory
30,3316,Core
20,7156715,Unique
2,4968514,Unique
40,16435765,Accessory
5,10497506,Unique
40,17408742,Accessory
46,3386,Core
14,10399637,Accessory
48,10093319,Unique
20,31412,Core
23,4656,Core
47,9911211,Unique
28,9119169,Unique
42,16637124,Accessory
33,15103392,Accessory
3,2499392,Unique
20,3576966,Unique
25,11887887,Unique
11,8820,Core
8,4502551,Accessory
37,16272583,Accessory
22,10378569,Accessory
17,11172773,Accessory
21,5959307,Unique
3,1993336,Core
45,17969802,Accessory
45,10333607,Unique
4,4005961,Unique
49,18989825,Accessory
42,9622941,Unique
20,3848,Core
18,3922,Core
16,30390,Core
24,5199819,Unique
47,10637869,Unique
7,4322041,Accessory
3,1890464,Core
34,16030694,Accessory
41,2855,Core
44,9374406,Unique
10,8594643,Unique
25,11282173,Unique
13,9550796,Unique
21,4987,Core
2,2238742,Core
26,4282,Core
26,8627506,Unique
38,8401617,Unique
3,5629715,Unique
41,2923,Core
39,4105,Core
48,9926600,Unique
44,12494236,Unique
28,4188,Core
4,1828843,Core
35,4350,Core
26,13029695,Accessory
35,14727735,Accessory
17,4992949,Unique
15,20362,Core
11,5870801,Accessory
5,4137519,Accessory
23,18217,Core
22,5387861,Unique
29,12964123,Unique
30,13951570,Unique
7,5459118,Unique
33,11121487,Unique
44,17561248,Accessory
27,15837856,Accessory
2,1754461,Unique
47,9586578,Unique
5,6952613,Accessory
11,7024837,Unique
11,29900,Core
31,4330,Core
19,12144613,Unique
40,2898,Core
28,3257,Core
19,10473235,Unique
32,4171,Core
8,58586,Core
18,8663626,Accessory
18,4490,Core
17,5425698,Unique
28,13831528,Accessory
42,18256395,Accessory
41,16217836,Accessory
28,17640,Core
32,3172,Core
39,17073224,Accessory
31,3208,Core
45,2875,Core
22,5405414,Unique
48,10077530,Unique
40,2966,Core
27,3243,Core
19,9175028,Unique
46,9468945,Unique
43,17062455,Accessory
16,654907,Core
25,3017,Core
45,9597428,Unique
34,16810805,Accessory
39,3177,Core
5,4348339,Accessory
45,18461735,Accessory
37,16002925,Accessory
29,13464993,Accessory
18,7512155,Accessory
29,3842,Core
44,9985396,Unique
14,11337054,Unique
47,9943978,Unique
20,10162689,Accessory
6,4087822,Unique
28,3322,Core
37,3081,Core
