x,y,Category
16,11413,Accessory
45,14293,Accessory
32,13937,Accessory
3,687,Core
30,13593,Accessory
41,14160,Accessory
4,6195,Accessory
3,1549,Accessory
15,11893,Accessory
20,11455,Accessory
23,13189,Accessory
9,441,Core
35,13246,Accessory
6,6538,Accessory
12,446,Core
17,8544,Accessory
42,14741,Accessory
45,14841,Accessory
5,640,Core
27,419,Core
12,11550,Accessory
22,9226,Accessory
43,420,Core
30,13879,Accessory
32,13651,Accessory
38,14142,Accessory
25,12956,Accessory
36,14075,Accessory
2,3135,Core
9,563,Core
9,6924,Accessory
34,13483,Accessory
36,13784,Accessory
28,12256,Accessory
19,2552,Core
2,1004,Accessory
33,13718,Accessory
39,418,Core
12,11279,Accessory
4,1322,Accessory
28,13904,Accessory
16,11665,Accessory
12,11818,Accessory
25,12208,Accessory
24,13205,Accessory
33,13179,Accessory
45,14814,Accessory
9,8254,Accessory
44,416,Core
48,14914,Accessory
11,10660,Accessory
41,14394,Accessory
20,590,Core
5,575,Core
32,13164,Accessory
27,9677,Accessory
13,7869,Accessory
29,12819,Accessory
34,459,Core
34,13492,Accessory
28,12499,Accessory
33,13414,Accessory
24,9839,Accessory
32,13964,Accessory
12,8327,Accessory
14,578,Core
34,14000,Accessory
11,9907,Accessory
23,10759,Accessory
32,417,Core
46,14847,Accessory
35,14346,Accessory
29,13624,Accessory
36,437,Core
28,12292,Accessory
29,13085,Accessory
41,435,Core
19,12631,Accessory
31,453,Core
45,430,Core
5,6723,Accessory
37,451,Core
24,535,Core
12,10997,Accessory
13,539,Core
48,14923,Accessory
15,10018,Accessory
28,433,Core
12,9132,Accessory
16,2560,Core
18,12248,Accessory
42,14750,Accessory
29,12785,Accessory
33,431,Core
3,1576,Accessory
36,14066,Accessory
13,11887,Accessory
28,12265,Accessory
43,13726,Accessory
4,3009,Core
32,10195,Accessory
21,9751,Accessory
32,13389,Accessory
36,534,Core
45,14771,Accessory
9,10538,Accessory
25,452,Core
19,537,Core
18,11975,Accessory
21,432,Core
5,2821,Core
21,9149,Accessory
48,14418,Accessory
26,577,Core
3,2882,Core
4,5713,Accessory
11,450,Core
3,1594,Accessory
36,13863,Accessory
7,8015,Accessory
46,14795,Accessory
47,14707,Accessory
24,438,Core
6,604,Core
22,5193,Accessory
32,13207,Accessory
4,2993,Core
14,11407,Accessory
12,2672,Core
9,3590,Accessory
27,13645,Accessory
42,438,Core
18,9721,Accessory
39,14139,Accessory
4,6412,Accessory
29,558,Core
14,10733,Accessory
34,13395,Accessory
12,421,Core
18,9982,Accessory
17,9565,Accessory
22,11835,Accessory
21,10972,Accessory
27,10780,Accessory
10,8881,Accessory
