x,y,Category,Metric
4,-298.49,Core,Average
4,709.85,Accessory,Average
4,199.82,Unique,Average
5,-325.01,Core,Average
5,501.31,Accessory,Average
5,579.19,Unique,Average
6,-180.00,Core,Average
6,457.76,Accessory,Average
6,233.50,Unique,Average
7,-123.24,Core,Average
7,444.34,Accessory,Average
7,163.20,Unique,Average
8,-101.92,Core,Average
8,334.92,Accessory,Average
8,236.57,Unique,Average
9,-130.83,Core,Average
9,404.75,Accessory,Average
9,285.20,Unique,Average
10,-29.72,Core,Average
10,267.12,Accessory,Average
10,57.77,Unique,Average
11,-76.94,Core,Average
11,431.13,Accessory,Average
11,60.41,Unique,Average
12,-30.04,Core,Average
12,360.84,Accessory,Average
12,3.18,Unique,Average
13,-56.30,Core,Average
13,423.96,Accessory,Average
13,79.66,Unique,Average
14,-4.55,Core,Average
14,403.64,Accessory,Average
14,-176.68,Unique,Average
15,-26.20,Core,Average
15,252.10,Accessory,Average
15,13.73,Unique,Average
16,-4.38,Core,Average
16,260.50,Accessory,Average
16,-67.15,Unique,Average
17,-5.67,Core,Average
17,231.05,Accessory,Average
17,-11.86,Unique,Average
18,-4.02,Core,Average
18,231.08,Accessory,Average
18,-22.64,Unique,Average
19,-23.69,Core,Average
19,165.59,Accessory,Average
19,46.84,Unique,Average
20,-26.08,Core,Average
20,239.04,Accessory,Average
20,41.23,Unique,Average
21,-4.52,Core,Average
21,226.54,Accessory,Average
21,-15.48,Unique,Average
22,-3.81,Core,Average
22,160.90,Accessory,Average
22,19.70,Unique,Average
23,-5.78,Core,Average
23,203.43,Accessory,Average
23,12.18,Unique,Average
24,-24.50,Core,Average
24,236.12,Accessory,Average
24,-13.91,Unique,Average
25,-2.42,Core,Average
25,182.58,Accessory,Average
25,-8.48,Unique,Average
26,-2.79,Core,Average
26,208.10,Accessory,Average
26,-61.24,Unique,Average
27,-0.76,Core,Average
27,192.21,Accessory,Average
27,-98.89,Unique,Average
28,-5.02,Core,Average
28,149.56,Accessory,Average
28,32.85,Unique,Average
29,-1.95,Core,Average
29,185.48,Accessory,Average
29,-48.79,Unique,Average
30,-0.90,Core,Average
30,136.46,Accessory,Average
30,-37.61,Unique,Average
31,-3.33,Core,Average
31,114.18,Accessory,Average
31,19.95,Unique,Average
32,-0.61,Core,Average
32,151.91,Accessory,Average
32,-51.91,Unique,Average
33,-0.51,Core,Average
33,150.64,Accessory,Average
33,-80.89,Unique,Average
34,-1.40,Core,Average
34,157.89,Accessory,Average
34,-45.03,Unique,Average
35,-2.17,Core,Average
35,169.30,Accessory,Average
35,-52.55,Unique,Average
36,-1.75,Core,Average
36,138.25,Accessory,Average
36,-26.53,Unique,Average
37,-0.81,Core,Average
37,125.08,Accessory,Average
37,-42.44,Unique,Average
38,-2.11,Core,Average
38,127.99,Accessory,Average
38,-21.81,Unique,Average
39,-0.48,Core,Average
39,136.28,Accessory,Average
39,-53.61,Unique,Average
40,-1.32,Core,Average
40,126.63,Accessory,Average
40,-25.63,Unique,Average
41,-0.62,Core,Average
41,105.36,Accessory,Average
41,-32.88,Unique,Average
42,-1.19,Core,Average
42,90.90,Accessory,Average
42,-9.17,Unique,Average
43,-1.86,Core,Average
43,112.71,Accessory,Average
43,-17.17,Unique,Average
44,-0.83,Core,Average
44,159.54,Accessory,Average
44,-55.51,Unique,Average
45,-0.42,Core,Average
45,98.80,Accessory,Average
45,-24.42,Unique,Average
46,-1.73,Core,Average
46,106.80,Accessory,Average
46,-25.01,Unique,Average
47,-0.61,Core,Average
47,85.48,Accessory,Average
47,-19.40,Unique,Average
48,-0.62,Core,Average
48,78.87,Accessory,Average
48,4.13,Unique,Average
49,-1.45,Core,Average
49,73.52,Accessory,Average
49,-19.01,Unique,Average
50,-0.55,Core,Average
50,55.36,Accessory,Average
50,-6.90,Unique,Average
