x,y,Category,Metric
4,-298.49,Core,Average
4,909.67,Accessory,Average
5,-325.01,Core,Average
5,1080.50,Accessory,Average
6,-180.00,Core,Average
6,691.26,Accessory,Average
7,-123.24,Core,Average
7,607.54,Accessory,Average
8,-101.92,Core,Average
8,571.49,Accessory,Average
9,-130.83,Core,Average
9,689.95,Accessory,Average
10,-29.72,Core,Average
10,324.89,Accessory,Average
11,-76.94,Core,Average
11,491.54,Accessory,Average
12,-30.04,Core,Average
12,364.02,Accessory,Average
13,-56.30,Core,Average
13,503.62,Accessory,Average
14,-4.55,Core,Average
14,226.96,Accessory,Average
15,-26.20,Core,Average
15,265.83,Accessory,Average
16,-4.38,Core,Average
16,193.35,Accessory,Average
17,-5.67,Core,Average
17,219.19,Accessory,Average
18,-4.02,Core,Average
18,208.44,Accessory,Average
19,-23.69,Core,Average
19,212.43,Accessory,Average
20,-26.08,Core,Average
20,280.27,Accessory,Average
21,-4.52,Core,Average
21,211.06,Accessory,Average
22,-3.81,Core,Average
22,180.60,Accessory,Average
23,-5.78,Core,Average
23,215.61,Accessory,Average
24,-24.50,Core,Average
24,222.21,Accessory,Average
25,-2.42,Core,Average
25,174.10,Accessory,Average
26,-2.79,Core,Average
26,146.86,Accessory,Average
27,-0.76,Core,Average
27,93.32,Accessory,Average
28,-5.02,Core,Average
28,182.41,Accessory,Average
29,-1.95,Core,Average
29,136.69,Accessory,Average
30,-0.90,Core,Average
30,98.85,Accessory,Average
31,-3.33,Core,Average
31,134.13,Accessory,Average
32,-0.61,Core,Average
32,100.00,Accessory,Average
33,-0.51,Core,Average
33,69.75,Accessory,Average
34,-1.40,Core,Average
34,112.86,Accessory,Average
35,-2.17,Core,Average
35,116.75,Accessory,Average
36,-1.75,Core,Average
36,111.72,Accessory,Average
37,-0.81,Core,Average
37,82.64,Accessory,Average
38,-2.11,Core,Average
38,106.18,Accessory,Average
39,-0.48,Core,Average
39,82.67,Accessory,Average
40,-1.32,Core,Average
40,101.00,Accessory,Average
41,-0.62,Core,Average
41,72.48,Accessory,Average
42,-1.19,Core,Average
42,81.73,Accessory,Average
43,-1.86,Core,Average
43,95.54,Accessory,Average
44,-0.83,Core,Average
44,104.03,Accessory,Average
45,-0.42,Core,Average
45,74.38,Accessory,Average
46,-1.73,Core,Average
46,81.79,Accessory,Average
47,-0.61,Core,Average
47,66.08,Accessory,Average
48,-0.62,Core,Average
48,83.00,Accessory,Average
49,-1.45,Core,Average
49,54.51,Accessory,Average
50,-0.55,Core,Average
50,48.46,Accessory,Average
