x,y,Category,Metric
4,-14.00,Core,Median
4,301.00,Accessory,Median
4,55.00,Unique,Median
5,-6.00,Core,Median
5,220.00,Accessory,Median
5,191.00,Unique,Median
6,-2.00,Core,Median
6,185.00,Accessory,Median
6,85.00,Unique,Median
7,-2.00,Core,Median
7,163.00,Accessory,Median
7,98.00,Unique,Median
8,-1.00,Core,Median
8,152.00,Accessory,Median
8,69.00,Unique,Median
9,-1.00,Core,Median
9,148.00,Accessory,Median
9,52.00,Unique,Median
10,0.00,Core,Median
10,119.00,Accessory,Median
10,30.00,Unique,Median
11,0.00,Core,Median
11,150.00,Accessory,Median
11,27.00,Unique,Median
12,0.00,Core,Median
12,140.00,Accessory,Median
12,16.00,Unique,Median
13,0.00,Core,Median
13,135.00,Accessory,Median
13,14.00,Unique,Median
14,0.00,Core,Median
14,124.00,Accessory,Median
14,-5.00,Unique,Median
15,0.00,Core,Median
15,116.00,Accessory,Median
15,16.00,Unique,Median
16,0.00,Core,Median
16,100.00,Accessory,Median
16,10.00,Unique,Median
17,0.00,Core,Median
17,110.00,Accessory,Median
17,0.00,Unique,Median
18,0.00,Core,Median
18,115.00,Accessory,Median
18,3.00,Unique,Median
19,0.00,Core,Median
19,83.00,Accessory,Median
19,-4.00,Unique,Median
20,0.00,Core,Median
20,93.00,Accessory,Median
20,2.00,Unique,Median
21,0.00,Core,Median
21,92.00,Accessory,Median
21,4.00,Unique,Median
22,0.00,Core,Median
22,93.00,Accessory,Median
22,14.00,Unique,Median
23,0.00,Core,Median
23,89.00,Accessory,Median
23,7.00,Unique,Median
24,0.00,Core,Median
24,81.00,Accessory,Median
24,8.00,Unique,Median
25,0.00,Core,Median
25,88.00,Accessory,Median
25,-2.00,Unique,Median
26,0.00,Core,Median
26,91.00,Accessory,Median
26,-9.00,Unique,Median
27,0.00,Core,Median
27,71.00,Accessory,Median
27,-9.00,Unique,Median
28,0.00,Core,Median
28,78.00,Accessory,Median
28,0.00,Unique,Median
29,0.00,Core,Median
29,81.00,Accessory,Median
29,-16.00,Unique,Median
30,0.00,Core,Median
30,56.00,Accessory,Median
30,-2.00,Unique,Median
31,0.00,Core,Median
31,61.00,Accessory,Median
31,0.00,Unique,Median
32,0.00,Core,Median
32,61.00,Accessory,Median
32,-2.00,Unique,Median
33,0.00,Core,Median
33,57.00,Accessory,Median
33,-16.00,Unique,Median
34,0.00,Core,Median
34,57.00,Accessory,Median
34,0.00,Unique,Median
35,0.00,Core,Median
35,62.00,Accessory,Median
35,0.00,Unique,Median
36,0.00,Core,Median
36,58.00,Accessory,Median
36,-6.00,Unique,Median
37,0.00,Core,Median
37,62.00,Accessory,Median
37,-10.00,Unique,Median
38,0.00,Core,Median
38,51.00,Accessory,Median
38,-2.00,Unique,Median
39,0.00,Core,Median
39,47.00,Accessory,Median
39,-4.00,Unique,Median
40,0.00,Core,Median
40,56.00,Accessory,Median
40,-6.00,Unique,Median
41,0.00,Core,Median
41,47.00,Accessory,Median
41,-7.00,Unique,Median
42,0.00,Core,Median
42,48.00,Accessory,Median
42,1.00,Unique,Median
43,0.00,Core,Median
43,51.00,Accessory,Median
43,-4.00,Unique,Median
44,0.00,Core,Median
44,59.00,Accessory,Median
44,-14.00,Unique,Median
45,0.00,Core,Median
45,44.00,Accessory,Median
45,-1.00,Unique,Median
46,0.00,Core,Median
46,53.00,Accessory,Median
46,-5.00,Unique,Median
47,0.00,Core,Median
47,38.00,Accessory,Median
47,-4.00,Unique,Median
48,0.00,Core,Median
48,45.00,Accessory,Median
48,-3.00,Unique,Median
49,0.00,Core,Median
49,36.00,Accessory,Median
49,-4.00,Unique,Median
50,0.00,Core,Median
50,35.00,Accessory,Median
50,-4.00,Unique,Median
