x,y,Category,Metric
4,-14.00,Core,Median
4,389.00,Accessory,Median
5,-6.00,Core,Median
5,432.00,Accessory,Median
6,-2.00,Core,Median
6,269.00,Accessory,Median
7,-2.00,Core,Median
7,326.00,Accessory,Median
8,-1.00,Core,Median
8,275.00,Accessory,Median
9,-1.00,Core,Median
9,213.00,Accessory,Median
10,0.00,Core,Median
10,179.00,Accessory,Median
11,0.00,Core,Median
11,188.00,Accessory,Median
12,0.00,Core,Median
12,197.00,Accessory,Median
13,0.00,Core,Median
13,197.00,Accessory,Median
14,0.00,Core,Median
14,142.00,Accessory,Median
15,0.00,Core,Median
15,128.00,Accessory,Median
16,0.00,Core,Median
16,116.00,Accessory,Median
17,0.00,Core,Median
17,110.00,Accessory,Median
18,0.00,Core,Median
18,118.00,Accessory,Median
19,0.00,Core,Median
19,86.00,Accessory,Median
20,0.00,Core,Median
20,105.00,Accessory,Median
21,0.00,Core,Median
21,88.00,Accessory,Median
22,0.00,Core,Median
22,87.00,Accessory,Median
23,0.00,Core,Median
23,92.00,Accessory,Median
24,0.00,Core,Median
24,95.00,Accessory,Median
25,0.00,Core,Median
25,92.00,Accessory,Median
26,0.00,Core,Median
26,78.00,Accessory,Median
27,0.00,Core,Median
27,51.00,Accessory,Median
28,0.00,Core,Median
28,63.00,Accessory,Median
29,0.00,Core,Median
29,67.00,Accessory,Median
30,0.00,Core,Median
30,45.00,Accessory,Median
31,0.00,Core,Median
31,62.00,Accessory,Median
32,0.00,Core,Median
32,60.00,Accessory,Median
33,0.00,Core,Median
33,35.00,Accessory,Median
34,0.00,Core,Median
34,57.00,Accessory,Median
35,0.00,Core,Median
35,53.00,Accessory,Median
36,0.00,Core,Median
36,50.00,Accessory,Median
37,0.00,Core,Median
37,38.00,Accessory,Median
38,0.00,Core,Median
38,48.00,Accessory,Median
39,0.00,Core,Median
39,36.00,Accessory,Median
40,0.00,Core,Median
40,33.00,Accessory,Median
41,0.00,Core,Median
41,34.00,Accessory,Median
42,0.00,Core,Median
42,47.00,Accessory,Median
43,0.00,Core,Median
43,44.00,Accessory,Median
44,0.00,Core,Median
44,34.00,Accessory,Median
45,0.00,Core,Median
45,32.00,Accessory,Median
46,0.00,Core,Median
46,38.00,Accessory,Median
47,0.00,Core,Median
47,33.00,Accessory,Median
48,0.00,Core,Median
48,40.00,Accessory,Median
49,0.00,Core,Median
49,9.00,Accessory,Median
50,0.00,Core,Median
50,24.00,Accessory,Median
