x,y,Category
7,1661,Core
11,768,Accessory
7,773,Accessory
5,1778,Core
6,755,Accessory
10,1616,Core
12,1612,Core
6,1663,Core
8,591,Accessory
4,494,Accessory
6,555,Accessory
2,381,Accessory
4,442,Accessory
5,1665,Core
11,1614,Core
3,224,Accessory
4,1651,Core
5,737,Accessory
5,1834,Core
4,642,Accessory
4,519,Accessory
7,521,Accessory
6,1832,Core
4,319,Accessory
9,1639,Core
4,433,Accessory
7,721,Accessory
10,1650,Core
7,512,Accessory
7,582,Accessory
4,633,Accessory
11,777,Accessory
4,1667,Core
6,503,Accessory
6,364,Accessory
2,467,Accessory
6,1679,Core
6,564,Accessory
3,476,Accessory
4,485,Accessory
6,764,Accessory
4,651,Accessory
10,603,Accessory
8,625,Accessory
10,1691,Core
3,433,Accessory
4,685,Accessory
2,215,Accessory
6,1726,Core
3,467,Accessory
5,1728,Core
7,607,Accessory
8,686,Accessory
5,651,Accessory
10,1657,Core
7,755,Accessory
5,598,Accessory
9,625,Accessory
7,468,Accessory
7,1668,Core
5,251,Accessory
7,668,Accessory
9,686,Accessory
8,1666,Core
5,519,Accessory
6,598,Accessory
8,607,Accessory
8,1625,Core
9,1623,Core
3,320,Accessory
6,737,Accessory
6,1785,Core
3,1700,Core
10,716,Accessory
9,600,Accessory
6,528,Accessory
6,728,Accessory
5,503,Accessory
8,695,Accessory
8,1803,Core
6,459,Accessory
6,659,Accessory
2,154,Accessory
6,589,Accessory
5,564,Accessory
9,661,Accessory
4,1658,Core
6,1654,Core
3,1831,Core
9,607,Accessory
6,660,Accessory
10,768,Accessory
5,555,Accessory
8,1650,Core
3,328,Accessory
5,1712,Core
8,1616,Core
4,424,Accessory
10,707,Accessory
10,777,Accessory
3,319,Accessory
5,494,Accessory
7,1620,Core
7,1724,Core
8,1706,Core
3,1847,Core
8,295,Accessory
5,433,Accessory
4,285,Accessory
6,591,Accessory
4,328,Accessory
7,703,Accessory
7,460,Accessory
3,1734,Core
4,658,Accessory
5,1859,Core
3,390,Accessory
4,355,Accessory
7,530,Accessory
7,503,Accessory
6,391,Accessory
7,764,Accessory
4,555,Accessory
7,564,Accessory
5,1730,Core
8,503,Accessory
6,494,Accessory
4,1755,Core
2,6,Accessory
5,1737,Core
6,294,Accessory
3,1694,Core
6,460,Accessory
9,695,Accessory
4,390,Accessory
3,1838,Core
3,458,Accessory
2,1856,Core
5,328,Accessory
7,591,Accessory
6,694,Accessory
8,703,Accessory
9,729,Accessory
5,1690,Core
8,729,Accessory
3,1725,Core
8,764,Accessory
2,224,Accessory
4,458,Accessory
4,1676,Core
8,600,Accessory
5,1721,Core
6,1672,Core
7,1846,Core
8,661,Accessory
6,685,Accessory
6,1701,Core
8,1643,Core
9,764,Accessory
8,538,Accessory
3,1798,Core
4,1804,Core
2,188,Accessory
5,667,Accessory
5,582,Accessory
7,643,Accessory
5,390,Accessory
3,554,Accessory
7,528,Accessory
8,746,Accessory
10,743,Accessory
9,1655,Core
4,512,Accessory
5,730,Accessory
6,433,Accessory
7,295,Accessory
3,1707,Core
11,760,Accessory
6,686,Accessory
10,542,Accessory
5,668,Accessory
5,1697,Core
6,1681,Core
5,191,Accessory
7,695,Accessory
5,1649,Core
8,747,Accessory
5,581,Accessory
5,1802,Core
6,477,Accessory
8,1691,Core
3,154,Accessory
4,511,Accessory
5,459,Accessory
4,372,Accessory
11,629,Accessory
2,56,Accessory
7,660,Accessory
3,563,Accessory
4,321,Accessory
6,668,Accessory
5,616,Accessory
7,686,Accessory
10,629,Accessory
2,460,Accessory
5,1631,Core
3,189,Accessory
4,1699,Core
6,642,Accessory
6,695,Accessory
5,477,Accessory
5,424,Accessory
6,719,Accessory
3,451,Accessory
5,321,Accessory
4,267,Accessory
7,642,Accessory
3,564,Accessory
7,1643,Core
2,346,Accessory
2,189,Accessory
9,538,Accessory
10,698,Accessory
4,667,Accessory
9,1648,Core
8,1698,Core
4,554,Accessory
8,670,Accessory
9,1696,Core
9,512,Accessory
6,582,Accessory
3,536,Accessory
5,1719,Core
6,434,Accessory
6,295,Accessory
10,1625,Core
2,318,Accessory
2,179,Accessory
9,773,Accessory
2,1770,Core
3,397,Accessory
4,564,Accessory
6,721,Accessory
3,512,Accessory
8,512,Accessory
5,1656,Core
6,1638,Core
4,615,Accessory
7,616,Accessory
5,1809,Core
4,668,Accessory
7,670,Accessory
6,581,Accessory
4,476,Accessory
5,511,Accessory
4,1674,Core
8,773,Accessory
3,1815,Core
7,685,Accessory
12,629,Accessory
8,643,Accessory
5,372,Accessory
3,1863,Core
5,449,Accessory
11,786,Accessory
3,1732,Core
6,1636,Core
3,1888,Core
7,747,Accessory
7,615,Accessory
7,476,Accessory
4,1714,Core
4,537,Accessory
5,1744,Core
8,1648,Core
3,1775,Core
5,642,Accessory
4,1757,Core
3,373,Accessory
4,1787,Core
9,746,Accessory
10,761,Accessory
5,1714,Core
10,786,Accessory
5,720,Accessory
8,774,Accessory
2,345,Accessory
10,760,Accessory
8,582,Accessory
4,28,Accessory
5,1875,Core
5,243,Accessory
9,1691,Core
6,476,Accessory
6,615,Accessory
6,449,Accessory
5,643,Accessory
4,1802,Core
3,1757,Core
13,787,Accessory
6,512,Accessory
9,774,Accessory
3,1750,Core
3,537,Accessory
8,1668,Core
4,1739,Core
10,759,Accessory
5,1674,Core
6,373,Accessory
9,582,Accessory
6,746,Accessory
7,1726,Core
5,1699,Core
6,1744,Core
8,616,Accessory
6,1631,Core
5,476,Accessory
6,643,Accessory
9,616,Accessory
4,242,Accessory
11,759,Accessory
7,746,Accessory
7,581,Accessory
4,1692,Core
5,512,Accessory
6,1656,Core
10,628,Accessory
7,1701,Core
4,1721,Core
5,652,Accessory
2,7,Accessory
6,702,Accessory
6,1846,Core
4,434,Accessory
6,670,Accessory
8,608,Accessory
4,634,Accessory
7,258,Accessory
7,713,Accessory
8,1673,Core
10,1659,Core
5,1832,Core
6,599,Accessory
9,678,Accessory
6,1778,Core
