x,y,Category,Metric
4,-38.74,Core,Average
4,83.34,Accessory,Average
5,-31.85,Core,Average
5,71.09,Accessory,Average
6,-22.41,Core,Average
6,50.90,Accessory,Average
7,-18.10,Core,Average
7,43.84,Accessory,Average
8,-15.19,Core,Average
8,39.77,Accessory,Average
9,-11.12,Core,Average
9,31.70,Accessory,Average
10,-9.09,Core,Average
10,26.51,Accessory,Average
11,-9.05,Core,Average
11,28.16,Accessory,Average
12,-6.53,Core,Average
12,22.02,Accessory,Average
13,-6.78,Core,Average
13,23.54,Accessory,Average
