x,y,Category
31,2163073,Accessory
33,2297693,Accessory
18,1146009,Core
4,1041040,Accessory
10,1464863,Accessory
23,986523,Core
12,1476311,Accessory
25,1110045,Core
18,1117961,Core
28,2142345,Accessory
22,1041332,Core
18,1806018,Accessory
8,1471545,Accessory
27,1034295,Core
31,2065996,Accessory
5,338473,Accessory
16,1075129,Core
40,2187931,Accessory
46,2436958,Accessory
52,2410836,Accessory
33,993859,Core
20,376887,Accessory
12,1257753,Core
31,986716,Core
18,1164911,Core
48,926016,Core
32,2042228,Accessory
18,1238362,Accessory
19,1161224,Core
20,1861467,Accessory
44,936475,Core
41,972716,Core
50,2284715,Accessory
8,1451118,Accessory
13,2059975,Accessory
27,2005817,Accessory
34,1016793,Core
17,1074863,Core
51,955012,Core
2,996875,Accessory
30,1017861,Core
21,1104991,Core
52,923904,Core
47,924165,Core
36,2074516,Accessory
49,2457744,Accessory
52,923688,Core
3,1061055,Accessory
2,53458,Accessory
24,1014728,Core
42,983707,Core
11,1230021,Core
48,2121592,Accessory
53,2410743,Accessory
46,2323165,Accessory
17,1051844,Core
24,1803048,Accessory
38,935608,Core
6,382525,Accessory
42,2141187,Accessory
37,926332,Core
32,1915590,Accessory
37,951172,Core
17,2006648,Accessory
5,1045581,Accessory
52,937226,Core
50,2202080,Accessory
7,1089619,Accessory
20,1665984,Accessory
18,1548729,Accessory
52,923631,Core
8,1091050,Accessory
15,1538191,Core
47,927569,Core
45,973478,Core
40,977714,Core
52,2255732,Accessory
12,1216464,Core
51,2338966,Accessory
21,1591737,Accessory
42,2227288,Accessory
48,938043,Core
41,924562,Core
13,1084852,Core
33,954188,Core
25,1059254,Core
52,923929,Core
55,2436000,Accessory
39,1083592,Core
39,2320795,Accessory
14,1179803,Accessory
38,2058528,Accessory
16,1631049,Accessory
31,997934,Core
36,1811514,Accessory
13,1115520,Core
33,1025092,Core
13,1118683,Core
8,1092697,Accessory
14,1696964,Accessory
50,2459757,Accessory
42,1049995,Core
49,2448078,Accessory
37,989612,Core
49,923663,Core
28,1022276,Core
7,1277031,Core
6,1147915,Core
5,1264308,Core
43,2322311,Accessory
41,966714,Core
41,2450462,Accessory
2,1703630,Core
16,1515173,Accessory
23,1871510,Accessory
11,397697,Accessory
16,1913983,Accessory
7,1135468,Core
39,2261079,Accessory
46,2286182,Accessory
2,1607175,Core
22,2114601,Accessory
5,1290546,Core
4,1261682,Core
6,1612982,Core
21,1801434,Accessory
4,1169721,Core
54,936943,Core
45,2385459,Accessory
39,953848,Core
52,923390,Core
14,1070439,Core
9,1138461,Core
18,1128137,Accessory
39,2443432,Accessory
48,2457524,Accessory
33,1834860,Accessory
29,991879,Core
12,1869481,Accessory
32,2032055,Accessory
3,282350,Accessory
15,1044995,Core
40,943182,Core
21,1031012,Core
37,929517,Core
31,1035485,Core
6,1277669,Core
3,1758055,Core
34,1037821,Core
10,1563274,Accessory
34,1013468,Core
5,1580808,Core
54,923525,Core
20,1123843,Core
45,924860,Core
33,2060657,Accessory
23,1191079,Accessory
16,1068537,Core
50,2458745,Accessory
18,1131759,Core
36,993271,Core
43,927278,Core
11,1801400,Accessory
13,1229718,Core
31,991819,Core
18,1778056,Accessory
17,1139305,Accessory
21,980701,Core
2,1328681,Core
24,1931387,Accessory
8,1575905,Core
11,1129300,Core
23,1083768,Core
55,2458913,Accessory
33,1007864,Core
51,923671,Core
29,1708648,Accessory
42,2386431,Accessory
8,1224161,Core
15,1252220,Core
49,2433413,Accessory
41,984186,Core
44,964475,Core
2,1604102,Core
11,1236498,Core
48,2406206,Accessory
33,2413713,Accessory
12,1126081,Accessory
28,2193273,Accessory
14,1783435,Accessory
50,2407105,Accessory
48,939380,Core
17,1776107,Accessory
37,1040651,Core
17,1130238,Core
9,1415997,Accessory
12,1218890,Core
2,280367,Accessory
9,1090368,Accessory
21,1148998,Core
50,964336,Core
39,994368,Core
35,2032114,Accessory
19,1125701,Core
28,1066039,Core
15,1105116,Core
25,1029151,Core
