x,y,Category
25,1253082,Accessory
18,1146009,Core
35,1638458,Accessory
25,1110045,Core
16,1075129,Core
54,1794489,Accessory
15,771744,Unique
21,380506,Unique
6,538006,Accessory
45,1626327,Accessory
33,993859,Core
12,1257753,Core
41,1618562,Accessory
31,986716,Core
18,1164911,Core
33,647003,Unique
18,704973,Unique
19,1161224,Core
41,972716,Core
38,679442,Unique
9,925659,Accessory
23,389686,Unique
34,1016793,Core
38,778951,Unique
17,1074863,Core
12,595890,Unique
21,1104991,Core
47,924165,Core
50,1793460,Accessory
32,1608268,Accessory
22,605481,Unique
37,1405627,Accessory
52,923688,Core
13,636295,Unique
14,631225,Unique
50,596359,Unique
43,1682430,Accessory
5,541122,Unique
48,645603,Unique
20,1009612,Accessory
13,1002824,Accessory
3,399619,Accessory
11,1230021,Core
33,492648,Unique
11,1251804,Accessory
5,270642,Accessory
37,951172,Core
46,1660071,Accessory
52,937226,Core
37,1194580,Accessory
33,1385039,Accessory
43,736948,Unique
52,923631,Core
11,672974,Accessory
33,716036,Unique
13,588449,Unique
47,927569,Core
27,1204481,Accessory
43,533118,Unique
40,977714,Core
31,376495,Unique
14,387706,Unique
42,1540958,Accessory
48,938043,Core
32,1161033,Accessory
41,924562,Core
23,1015011,Accessory
37,1470425,Accessory
13,1084852,Core
52,923929,Core
39,1083592,Core
26,706696,Accessory
13,1115520,Core
14,1142929,Accessory
33,1025092,Core
13,1118683,Core
44,1541358,Accessory
41,619634,Unique
42,1049995,Core
4,572154,Unique
17,1413421,Accessory
37,989612,Core
49,923663,Core
6,1147915,Core
5,527531,Unique
5,1264308,Core
45,675836,Unique
7,1135468,Core
44,1533045,Accessory
18,976002,Accessory
28,227355,Unique
2,1607175,Core
15,957687,Accessory
5,1290546,Core
33,1297094,Accessory
4,1261682,Core
6,1612982,Core
21,1281352,Accessory
4,1169721,Core
52,923390,Core
47,647936,Unique
9,1138461,Core
9,550283,Accessory
29,991879,Core
9,572295,Unique
18,158466,Unique
25,1160602,Accessory
40,943182,Core
21,1031012,Core
37,929517,Core
3,1758055,Core
6,760570,Accessory
19,732648,Unique
5,459205,Accessory
9,427864,Unique
20,1123843,Core
45,924860,Core
16,1068537,Core
29,557586,Unique
36,993271,Core
43,927278,Core
14,562538,Unique
31,991819,Core
2,1328681,Core
8,1575905,Core
11,1129300,Core
20,746351,Unique
23,1083768,Core
33,1007864,Core
51,923671,Core
19,467010,Unique
8,1224161,Core
15,1252220,Core
3,159466,Unique
44,964475,Core
37,1530450,Accessory
42,684426,Unique
19,1280426,Accessory
14,518829,Unique
49,603028,Unique
37,1040651,Core
4,526922,Accessory
45,1584078,Accessory
50,964336,Core
28,1066039,Core
25,1029151,Core
22,1072614,Core
42,993261,Core
49,924156,Core
22,1357768,Accessory
24,1045773,Core
11,338395,Accessory
5,1551151,Core
52,933142,Core
53,1794783,Accessory
47,1604402,Accessory
31,805969,Unique
5,1279649,Core
39,870896,Unique
48,1664884,Accessory
52,923322,Core
56,922994,Core
41,994714,Core
47,1688707,Accessory
37,633922,Unique
26,1008250,Core
40,1196042,Accessory
38,1684684,Accessory
2,972483,Unique
13,1254314,Core
9,1239654,Core
21,1471686,Accessory
28,1529272,Accessory
49,924713,Core
25,1414464,Accessory
7,1271225,Core
46,437286,Unique
21,262385,Unique
34,1484272,Accessory
29,1423861,Accessory
13,656535,Accessory
38,969134,Core
24,578256,Unique
50,764506,Unique
10,602676,Unique
38,1450488,Accessory
44,1591743,Accessory
40,1583203,Accessory
16,1024555,Core
26,650275,Unique
35,533614,Unique
34,998180,Core
31,1283760,Accessory
10,1136717,Core
46,648548,Unique
38,943479,Core
38,721328,Unique
25,1116925,Core
24,1016881,Core
34,1182991,Accessory
7,327640,Accessory
14,532530,Unique
17,1178484,Accessory
32,1233559,Accessory
35,975401,Core
10,920125,Accessory
37,990617,Core
53,1721361,Accessory
51,699538,Unique
42,1575650,Accessory
38,739728,Unique
