x,y,Category
14,770,Accessory
2,458,Accessory
10,673,Accessory
50,1374,Core
38,1310,Accessory
15,1453,Core
34,1169,Accessory
16,683,Accessory
2,1711,Core
4,642,Accessory
42,1388,Core
13,1062,Accessory
18,1632,Core
8,1512,Core
35,1219,Accessory
25,1170,Accessory
37,1260,Accessory
18,1391,Core
41,1096,Accessory
11,916,Accessory
32,929,Accessory
47,1309,Accessory
46,1402,Core
24,820,Accessory
21,1021,Accessory
29,1040,Accessory
19,839,Accessory
22,879,Accessory
6,798,Accessory
47,1327,Accessory
26,1220,Accessory
38,1057,Accessory
22,1079,Accessory
46,1259,Accessory
18,1000,Accessory
3,68,Accessory
28,889,Accessory
32,947,Accessory
25,1152,Accessory
2,476,Accessory
22,897,Accessory
14,499,Accessory
19,857,Accessory
46,1277,Accessory
25,1467,Core
3,381,Accessory
30,1038,Accessory
20,966,Accessory
6,1541,Core
17,926,Accessory
38,1416,Core
4,1498,Core
26,1202,Accessory
32,1061,Accessory
46,1295,Accessory
14,1130,Accessory
30,1056,Accessory
38,975,Accessory
4,660,Accessory
13,847,Accessory
38,1075,Accessory
33,1453,Core
17,944,Accessory
20,948,Accessory
14,752,Accessory
26,751,Accessory
24,1388,Core
7,1620,Core
12,821,Accessory
9,391,Accessory
17,1424,Core
36,1192,Accessory
4,624,Accessory
6,591,Accessory
15,778,Accessory
42,1146,Accessory
29,1004,Accessory
36,1391,Core
13,1026,Accessory
41,1078,Accessory
29,1265,Accessory
4,389,Accessory
50,1366,Accessory
2,6,Accessory
32,1374,Core
13,1482,Core
34,1187,Accessory
37,1224,Accessory
8,703,Accessory
9,729,Accessory
40,1281,Accessory
8,964,Accessory
27,1035,Accessory
28,1402,Core
10,412,Accessory
49,1397,Core
35,1255,Accessory
11,438,Accessory
23,784,Accessory
16,900,Accessory
47,1363,Accessory
24,1066,Accessory
26,1431,Core
5,407,Accessory
53,1366,Core
18,813,Accessory
12,1461,Core
43,1410,Core
39,1143,Accessory
47,1102,Accessory
44,1133,Accessory
5,668,Accessory
19,1076,Accessory
7,834,Accessory
11,699,Accessory
19,893,Accessory
48,1376,Core
48,1282,Accessory
5,790,Accessory
27,1438,Core
38,1093,Accessory
49,1332,Accessory
20,1429,Core
19,1058,Accessory
11,970,Accessory
32,1025,Accessory
13,865,Accessory
29,943,Accessory
40,1245,Accessory
8,928,Accessory
