x,y,Category
30,422,Unique
14,770,Accessory
10,673,Accessory
11,396,Unique
50,1374,Core
4,202,Unique
26,733,Accessory
31,355,Unique
10,98,Unique
6,555,Accessory
9,291,Unique
15,1453,Core
22,636,Accessory
16,683,Accessory
32,288,Unique
2,1711,Core
48,190,Unique
42,1388,Core
11,168,Unique
34,350,Unique
2,503,Unique
6,296,Unique
10,235,Unique
18,1632,Core
8,1512,Core
40,93,Unique
13,44,Unique
3,436,Unique
5,363,Unique
18,1391,Core
23,370,Unique
41,267,Unique
46,1402,Core
13,230,Unique
12,586,Accessory
41,402,Unique
49,930,Accessory
20,723,Accessory
24,820,Accessory
45,833,Accessory
44,262,Unique
4,128,Accessory
22,376,Unique
16,422,Accessory
19,839,Accessory
20,147,Unique
43,268,Unique
22,879,Accessory
35,783,Accessory
50,246,Unique
33,282,Unique
2,596,Unique
45,851,Accessory
6,203,Unique
12,162,Unique
8,486,Accessory
33,870,Accessory
3,86,Accessory
24,210,Unique
45,330,Unique
22,148,Unique
7,136,Unique
3,134,Unique
20,705,Accessory
38,957,Accessory
11,303,Unique
35,283,Unique
18,84,Unique
25,1467,Core
6,537,Accessory
43,920,Accessory
14,163,Unique
32,423,Unique
16,392,Unique
4,295,Unique
8,468,Accessory
12,568,Accessory
38,939,Accessory
53,978,Accessory
6,1541,Core
24,567,Accessory
38,1416,Core
4,1498,Core
53,315,Unique
8,27,Unique
32,704,Accessory
37,284,Unique
49,912,Accessory
18,578,Accessory
40,408,Unique
15,231,Unique
20,741,Accessory
33,852,Accessory
34,878,Accessory
25,472,Accessory
33,1453,Core
5,209,Unique
15,517,Accessory
14,752,Accessory
47,331,Unique
26,751,Accessory
23,216,Unique
24,89,Unique
24,1388,Core
52,970,Accessory
15,45,Unique
41,193,Unique
7,1620,Core
9,391,Accessory
17,1424,Core
5,294,Accessory
12,236,Unique
39,880,Accessory
7,460,Accessory
15,778,Accessory
35,357,Unique
36,1391,Core
42,335,Unique
4,389,Accessory
16,647,Accessory
28,682,Accessory
29,551,Accessory
22,672,Accessory
26,715,Accessory
32,1374,Core
13,1482,Core
10,309,Unique
21,443,Unique
6,330,Accessory
27,372,Unique
4,369,Unique
4,25,Unique
9,729,Accessory
19,228,Unique
6,26,Unique
13,169,Unique
28,1402,Core
10,412,Accessory
49,1397,Core
51,240,Unique
30,799,Accessory
45,404,Unique
19,632,Accessory
44,946,Accessory
38,347,Unique
23,784,Accessory
17,227,Unique
4,164,Accessory
26,1431,Core
5,407,Accessory
25,217,Unique
53,1366,Core
18,813,Accessory
29,201,Unique
12,1461,Core
28,212,Unique
27,881,Accessory
37,414,Unique
43,1410,Core
46,859,Accessory
26,206,Unique
16,629,Accessory
18,165,Unique
25,697,Accessory
15,305,Unique
33,834,Accessory
11,699,Accessory
48,1376,Core
47,326,Unique
27,1438,Core
20,1429,Core
15,386,Accessory
39,341,Unique
28,207,Unique
13,304,Unique
13,604,Accessory
17,232,Unique
19,154,Unique
37,913,Accessory
42,884,Accessory
18,221,Unique
24,149,Unique
52,934,Accessory
31,921,Accessory
45,269,Unique
18,709,Accessory
10,1490,Core
9,373,Accessory
9,1648,Core
27,139,Unique
27,367,Unique
42,409,Unique
29,776,Accessory
19,382,Unique
8,1641,Core
44,964,Accessory
18,1445,Core
39,1383,Core
15,553,Accessory
7,424,Accessory
16,164,Unique
23,444,Unique
30,1400,Core
31,44,Unique
26,299,Unique
44,336,Unique
50,917,Accessory
11,1436,Core
22,1414,Core
54,883,Accessory
12,361,Accessory
29,294,Unique
5,511,Accessory
43,403,Unique
25,603,Accessory
28,361,Unique
39,862,Accessory
33,356,Unique
27,863,Accessory
48,320,Unique
31,817,Accessory
21,835,Accessory
36,351,Unique
25,864,Accessory
26,211,Unique
17,466,Accessory
36,346,Unique
10,655,Accessory
