x,y,Category,Metric
4,-37.94,Core,Average
4,109.99,Accessory,Average
4,-19.14,Unique,Average
5,-24.62,Core,Average
5,73.57,Accessory,Average
5,-11.66,Unique,Average
6,-21.11,Core,Average
6,55.38,Accessory,Average
6,-0.66,Unique,Average
7,-14.45,Core,Average
7,43.30,Accessory,Average
7,-2.17,Unique,Average
8,-11.19,Core,Average
8,32.72,Accessory,Average
8,0.95,Unique,Average
9,-11.77,Core,Average
9,29.13,Accessory,Average
9,5.99,Unique,Average
10,-8.87,Core,Average
10,23.55,Accessory,Average
10,3.28,Unique,Average
11,-9.93,Core,Average
11,21.65,Accessory,Average
11,7.49,Unique,Average
12,-8.04,Core,Average
12,19.61,Accessory,Average
12,6.04,Unique,Average
13,-7.25,Core,Average
13,18.12,Accessory,Average
13,6.99,Unique,Average
14,-7.35,Core,Average
14,19.21,Accessory,Average
14,6.14,Unique,Average
15,-4.92,Core,Average
15,13.68,Accessory,Average
15,5.52,Unique,Average
16,-5.27,Core,Average
16,13.84,Accessory,Average
16,6.51,Unique,Average
17,-4.63,Core,Average
17,13.76,Accessory,Average
17,6.07,Unique,Average
18,-4.47,Core,Average
18,13.09,Accessory,Average
18,5.75,Unique,Average
19,-4.01,Core,Average
19,12.05,Accessory,Average
19,5.01,Unique,Average
20,-4.36,Core,Average
20,12.39,Accessory,Average
20,4.90,Unique,Average
21,-3.59,Core,Average
21,12.23,Accessory,Average
21,4.46,Unique,Average
22,-3.37,Core,Average
22,11.39,Accessory,Average
22,3.98,Unique,Average
23,-3.07,Core,Average
23,10.71,Accessory,Average
23,3.39,Unique,Average
24,-2.68,Core,Average
24,10.49,Accessory,Average
24,4.16,Unique,Average
25,-2.82,Core,Average
25,9.26,Accessory,Average
25,4.28,Unique,Average
26,-2.61,Core,Average
26,8.67,Accessory,Average
26,3.54,Unique,Average
27,-2.65,Core,Average
27,8.81,Accessory,Average
27,4.40,Unique,Average
28,-2.46,Core,Average
28,7.72,Accessory,Average
28,4.65,Unique,Average
29,-2.42,Core,Average
29,8.38,Accessory,Average
29,4.79,Unique,Average
30,-2.38,Core,Average
30,9.39,Accessory,Average
30,3.46,Unique,Average
31,-2.22,Core,Average
31,8.31,Accessory,Average
31,4.48,Unique,Average
32,-2.25,Core,Average
32,8.55,Accessory,Average
32,4.77,Unique,Average
33,-1.90,Core,Average
33,7.46,Accessory,Average
33,3.78,Unique,Average
34,-2.02,Core,Average
34,7.69,Accessory,Average
34,3.62,Unique,Average
35,-1.95,Core,Average
35,7.15,Accessory,Average
35,4.07,Unique,Average
36,-2.00,Core,Average
36,7.42,Accessory,Average
36,4.05,Unique,Average
37,-1.70,Core,Average
37,6.63,Accessory,Average
37,3.77,Unique,Average
38,-1.76,Core,Average
38,6.60,Accessory,Average
38,4.45,Unique,Average
39,-1.69,Core,Average
39,6.94,Accessory,Average
39,3.83,Unique,Average
40,-1.72,Core,Average
40,6.42,Accessory,Average
40,3.97,Unique,Average
41,-1.51,Core,Average
41,6.04,Accessory,Average
41,3.58,Unique,Average
42,-1.64,Core,Average
42,6.55,Accessory,Average
42,3.14,Unique,Average
43,-1.71,Core,Average
43,6.14,Accessory,Average
43,3.61,Unique,Average
44,-1.70,Core,Average
44,6.35,Accessory,Average
44,3.71,Unique,Average
45,-1.43,Core,Average
45,6.05,Accessory,Average
45,3.58,Unique,Average
46,-1.62,Core,Average
46,6.50,Accessory,Average
46,2.68,Unique,Average
47,-1.59,Core,Average
47,6.29,Accessory,Average
47,2.91,Unique,Average
48,-1.55,Core,Average
48,5.79,Accessory,Average
48,3.11,Unique,Average
49,-1.49,Core,Average
49,5.65,Accessory,Average
49,2.67,Unique,Average
50,-1.42,Core,Average
50,6.25,Accessory,Average
50,3.05,Unique,Average
51,-1.48,Core,Average
51,5.48,Accessory,Average
51,3.92,Unique,Average
52,-1.45,Core,Average
52,5.81,Accessory,Average
52,3.69,Unique,Average
53,-1.42,Core,Average
53,5.85,Accessory,Average
53,2.82,Unique,Average
54,-1.59,Core,Average
54,5.63,Accessory,Average
54,2.47,Unique,Average
55,-1.34,Core,Average
55,5.79,Accessory,Average
55,3.17,Unique,Average
56,-1.21,Core,Average
56,4.99,Accessory,Average
56,4.25,Unique,Average
57,-1.33,Core,Average
57,5.70,Accessory,Average
57,3.83,Unique,Average
