x,y,Category,Metric
4,-37.94,Core,Average
4,90.85,Accessory,Average
5,-24.62,Core,Average
5,61.91,Accessory,Average
6,-21.11,Core,Average
6,54.72,Accessory,Average
7,-14.45,Core,Average
7,41.13,Accessory,Average
8,-11.19,Core,Average
8,33.67,Accessory,Average
9,-11.77,Core,Average
9,35.12,Accessory,Average
10,-8.87,Core,Average
10,26.83,Accessory,Average
11,-9.93,Core,Average
11,29.14,Accessory,Average
12,-8.04,Core,Average
12,25.65,Accessory,Average
13,-7.25,Core,Average
13,25.11,Accessory,Average
14,-7.35,Core,Average
14,25.34,Accessory,Average
15,-4.92,Core,Average
15,19.20,Accessory,Average
16,-5.27,Core,Average
16,20.35,Accessory,Average
17,-4.63,Core,Average
17,19.83,Accessory,Average
18,-4.47,Core,Average
18,18.84,Accessory,Average
19,-4.01,Core,Average
19,17.05,Accessory,Average
20,-4.36,Core,Average
20,17.29,Accessory,Average
21,-3.59,Core,Average
21,16.69,Accessory,Average
22,-3.37,Core,Average
22,15.37,Accessory,Average
23,-3.07,Core,Average
23,14.10,Accessory,Average
24,-2.68,Core,Average
24,14.65,Accessory,Average
25,-2.82,Core,Average
25,13.54,Accessory,Average
26,-2.61,Core,Average
26,12.21,Accessory,Average
27,-2.65,Core,Average
27,13.21,Accessory,Average
28,-2.46,Core,Average
28,12.37,Accessory,Average
29,-2.42,Core,Average
29,13.17,Accessory,Average
30,-2.38,Core,Average
30,12.85,Accessory,Average
31,-2.22,Core,Average
31,12.79,Accessory,Average
32,-2.25,Core,Average
32,13.32,Accessory,Average
33,-1.90,Core,Average
33,11.24,Accessory,Average
34,-2.02,Core,Average
34,11.31,Accessory,Average
35,-1.95,Core,Average
35,11.21,Accessory,Average
36,-2.00,Core,Average
36,11.48,Accessory,Average
37,-1.70,Core,Average
37,10.40,Accessory,Average
38,-1.76,Core,Average
38,11.05,Accessory,Average
39,-1.69,Core,Average
39,10.77,Accessory,Average
40,-1.72,Core,Average
40,10.39,Accessory,Average
41,-1.51,Core,Average
41,9.62,Accessory,Average
42,-1.64,Core,Average
42,9.69,Accessory,Average
43,-1.71,Core,Average
43,9.75,Accessory,Average
44,-1.70,Core,Average
44,10.06,Accessory,Average
45,-1.43,Core,Average
45,9.63,Accessory,Average
46,-1.62,Core,Average
46,9.18,Accessory,Average
47,-1.59,Core,Average
47,9.20,Accessory,Average
48,-1.55,Core,Average
48,8.90,Accessory,Average
49,-1.49,Core,Average
49,8.31,Accessory,Average
50,-1.42,Core,Average
50,9.30,Accessory,Average
51,-1.48,Core,Average
51,9.40,Accessory,Average
52,-1.45,Core,Average
52,9.50,Accessory,Average
53,-1.42,Core,Average
53,8.67,Accessory,Average
54,-1.59,Core,Average
54,8.10,Accessory,Average
55,-1.34,Core,Average
55,8.96,Accessory,Average
56,-1.21,Core,Average
56,9.24,Accessory,Average
57,-1.33,Core,Average
57,9.53,Accessory,Average
