x,y,Category
115,17968,Core
18,85162,Core
155,12874,Core
133,14765883,Accessory
50,10156660,Accessory
123,14593892,Accessory
26,6938396,Accessory
72,12334999,Accessory
7,4551318,Accessory
33,94442,Core
120,14549587,Accessory
136,15724169,Accessory
63,11099590,Accessory
185,17100299,Accessory
25,119215,Core
210,9171,Core
42,63443,Core
203,17457672,Accessory
131,14867586,Accessory
188,10836,Core
107,13237720,Accessory
139,14628666,Accessory
140,17220,Core
35,72357,Core
200,17179697,Accessory
229,8848,Core
183,17053334,Accessory
54,11326051,Accessory
114,13786017,Accessory
45,9881248,Accessory
199,17404843,Accessory
53,10371720,Accessory
219,9151,Core
19,6800127,Accessory
231,8792,Core
173,16783013,Accessory
172,16789004,Accessory
41,46823,Core
62,11374650,Accessory
46,9880882,Accessory
107,18853,Core
150,13329,Core
82,12012445,Accessory
49,9940842,Accessory
144,16417,Core
84,22764,Core
31,90994,Core
231,8717,Core
133,15275692,Accessory
89,25154,Core
68,11631599,Accessory
177,16355365,Accessory
208,17886822,Accessory
61,10827453,Accessory
177,11664,Core
7,262782,Core
183,10065,Core
90,12110997,Accessory
37,62824,Core
110,20133,Core
224,8939,Core
103,22333,Core
120,14328804,Accessory
147,14732358,Accessory
190,17095819,Accessory
101,20058,Core
53,44596,Core
18,7254163,Accessory
196,17362448,Accessory
232,8609,Core
171,12349,Core
89,13177842,Accessory
74,12390678,Accessory
181,16841207,Accessory
214,9242,Core
54,10588780,Accessory
68,47391,Core
177,11980,Core
28,8091996,Accessory
31,9099116,Accessory
101,13453964,Accessory
73,11315047,Accessory
192,17323715,Accessory
49,9874478,Accessory
97,24269,Core
93,25313,Core
117,19557,Core
39,51246,Core
52,50979,Core
144,16733,Core
55,32888,Core
213,17733410,Accessory
21,7240391,Accessory
146,14360,Core
190,16994964,Accessory
127,15368,Core
187,10265,Core
160,15890093,Accessory
140,15045,Core
197,10038,Core
135,17902,Core
186,16973003,Accessory
193,10470,Core
59,48431,Core
91,25586,Core
74,13070692,Accessory
109,18953,Core
116,14462421,Accessory
53,10083770,Accessory
19,121538,Core
154,15917849,Accessory
169,12477,Core
102,13335625,Accessory
87,13160317,Accessory
203,10249,Core
32,91695,Core
68,40119,Core
40,9834275,Accessory
31,86754,Core
120,14252,Core
150,12344,Core
120,14621595,Accessory
190,10338,Core
199,17312836,Accessory
204,9842,Core
84,12742761,Accessory
194,17049990,Accessory
49,46483,Core
76,30047,Core
24,107077,Core
101,19908,Core
193,10208,Core
26,103663,Core
178,10693,Core
187,10452,Core
4,3067514,Accessory
9,250164,Core
133,14771,Core
131,14453403,Accessory
146,15268567,Accessory
106,13530790,Accessory
28,8071344,Accessory
231,18360319,Accessory
78,32379,Core
218,18059262,Accessory
232,8684,Core
192,17275110,Accessory
187,17269066,Accessory
73,41611,Core
64,35437,Core
136,14635891,Accessory
197,17026792,Accessory
223,9048,Core
179,16917619,Accessory
186,11182,Core
166,11802,Core
18,162472,Core
80,12721637,Accessory
18,119944,Core
139,13138,Core
151,16449,Core
226,9672,Core
217,9421,Core
197,10598,Core
113,13313986,Accessory
107,19224,Core
225,18078056,Accessory
120,16355,Core
11,5627318,Accessory
200,17476808,Accessory
134,16590,Core
59,10772364,Accessory
81,31966,Core
123,16225,Core
153,11286,Core
100,13376293,Accessory
103,13987066,Accessory
169,11675,Core
108,13870226,Accessory
136,14569,Core
223,9734,Core
118,17784,Core
47,10494966,Accessory
221,9020,Core
77,13154834,Accessory
56,56461,Core
137,15051327,Accessory
219,17958484,Accessory
18,7445345,Accessory
205,9418,Core
36,77149,Core
150,14892,Core
97,13509100,Accessory
88,32838,Core
214,17975779,Accessory
39,61382,Core
161,12203,Core
15,169758,Core
140,15707269,Accessory
145,15431265,Accessory
106,19009,Core
139,18792,Core
49,39697,Core
169,13218,Core
117,14075833,Accessory
224,18130195,Accessory
41,44278,Core
88,12338295,Accessory
211,17802734,Accessory
92,12729804,Accessory
89,20376,Core
66,32320,Core
39,9608742,Accessory
89,12548178,Accessory
215,18004191,Accessory
218,18010563,Accessory
91,13188162,Accessory
26,95269,Core
106,13062722,Accessory
168,12093,Core
93,14011233,Accessory
137,17262,Core
43,56930,Core
166,16584145,Accessory
51,9960779,Accessory
9,4890332,Accessory
68,11298065,Accessory
229,18113995,Accessory
10,4872686,Accessory
41,60808,Core
203,11252,Core
50,58505,Core
151,15873507,Accessory
153,15608295,Accessory
73,12145495,Accessory
208,17690018,Accessory
92,20819,Core
42,10293448,Accessory
130,18547,Core
183,11237,Core
219,9280,Core
22,93706,Core
171,16781614,Accessory
73,13191146,Accessory
137,16830,Core
6,285978,Core
103,23451,Core
106,13764220,Accessory
50,56032,Core
52,36179,Core
162,16018546,Accessory
107,20060,Core
221,18120032,Accessory
216,17964983,Accessory
24,119812,Core
58,10244930,Accessory
88,26498,Core
109,21332,Core
230,8771,Core
73,12217796,Accessory
40,69422,Core
21,7143569,Accessory
95,20818,Core
123,19388,Core
215,17950750,Accessory
195,17382284,Accessory
204,9526,Core
131,14677964,Accessory
140,14301,Core
157,16895425,Accessory
192,17332285,Accessory
127,14624,Core
191,11111,Core
161,16127202,Accessory
198,17398561,Accessory
194,9855,Core
192,16775588,Accessory
220,8739,Core
10,199772,Core
87,32824,Core
190,9967,Core
142,14343,Core
122,15768,Core
174,16644643,Accessory
190,17134168,Accessory
136,15245236,Accessory
87,23881,Core
38,9258906,Accessory
25,8624118,Accessory
203,17287981,Accessory
176,11449,Core
174,16473027,Accessory
207,17511902,Accessory
74,26023,Core
220,9742,Core
58,11264928,Accessory
90,13059245,Accessory
171,10562,Core
41,51064,Core
15,6155495,Accessory
75,11747725,Accessory
169,12664,Core
21,70949,Core
109,14412952,Accessory
170,11777,Core
233,18418871,Accessory
15,5574310,Accessory
52,52540,Core
23,7358184,Accessory
3,2718425,Accessory
45,56843,Core
168,16404795,Accessory
50,52684,Core
57,10673918,Accessory
131,16160,Core
172,11321,Core
35,8713285,Accessory
19,6879689,Accessory
31,8113932,Accessory
156,13015,Core
93,25873,Core
52,10781286,Accessory
215,18016634,Accessory
193,17009658,Accessory
58,10894589,Accessory
116,14492892,Accessory
153,15585887,Accessory
93,12602421,Accessory
228,8841,Core
62,39058,Core
95,12192344,Accessory
112,13312426,Accessory
69,36898,Core
210,10037,Core
18,6599851,Accessory
175,16444612,Accessory
205,17765883,Accessory
75,12500184,Accessory
98,12746511,Accessory
13,165374,Core
208,17767445,Accessory
93,12492312,Accessory
43,10031076,Accessory
77,39117,Core
195,9747,Core
63,53445,Core
96,12907675,Accessory
81,11976491,Accessory
106,18336,Core
231,18306125,Accessory
2,1942812,Accessory
81,31223,Core
131,14616872,Accessory
127,14388070,Accessory
66,34922,Core
139,15377833,Accessory
196,10024,Core
206,9385,Core
155,12429,Core
167,16470859,Accessory
94,22106,Core
63,10841966,Accessory
139,15358767,Accessory
200,10878,Core
171,11680,Core
26,79853,Core
209,9306,Core
98,25028,Core
147,15652370,Accessory
30,8242263,Accessory
68,11865214,Accessory
121,14095788,Accessory
51,52953,Core
31,73275,Core
194,10969,Core
143,14045,Core
197,9732,Core
226,18257778,Accessory
67,12223564,Accessory
107,22594,Core
146,14159,Core
164,16608436,Accessory
17,7172868,Accessory
135,14157196,Accessory
169,13595,Core
81,27241,Core
205,9863,Core
190,11524,Core
162,16060090,Accessory
203,17612107,Accessory
76,37675,Core
151,15914241,Accessory
58,40529,Core
161,13076,Core
172,11633,Core
82,23218,Core
174,11906,Core
15,6780747,Accessory
157,12102,Core
231,8850,Core
226,8870,Core
145,16391,Core
42,66175,Core
211,9419,Core
232,18417964,Accessory
66,37213,Core
212,17863993,Accessory
90,12852592,Accessory
117,21263,Core
112,18354,Core
104,23706,Core
82,20428,Core
167,12689,Core
2,876851,Core
127,18291,Core
77,26079,Core
20,128834,Core
200,17077110,Accessory
62,11199013,Accessory
23,68675,Core
216,17969726,Accessory
115,14373601,Accessory
141,16120,Core
95,21807,Core
186,16735926,Accessory
229,8906,Core
148,16274095,Accessory
16,133151,Core
19,119174,Core
104,13248421,Accessory
64,11481738,Accessory
35,8539343,Accessory
113,18124,Core
147,13260,Core
93,13231422,Accessory
127,14701979,Accessory
161,12318,Core
48,57332,Core
147,13874,Core
101,13532338,Accessory
214,9425,Core
105,26269,Core
84,23882,Core
137,15068765,Accessory
18,142818,Core
47,61242,Core
131,14786,Core
174,11492,Core
57,11213150,Accessory
198,17320031,Accessory
100,26371,Core
63,11152627,Accessory
32,9212024,Accessory
180,16851548,Accessory
30,92211,Core
221,18027403,Accessory
213,17803754,Accessory
186,11681,Core
64,11453832,Accessory
161,16493632,Accessory
33,8856310,Accessory
89,12342750,Accessory
122,17200,Core
145,14773,Core
113,14537718,Accessory
80,11658556,Accessory
119,14523525,Accessory
187,10394,Core
44,10149056,Accessory
31,8720776,Accessory
180,11435,Core
110,26025,Core
164,16077872,Accessory
200,10580,Core
136,14641,Core
143,15601,Core
29,7501285,Accessory
59,9964651,Accessory
48,36078,Core
53,10844328,Accessory
77,11780348,Accessory
131,15180943,Accessory
160,12677,Core
74,11959054,Accessory
161,15722676,Accessory
156,16263455,Accessory
96,20836,Core
4,2493830,Accessory
11,219285,Core
58,10961539,Accessory
38,62709,Core
222,8785,Core
30,82146,Core
146,13985,Core
175,16449634,Accessory
71,33495,Core
91,23666,Core
100,22775,Core
223,9106,Core
167,16400737,Accessory
156,12702,Core
70,38130,Core
49,54308,Core
151,15668759,Accessory
