x,y,Category
125,5319303,Unique
155,12874,Core
169,6187507,Unique
228,6735945,Unique
112,5722864,Unique
25,119215,Core
42,63443,Core
59,4780920,Unique
188,10836,Core
218,6530730,Unique
140,17220,Core
35,72357,Core
229,8848,Core
20,3839272,Accessory
167,5777219,Unique
212,11315869,Accessory
208,11300787,Accessory
25,3025514,Unique
62,6634470,Accessory
224,11491647,Accessory
37,5635984,Accessory
177,10543908,Accessory
107,18853,Core
150,13329,Core
144,16417,Core
84,22764,Core
86,5068518,Unique
110,9078426,Accessory
110,8440246,Accessory
37,62824,Core
224,8939,Core
103,22333,Core
107,8728046,Accessory
144,5504062,Unique
232,8609,Core
109,4581050,Unique
171,12349,Core
57,3786580,Unique
147,5994628,Unique
112,8562475,Accessory
36,5185409,Accessory
84,4844050,Unique
6,1818108,Accessory
97,24269,Core
93,25313,Core
222,6623727,Unique
180,6226761,Unique
129,9319416,Accessory
153,9871358,Accessory
52,50979,Core
158,5891903,Unique
146,14360,Core
111,8440701,Accessory
229,6755500,Unique
187,10265,Core
161,10055805,Accessory
197,10038,Core
197,10899574,Accessory
135,17902,Core
193,10470,Core
59,48431,Core
91,25586,Core
109,18953,Core
122,5655974,Unique
58,6382577,Accessory
62,7029266,Accessory
125,9300326,Accessory
88,7870686,Accessory
169,12477,Core
17,2561900,Unique
32,91695,Core
140,5785156,Unique
201,11078407,Accessory
31,86754,Core
183,10799174,Accessory
150,12344,Core
190,10338,Core
126,5027689,Unique
57,3865225,Unique
54,4278492,Unique
44,5852091,Accessory
62,6977894,Accessory
24,107077,Core
26,103663,Core
178,10693,Core
2,1523727,Unique
206,11003937,Accessory
166,6126206,Unique
133,14771,Core
232,8684,Core
59,6763872,Accessory
212,6473320,Unique
203,6350035,Unique
175,6152866,Unique
221,6557956,Unique
14,3407358,Accessory
18,119944,Core
11,2715147,Accessory
46,3487595,Unique
139,13138,Core
216,6706744,Unique
140,5441360,Unique
151,16449,Core
183,10582078,Accessory
226,9672,Core
217,9421,Core
167,6163574,Unique
92,4624938,Unique
