x,y,Category
159,2331,Accessory
204,2503,Accessory
29,1240,Core
67,1898,Accessory
107,2089,Accessory
26,1463,Accessory
22,1332,Accessory
172,1171,Core
20,1260,Core
127,2156,Accessory
128,2206,Accessory
52,1709,Accessory
33,1390,Accessory
87,1965,Accessory
107,1193,Core
4,642,Accessory
143,2353,Accessory
30,1552,Accessory
13,1062,Accessory
55,1800,Accessory
130,2195,Accessory
56,1175,Core
76,1907,Accessory
42,1660,Accessory
188,2415,Accessory
151,2330,Accessory
139,2246,Accessory
33,1372,Accessory
88,2020,Accessory
150,2280,Accessory
26,1481,Accessory
150,2262,Accessory
30,1299,Accessory
81,2059,Accessory
123,2286,Accessory
215,2543,Accessory
89,2078,Accessory
112,2228,Accessory
109,1164,Core
3,381,Accessory
63,1767,Accessory
138,2196,Accessory
174,2460,Accessory
17,1193,Accessory
87,1947,Accessory
139,2264,Accessory
74,1175,Core
190,1171,Core
10,1228,Core
26,1202,Accessory
112,2246,Accessory
14,1130,Accessory
114,2251,Accessory
187,2383,Accessory
46,1512,Accessory
99,2060,Accessory
81,2077,Accessory
95,1960,Accessory
108,2157,Accessory
4,660,Accessory
183,2459,Accessory
54,1732,Accessory
128,2224,Accessory
188,2433,Accessory
83,2082,Accessory
48,1638,Accessory
213,2538,Accessory
204,2521,Accessory
3,1233,Core
71,1969,Accessory
172,2455,Accessory
111,1162,Core
56,1858,Accessory
52,1727,Accessory
157,2308,Accessory
104,2026,Accessory
66,1840,Accessory
63,1749,Accessory
22,1350,Accessory
163,2402,Accessory
26,1445,Accessory
8,1271,Core
66,1189,Core
77,1167,Core
98,1987,Accessory
123,2268,Accessory
17,1157,Accessory
13,1026,Accessory
135,2115,Accessory
228,1145,Core
22,1314,Accessory
21,1246,Accessory
122,2210,Accessory
37,1208,Core
2,6,Accessory
70,2037,Accessory
74,1789,Accessory
159,2313,Accessory
169,1148,Core
39,1621,Accessory
45,1197,Core
100,1184,Core
4,1254,Core
172,2419,Accessory
30,1534,Accessory
86,2015,Accessory
106,2031,Accessory
143,2335,Accessory
58,1845,Accessory
154,2357,Accessory
60,1722,Accessory
20,1188,Core
157,2326,Accessory
104,2044,Accessory
101,2075,Accessory
181,2351,Accessory
210,1172,Core
164,2253,Accessory
156,2276,Accessory
121,2142,Accessory
161,2284,Accessory
86,2033,Accessory
215,2507,Accessory
128,2260,Accessory
83,2064,Accessory
174,2424,Accessory
90,2104,Accessory
45,1687,Accessory
70,1911,Accessory
65,1772,Accessory
20,1327,Accessory
28,1328,Accessory
19,1058,Accessory
121,2160,Accessory
48,1656,Accessory
215,2525,Accessory
65,1754,Accessory
2,1398,Core
11,970,Accessory
214,2475,Accessory
229,1166,Core
34,1216,Core
174,2442,Accessory
108,2193,Accessory
56,1876,Accessory
117,2202,Accessory
154,2375,Accessory
89,2096,Accessory
73,1208,Core
4,1312,Core
60,1740,Accessory
49,1593,Accessory
101,2093,Accessory
7,852,Accessory
11,952,Accessory
85,1978,Accessory
189,2352,Accessory
37,1634,Accessory
225,2497,Accessory
139,2282,Accessory
63,1785,Accessory
125,2255,Accessory
117,1150,Core
88,2002,Accessory
171,1150,Core
41,1592,Accessory
199,2491,Accessory
95,1167,Core
158,2263,Accessory
29,1414,Accessory
22,1231,Core
229,2552,Accessory
84,1902,Accessory
105,1976,Accessory
130,2308,Accessory
41,1538,Accessory
44,1561,Accessory
81,1933,Accessory
53,1813,Accessory
30,1516,Accessory
188,1169,Core
150,2208,Accessory
39,1603,Accessory
75,1196,Core
25,1359,Accessory
130,1183,Core
106,2013,Accessory
26,1190,Core
47,1168,Core
109,2076,Accessory
154,1171,Core
135,2133,Accessory
114,2233,Accessory
71,1179,Core
3,345,Accessory
145,2322,Accessory
173,2338,Accessory
108,2139,Accessory
28,1382,Accessory
84,1189,Core
129,2143,Accessory
120,2223,Accessory
13,1044,Accessory
17,1139,Accessory
21,1264,Accessory
218,2530,Accessory
177,2469,Accessory
125,2237,Accessory
112,1183,Core
52,1831,Accessory
152,2231,Accessory
33,1521,Accessory
69,1849,Accessory
75,2011,Accessory
61,1165,Core
85,2051,Accessory
210,2511,Accessory
82,1933,Accessory
83,1168,Core
73,1938,Accessory
36,1634,Accessory
175,1149,Core
34,1230,Core
156,2362,Accessory
139,1163,Core
126,2237,Accessory
19,1162,Accessory
157,2362,Accessory
185,2446,Accessory
184,2378,Accessory
186,2464,Accessory
132,2146,Accessory
5,1275,Core
173,1178,Core
27,1364,Accessory
81,1915,Accessory
81,1197,Core
65,1736,Accessory
80,1847,Accessory
103,2062,Accessory
85,1207,Core
102,2039,Accessory
52,1813,Accessory
43,1543,Accessory
200,1144,Core
122,2124,Accessory
16,1013,Accessory
61,1798,Accessory
19,1126,Accessory
17,1241,Core
92,1991,Accessory
28,1364,Accessory
50,1808,Accessory
148,2367,Accessory
83,2028,Accessory
47,1674,Accessory
19,1180,Accessory
160,1172,Core
86,2051,Accessory
137,2277,Accessory
127,2260,Accessory
124,2169,Accessory
26,1359,Accessory
80,1883,Accessory
185,2464,Accessory
40,1488,Accessory
53,1831,Accessory
25,1209,Core
44,1176,Core
58,1827,Accessory
140,2348,Accessory
78,1188,Core
121,2299,Accessory
217,2530,Accessory
115,2215,Accessory
23,1251,Accessory
44,1543,Accessory
42,1538,Accessory
69,1867,Accessory
177,2411,Accessory
82,1915,Accessory
149,1181,Core
74,2011,Accessory
93,1991,Accessory
155,2339,Accessory
202,2516,Accessory
59,1845,Accessory
126,2255,Accessory
157,1149,Core
20,1345,Accessory
109,2058,Accessory
104,2062,Accessory
66,1736,Accessory
178,2469,Accessory
216,2525,Accessory
37,1652,Accessory
101,2039,Accessory
168,2384,Accessory
102,2093,Accessory
120,2241,Accessory
27,1427,Accessory
64,1853,Accessory
4,457,Accessory
144,2317,Accessory
61,1884,Accessory
67,1822,Accessory
88,1929,Accessory
89,1156,Core
107,2175,Accessory
21,1228,Accessory
123,2210,Accessory
135,1150,Core
171,2455,Accessory
15,1188,Accessory
87,1929,Accessory
108,2175,Accessory
18,1157,Accessory
156,2308,Accessory
41,1574,Accessory
110,2102,Accessory
84,2082,Accessory
145,2340,Accessory
114,2215,Accessory
125,2169,Accessory
4,574,Accessory
66,1822,Accessory
21,1350,Accessory
125,2291,Accessory
93,1196,Core
23,1314,Accessory
48,1674,Accessory
51,1745,Accessory
28,1450,Accessory
73,2006,Accessory
155,2276,Accessory
66,1790,Accessory
107,2031,Accessory
115,2084,Accessory
181,2333,Accessory
25,1395,Accessory
130,2177,Accessory
35,1179,Core
35,1629,Accessory
121,2124,Accessory
146,2340,Accessory
155,2393,Accessory
65,1790,Accessory
127,2138,Accessory
89,2020,Accessory
46,1588,Accessory
49,1557,Accessory
154,2339,Accessory
13,1080,Accessory
87,1185,Core
143,2317,Accessory
56,1800,Accessory
201,2516,Accessory
62,1884,Accessory
158,2331,Accessory
12,1080,Accessory
87,1983,Accessory
166,1160,Core
47,1588,Accessory
100,1980,Accessory
89,1952,Accessory
185,2378,Accessory
52,1216,Core
22,1228,Accessory
222,2470,Accessory
154,2393,Accessory
111,2246,Accessory
32,1521,Accessory
40,1691,Accessory
29,1450,Accessory
97,2073,Accessory
26,1427,Accessory
160,2279,Accessory
166,1170,Core
199,1151,Core
62,1767,Accessory
84,2028,Accessory
170,2311,Accessory
82,2059,Accessory
60,1798,Accessory
54,1714,Accessory
59,1696,Accessory
52,1745,Accessory
3,1294,Core
106,1994,Accessory
32,1349,Accessory
121,2205,Accessory
122,2268,Accessory
12,1044,Accessory
180,2364,Accessory
14,1080,Accessory
134,2115,Accessory
137,2196,Accessory
231,2519,Accessory
151,2280,Accessory
168,2298,Accessory
16,1175,Accessory
98,2055,Accessory
80,1964,Accessory
7,766,Accessory
160,1182,Core
29,1333,Accessory
160,2297,Accessory
205,2521,Accessory
109,2162,Accessory
23,1332,Accessory
53,1732,Accessory
161,1179,Core
64,1790,Accessory
144,2353,Accessory
68,1164,Core
7,748,Accessory
43,1660,Accessory
54,1800,Accessory
22,1217,Core
68,1898,Accessory
4,592,Accessory
34,1220,Core
171,2419,Accessory
73,1789,Accessory
20,1282,Accessory
158,2308,Accessory
173,2419,Accessory
105,2031,Accessory
20,1264,Accessory
129,2224,Accessory
142,2353,Accessory
21,1220,Core
109,2139,Accessory
29,1351,Accessory
96,1942,Accessory
113,2251,Accessory
21,1332,Accessory
157,2258,Accessory
103,2008,Accessory
157,1159,Core
80,1946,Accessory
125,1179,Core
88,2078,Accessory
120,2137,Accessory
124,1182,Core
29,1328,Accessory
223,2470,Accessory
188,2370,Accessory
60,1879,Accessory
49,1656,Accessory
88,1965,Accessory
21,1309,Accessory
86,1983,Accessory
109,2175,Accessory
108,2094,Accessory
142,2317,Accessory
3,444,Accessory
