x,y,Category
5,135,Unique
29,1240,Core
52,475,Unique
11,396,Unique
173,1901,Accessory
94,487,Unique
86,1411,Accessory
121,1659,Accessory
172,1171,Core
9,291,Unique
20,1260,Core
71,501,Unique
16,683,Accessory
107,1193,Core
14,391,Unique
140,596,Unique
153,1834,Accessory
160,555,Unique
5,363,Unique
81,1491,Accessory
41,1096,Accessory
56,1175,Core
220,497,Unique
32,929,Accessory
43,496,Unique
20,510,Unique
41,997,Accessory
41,402,Unique
122,1709,Accessory
90,559,Unique
164,483,Unique
62,522,Unique
113,1710,Accessory
111,491,Unique
66,1344,Accessory
22,376,Unique
108,1571,Accessory
231,477,Unique
100,1552,Accessory
7,364,Unique
28,509,Unique
81,1473,Accessory
192,427,Unique
99,1559,Accessory
60,521,Unique
75,596,Unique
113,492,Unique
172,468,Unique
124,1750,Accessory
222,498,Unique
54,476,Unique
130,456,Unique
12,464,Unique
151,576,Unique
109,1164,Core
19,857,Accessory
129,537,Unique
181,1868,Accessory
100,1570,Accessory
16,392,Unique
117,1588,Accessory
153,1852,Accessory
82,1523,Accessory
132,1699,Accessory
152,1784,Accessory
141,1708,Accessory
8,468,Accessory
12,568,Accessory
73,595,Unique
74,1175,Core
170,467,Unique
190,1171,Core
10,1228,Core
181,1886,Accessory
104,1665,Accessory
208,505,Unique
131,524,Unique
183,1891,Accessory
202,446,Unique
20,741,Accessory
226,2069,Accessory
230,470,Unique
166,484,Unique
65,456,Unique
93,480,Unique
120,1601,Accessory
72,508,Unique
3,1233,Core
119,1593,Accessory
111,1162,Core
46,1034,Accessory
91,553,Unique
97,1451,Accessory
177,464,Unique
106,1548,Accessory
99,1577,Accessory
180,440,Unique
153,1816,Accessory
203,440,Unique
95,1428,Accessory
121,1695,Accessory
215,2065,Accessory
3,362,Unique
156,572,Unique
14,465,Unique
124,1732,Accessory
126,603,Unique
8,1271,Core
42,1146,Accessory
66,1189,Core
77,1167,Core
108,1553,Accessory
41,495,Unique
152,1748,Accessory
215,2029,Accessory
126,473,Unique
184,516,Unique
41,1078,Accessory
114,629,Unique
228,1145,Core
16,647,Accessory
145,1857,Accessory
37,1208,Core
77,1384,Accessory
109,1621,Accessory
105,581,Unique
94,622,Unique
62,1213,Accessory
100,1534,Accessory
169,1148,Core
10,309,Unique
27,372,Unique
45,1197,Core
66,1308,Accessory
100,1184,Core
4,1254,Core
52,549,Unique
122,1727,Accessory
114,499,Unique
44,564,Unique
40,1020,Accessory
120,544,Unique
170,1846,Accessory
27,502,Unique
128,530,Unique
20,1188,Core
119,1575,Accessory
151,1829,Accessory
99,557,Unique
210,1172,Core
27,881,Accessory
37,414,Unique
47,1102,Accessory
138,442,Unique
44,1133,Accessory
88,577,Unique
163,1788,Accessory
15,305,Unique
117,550,Unique
150,1779,Accessory
206,504,Unique
223,2060,Accessory
108,1517,Accessory
112,633,Unique
134,514,Unique
153,1870,Accessory
2,1398,Core
113,622,Unique
22,506,Unique
66,1380,Accessory
168,541,Unique
229,1166,Core
34,1216,Core
75,1379,Accessory
200,519,Unique
43,1083,Accessory
150,1797,Accessory
205,436,Unique
64,518,Unique
95,1446,Accessory
166,479,Unique
21,517,Unique
105,576,Unique
81,1455,Accessory
79,505,Unique
73,1208,Core
60,1208,Accessory
4,1312,Core
16,522,Unique
204,447,Unique
56,533,Unique
69,1389,Accessory
133,525,Unique
34,424,Unique
42,409,Unique
176,526,Unique
155,1821,Accessory
49,499,Unique
126,468,Unique
111,1705,Accessory
35,413,Unique
114,560,Unique
23,444,Unique
107,1634,Accessory
173,536,Unique
92,491,Unique
145,1839,Accessory
62,1231,Accessory
66,445,Unique
148,1808,Accessory
217,2016,Accessory
157,561,Unique
217,2070,Accessory
185,510,Unique
111,565,Unique
117,1150,Core
112,498,Unique
152,1766,Accessory
155,499,Unique
10,537,Unique
171,1150,Core
64,1357,Accessory
172,1833,Accessory
55,1304,Accessory
124,472,Unique
184,1941,Accessory
27,863,Accessory
174,1959,Accessory
15,454,Unique
95,1167,Core
73,502,Unique
187,1910,Accessory
106,570,Unique
167,473,Unique
21,835,Accessory
178,453,Unique
103,1579,Accessory
103,580,Unique
25,864,Accessory
146,581,Unique
127,1701,Accessory
61,528,Unique
90,564,Unique
22,1231,Core
42,1164,Accessory
82,1505,Accessory
59,546,Unique
115,488,Unique
100,1516,Accessory
174,530,Unique
95,611,Unique
188,1169,Core
179,1951,Accessory
75,1196,Core
50,548,Unique
130,1183,Core
93,549,Unique
119,569,Unique
176,1928,Accessory
182,1972,Accessory
26,434,Unique
26,1190,Core
47,1168,Core
66,1326,Accessory
154,1171,Core
92,1477,Accessory
185,505,Unique
215,2047,Accessory
71,1179,Core
122,545,Unique
31,429,Unique
79,1371,Accessory
84,1424,Accessory
124,602,Unique
183,448,Unique
121,1677,Accessory
84,1189,Core
99,1595,Accessory
7,290,Unique
123,1646,Accessory
162,556,Unique
228,483,Unique
48,1178,Accessory
101,653,Unique
88,1519,Accessory
45,553,Unique
52,480,Unique
92,621,Unique
9,439,Unique
95,481,Unique
232,466,Unique
93,1459,Accessory
156,1803,Accessory
200,450,Unique
91,632,Unique
192,432,Unique
4,374,Unique
112,1183,Core
171,540,Unique
47,1178,Accessory
82,569,Unique
120,465,Unique
93,498,Unique
7,374,Accessory
88,1591,Accessory
21,817,Accessory
48,1196,Accessory
44,1065,Accessory
163,494,Unique
200,501,Unique
61,1165,Core
158,1884,Accessory
182,520,Unique
51,537,Unique
83,1168,Core
154,492,Unique
69,1313,Accessory
175,1149,Core
186,1910,Accessory
63,1375,Accessory
61,533,Unique
34,1230,Core
135,1686,Accessory
174,1820,Accessory
84,1460,Accessory
139,1163,Core
151,1865,Accessory
56,1173,Accessory
105,1584,Accessory
64,1375,Accessory
92,1459,Accessory
63,1357,Accessory
76,585,Unique
107,1670,Accessory
134,1686,Accessory
65,461,Unique
148,1826,Accessory
5,1275,Core
97,477,Unique
156,493,Unique
155,1803,Accessory
173,1178,Core
55,465,Unique
150,564,Unique
218,2016,Accessory
170,1914,Accessory
20,380,Unique
81,1197,Core
32,572,Unique
173,457,Unique
128,548,Unique
188,1986,Accessory
229,2074,Accessory
14,648,Accessory
93,1477,Accessory
47,1196,Accessory
85,1207,Core
221,2055,Accessory
53,464,Unique
180,1967,Accessory
152,565,Unique
17,777,Accessory
171,456,Unique
178,1933,Accessory
200,1144,Core
63,460,Unique
6,375,Unique
9,421,Unique
28,514,Unique
184,521,Unique
17,1241,Core
49,481,Unique
49,1264,Accessory
71,1284,Accessory
139,1799,Accessory
60,539,Unique
110,576,Unique
174,525,Unique
182,459,Unique
17,759,Accessory
94,617,Unique
46,1120,Accessory
50,530,Unique
154,1771,Accessory
160,1172,Core
228,2074,Accessory
7,443,Unique
106,1584,Accessory
134,463,Unique
25,1209,Core
44,1176,Core
222,2060,Accessory
68,1313,Accessory
95,1482,Accessory
181,1972,Accessory
11,475,Unique
104,1579,Accessory
95,499,Unique
125,461,Unique
4,182,Accessory
34,946,Accessory
78,1188,Core
113,571,Unique
177,1928,Accessory
126,1701,Accessory
128,1777,Accessory
47,554,Unique
49,1228,Accessory
7,356,Accessory
233,460,Unique
21,364,Unique
82,1437,Accessory
125,1633,Accessory
155,1771,Accessory
84,496,Unique
25,846,Accessory
149,1181,Core
138,1799,Accessory
5,258,Accessory
105,1647,Accessory
147,1826,Accessory
218,2052,Accessory
60,1244,Accessory
129,542,Unique
65,1380,Accessory
157,1149,Core
102,1503,Accessory
212,2002,Accessory
132,1641,Accessory
123,534,Unique
171,1914,Accessory
24,433,Unique
94,492,Unique
187,1986,Accessory
179,1933,Accessory
210,2033,Accessory
97,561,Unique
7,359,Unique
170,472,Unique
57,545,Unique
84,1406,Accessory
81,1437,Accessory
126,1633,Accessory
187,506,Unique
144,505,Unique
18,682,Accessory
101,504,Unique
123,1664,Accessory
136,464,Unique
42,1182,Accessory
45,1151,Accessory
189,1955,Accessory
60,1330,Accessory
179,465,Unique
196,429,Unique
104,587,Unique
141,1812,Accessory
18,388,Unique
88,1537,Accessory
63,1289,Accessory
117,489,Unique
38,1125,Accessory
74,509,Unique
115,572,Unique
31,508,Unique
14,585,Accessory
21,871,Accessory
64,602,Unique
158,573,Unique
96,618,Unique
89,1156,Core
35,436,Unique
25,445,Unique
187,455,Unique
