x,y,Category,Metric
4,-20.94,Core,Average
4,87.76,Accessory,Average
4,19.66,Unique,Average
5,-12.07,Core,Average
5,69.96,Accessory,Average
5,13.20,Unique,Average
6,-8.92,Core,Average
6,58.31,Accessory,Average
6,13.43,Unique,Average
7,-6.74,Core,Average
7,51.69,Accessory,Average
7,10.91,Unique,Average
8,-5.25,Core,Average
8,45.48,Accessory,Average
8,10.18,Unique,Average
9,-4.18,Core,Average
9,41.87,Accessory,Average
9,6.34,Unique,Average
10,-3.77,Core,Average
10,38.49,Accessory,Average
10,6.70,Unique,Average
11,-3.21,Core,Average
11,35.44,Accessory,Average
11,4.49,Unique,Average
12,-2.65,Core,Average
12,32.47,Accessory,Average
12,5.22,Unique,Average
13,-2.30,Core,Average
13,30.78,Accessory,Average
13,4.24,Unique,Average
14,-2.19,Core,Average
14,28.69,Accessory,Average
14,4.67,Unique,Average
15,-2.16,Core,Average
15,26.77,Accessory,Average
15,5.24,Unique,Average
16,-1.96,Core,Average
16,25.37,Accessory,Average
16,3.94,Unique,Average
17,-1.69,Core,Average
17,24.50,Accessory,Average
17,3.46,Unique,Average
18,-1.68,Core,Average
18,23.16,Accessory,Average
18,3.41,Unique,Average
19,-1.45,Core,Average
19,21.85,Accessory,Average
19,2.37,Unique,Average
20,-1.23,Core,Average
20,21.00,Accessory,Average
20,3.06,Unique,Average
21,-1.43,Core,Average
21,19.64,Accessory,Average
21,3.50,Unique,Average
22,-1.14,Core,Average
22,19.04,Accessory,Average
22,2.88,Unique,Average
23,-1.14,Core,Average
23,18.10,Accessory,Average
23,3.05,Unique,Average
24,-1.09,Core,Average
24,17.73,Accessory,Average
24,2.53,Unique,Average
25,-1.13,Core,Average
25,17.18,Accessory,Average
25,3.02,Unique,Average
26,-0.98,Core,Average
26,16.73,Accessory,Average
26,2.08,Unique,Average
27,-1.09,Core,Average
27,15.48,Accessory,Average
27,2.17,Unique,Average
28,-1.06,Core,Average
28,15.64,Accessory,Average
28,2.56,Unique,Average
29,-0.95,Core,Average
29,15.03,Accessory,Average
29,2.30,Unique,Average
30,-0.98,Core,Average
30,14.63,Accessory,Average
30,2.81,Unique,Average
31,-0.84,Core,Average
31,13.61,Accessory,Average
31,1.96,Unique,Average
32,-0.78,Core,Average
32,13.45,Accessory,Average
32,2.22,Unique,Average
33,-0.81,Core,Average
33,13.27,Accessory,Average
33,2.11,Unique,Average
34,-0.75,Core,Average
34,12.64,Accessory,Average
34,2.27,Unique,Average
35,-0.85,Core,Average
35,12.52,Accessory,Average
35,2.26,Unique,Average
36,-0.77,Core,Average
36,12.25,Accessory,Average
36,2.10,Unique,Average
37,-0.79,Core,Average
37,11.83,Accessory,Average
37,2.15,Unique,Average
38,-0.76,Core,Average
38,11.78,Accessory,Average
38,2.23,Unique,Average
39,-0.87,Core,Average
39,11.57,Accessory,Average
39,1.60,Unique,Average
40,-0.78,Core,Average
40,11.31,Accessory,Average
40,2.11,Unique,Average
41,-0.63,Core,Average
41,11.20,Accessory,Average
41,1.51,Unique,Average
42,-0.60,Core,Average
42,11.06,Accessory,Average
42,1.00,Unique,Average
43,-0.69,Core,Average
43,10.50,Accessory,Average
43,1.72,Unique,Average
44,-0.66,Core,Average
44,10.29,Accessory,Average
44,2.22,Unique,Average
45,-0.63,Core,Average
45,10.09,Accessory,Average
45,1.48,Unique,Average
46,-0.50,Core,Average
46,9.78,Accessory,Average
46,1.35,Unique,Average
47,-0.63,Core,Average
47,9.83,Accessory,Average
47,1.69,Unique,Average
48,-0.58,Core,Average
48,9.92,Accessory,Average
48,1.14,Unique,Average
49,-0.58,Core,Average
49,9.89,Accessory,Average
49,1.19,Unique,Average
50,-0.59,Core,Average
50,9.53,Accessory,Average
50,1.24,Unique,Average
51,-0.56,Core,Average
51,8.92,Accessory,Average
51,1.10,Unique,Average
52,-0.51,Core,Average
52,9.18,Accessory,Average
52,1.37,Unique,Average
53,-0.59,Core,Average
53,9.11,Accessory,Average
53,1.55,Unique,Average
54,-0.65,Core,Average
54,9.17,Accessory,Average
54,1.36,Unique,Average
55,-0.61,Core,Average
55,8.62,Accessory,Average
55,1.26,Unique,Average
56,-0.67,Core,Average
56,8.75,Accessory,Average
56,1.02,Unique,Average
57,-0.51,Core,Average
57,8.79,Accessory,Average
57,1.05,Unique,Average
58,-0.58,Core,Average
58,8.54,Accessory,Average
58,1.20,Unique,Average
59,-0.47,Core,Average
59,8.49,Accessory,Average
59,0.88,Unique,Average
60,-0.55,Core,Average
60,8.64,Accessory,Average
60,0.71,Unique,Average
61,-0.44,Core,Average
61,7.96,Accessory,Average
61,1.34,Unique,Average
62,-0.43,Core,Average
62,8.14,Accessory,Average
62,0.29,Unique,Average
63,-0.44,Core,Average
63,7.72,Accessory,Average
63,1.06,Unique,Average
64,-0.48,Core,Average
64,7.90,Accessory,Average
64,0.84,Unique,Average
65,-0.53,Core,Average
65,7.91,Accessory,Average
65,1.25,Unique,Average
66,-0.54,Core,Average
66,7.81,Accessory,Average
66,0.86,Unique,Average
67,-0.44,Core,Average
67,7.56,Accessory,Average
67,1.02,Unique,Average
68,-0.46,Core,Average
68,7.86,Accessory,Average
68,0.59,Unique,Average
69,-0.47,Core,Average
69,7.25,Accessory,Average
69,0.64,Unique,Average
70,-0.48,Core,Average
70,7.41,Accessory,Average
70,0.64,Unique,Average
71,-0.40,Core,Average
71,7.44,Accessory,Average
71,0.86,Unique,Average
72,-0.42,Core,Average
72,7.30,Accessory,Average
72,0.58,Unique,Average
73,-0.46,Core,Average
73,7.45,Accessory,Average
73,0.36,Unique,Average
74,-0.46,Core,Average
74,7.16,Accessory,Average
74,0.60,Unique,Average
75,-0.35,Core,Average
75,7.07,Accessory,Average
75,0.53,Unique,Average
76,-0.36,Core,Average
76,7.02,Accessory,Average
76,0.34,Unique,Average
77,-0.41,Core,Average
77,7.08,Accessory,Average
77,0.21,Unique,Average
78,-0.39,Core,Average
78,6.94,Accessory,Average
78,0.31,Unique,Average
79,-0.34,Core,Average
79,6.74,Accessory,Average
79,0.20,Unique,Average
80,-0.45,Core,Average
80,6.93,Accessory,Average
80,0.12,Unique,Average
81,-0.38,Core,Average
81,6.75,Accessory,Average
81,0.35,Unique,Average
82,-0.42,Core,Average
82,7.21,Accessory,Average
82,0.18,Unique,Average
83,-0.40,Core,Average
83,6.83,Accessory,Average
83,0.12,Unique,Average
84,-0.32,Core,Average
84,6.57,Accessory,Average
84,0.14,Unique,Average
85,-0.40,Core,Average
85,6.78,Accessory,Average
85,-0.16,Unique,Average
86,-0.35,Core,Average
86,6.11,Accessory,Average
86,0.27,Unique,Average
87,-0.42,Core,Average
87,6.29,Accessory,Average
87,0.29,Unique,Average
88,-0.36,Core,Average
88,6.50,Accessory,Average
88,-0.19,Unique,Average
89,-0.41,Core,Average
89,6.52,Accessory,Average
89,-0.17,Unique,Average
90,-0.40,Core,Average
90,6.24,Accessory,Average
90,-0.02,Unique,Average
91,-0.34,Core,Average
91,5.99,Accessory,Average
91,0.06,Unique,Average
92,-0.34,Core,Average
92,6.32,Accessory,Average
92,-0.10,Unique,Average
93,-0.29,Core,Average
93,6.07,Accessory,Average
93,-0.26,Unique,Average
94,-0.44,Core,Average
94,6.28,Accessory,Average
94,0.22,Unique,Average
95,-0.32,Core,Average
95,6.14,Accessory,Average
95,-0.07,Unique,Average
96,-0.40,Core,Average
96,6.05,Accessory,Average
96,0.07,Unique,Average
97,-0.32,Core,Average
97,5.94,Accessory,Average
97,-0.26,Unique,Average
98,-0.35,Core,Average
98,6.06,Accessory,Average
98,-0.28,Unique,Average
99,-0.41,Core,Average
99,5.96,Accessory,Average
99,-0.07,Unique,Average
100,-0.36,Core,Average
100,6.00,Accessory,Average
100,-0.00,Unique,Average
101,-0.34,Core,Average
101,5.78,Accessory,Average
101,-0.19,Unique,Average
102,-0.29,Core,Average
102,5.57,Accessory,Average
102,-0.10,Unique,Average
103,-0.38,Core,Average
103,5.89,Accessory,Average
103,-0.45,Unique,Average
104,-0.39,Core,Average
104,5.75,Accessory,Average
104,0.02,Unique,Average
105,-0.35,Core,Average
105,5.56,Accessory,Average
105,0.07,Unique,Average
106,-0.19,Core,Average
106,5.36,Accessory,Average
106,-0.42,Unique,Average
107,-0.35,Core,Average
107,5.76,Accessory,Average
107,-0.30,Unique,Average
108,-0.37,Core,Average
108,5.63,Accessory,Average
108,-0.33,Unique,Average
109,-0.34,Core,Average
109,5.61,Accessory,Average
109,-0.33,Unique,Average
110,-0.32,Core,Average
110,5.40,Accessory,Average
110,-0.32,Unique,Average
111,-0.30,Core,Average
111,5.46,Accessory,Average
111,-0.35,Unique,Average
112,-0.28,Core,Average
112,5.39,Accessory,Average
112,-0.37,Unique,Average
113,-0.28,Core,Average
113,5.13,Accessory,Average
113,-0.33,Unique,Average
114,-0.28,Core,Average
114,5.46,Accessory,Average
114,-0.49,Unique,Average
115,-0.35,Core,Average
115,5.33,Accessory,Average
115,-0.27,Unique,Average
116,-0.30,Core,Average
116,5.45,Accessory,Average
116,-0.55,Unique,Average
117,-0.27,Core,Average
117,5.22,Accessory,Average
117,-0.27,Unique,Average
118,-0.26,Core,Average
118,5.08,Accessory,Average
118,-0.48,Unique,Average
119,-0.24,Core,Average
119,5.33,Accessory,Average
119,-0.70,Unique,Average
120,-0.37,Core,Average
120,5.24,Accessory,Average
