x,y,Category,Metric
4,-17.00,Core,Median
4,109.00,Accessory,Median
5,-10.00,Core,Median
5,86.00,Accessory,Median
6,-7.00,Core,Median
6,74.00,Accessory,Median
7,-5.00,Core,Median
7,65.00,Accessory,Median
8,-4.00,Core,Median
8,57.00,Accessory,Median
9,-3.00,Core,Median
9,51.00,Accessory,Median
10,-3.00,Core,Median
10,48.00,Accessory,Median
11,-2.00,Core,Median
11,43.00,Accessory,Median
12,-2.00,Core,Median
12,40.00,Accessory,Median
13,-1.00,Core,Median
13,38.00,Accessory,Median
14,-1.00,Core,Median
14,36.00,Accessory,Median
15,-1.00,Core,Median
15,34.00,Accessory,Median
16,-1.00,Core,Median
16,32.00,Accessory,Median
17,-1.00,Core,Median
17,30.00,Accessory,Median
18,-1.00,Core,Median
18,29.00,Accessory,Median
19,-1.00,Core,Median
19,27.00,Accessory,Median
20,-1.00,Core,Median
20,26.00,Accessory,Median
21,-1.00,Core,Median
21,25.00,Accessory,Median
22,-1.00,Core,Median
22,24.00,Accessory,Median
23,-1.00,Core,Median
23,23.00,Accessory,Median
24,0.00,Core,Median
24,22.00,Accessory,Median
25,-1.00,Core,Median
25,22.00,Accessory,Median
26,0.00,Core,Median
26,21.00,Accessory,Median
27,0.00,Core,Median
27,20.00,Accessory,Median
28,0.00,Core,Median
28,20.00,Accessory,Median
29,0.00,Core,Median
29,19.00,Accessory,Median
30,0.00,Core,Median
30,19.00,Accessory,Median
31,0.00,Core,Median
31,17.00,Accessory,Median
32,0.00,Core,Median
32,17.00,Accessory,Median
33,0.00,Core,Median
33,17.00,Accessory,Median
34,0.00,Core,Median
34,16.00,Accessory,Median
35,0.00,Core,Median
35,16.00,Accessory,Median
36,0.00,Core,Median
36,15.00,Accessory,Median
37,0.00,Core,Median
37,15.00,Accessory,Median
38,0.00,Core,Median
38,16.00,Accessory,Median
39,0.00,Core,Median
39,14.00,Accessory,Median
40,0.00,Core,Median
40,15.00,Accessory,Median
41,0.00,Core,Median
41,14.00,Accessory,Median
42,0.00,Core,Median
42,12.00,Accessory,Median
43,0.00,Core,Median
43,13.00,Accessory,Median
44,0.00,Core,Median
44,13.00,Accessory,Median
45,0.00,Core,Median
45,13.00,Accessory,Median
46,0.00,Core,Median
46,12.00,Accessory,Median
47,0.00,Core,Median
47,12.00,Accessory,Median
48,0.00,Core,Median
48,12.00,Accessory,Median
49,0.00,Core,Median
49,12.00,Accessory,Median
50,0.00,Core,Median
50,11.00,Accessory,Median
51,0.00,Core,Median
51,10.00,Accessory,Median
52,0.00,Core,Median
52,11.00,Accessory,Median
53,0.00,Core,Median
53,11.00,Accessory,Median
54,0.00,Core,Median
54,10.00,Accessory,Median
55,0.00,Core,Median
55,10.00,Accessory,Median
56,0.00,Core,Median
56,10.00,Accessory,Median
57,0.00,Core,Median
57,10.00,Accessory,Median
58,0.00,Core,Median
58,10.00,Accessory,Median
59,0.00,Core,Median
59,10.00,Accessory,Median
60,0.00,Core,Median
60,9.00,Accessory,Median
61,0.00,Core,Median
61,9.00,Accessory,Median
62,0.00,Core,Median
62,8.00,Accessory,Median
63,0.00,Core,Median
63,9.00,Accessory,Median
64,0.00,Core,Median
64,9.00,Accessory,Median
65,0.00,Core,Median
65,9.00,Accessory,Median
66,0.00,Core,Median
66,9.00,Accessory,Median
67,0.00,Core,Median
67,8.00,Accessory,Median
68,0.00,Core,Median
68,8.00,Accessory,Median
69,0.00,Core,Median
69,7.00,Accessory,Median
70,0.00,Core,Median
70,7.00,Accessory,Median
71,0.00,Core,Median
71,8.00,Accessory,Median
72,0.00,Core,Median
72,7.00,Accessory,Median
73,0.00,Core,Median
73,7.00,Accessory,Median
74,0.00,Core,Median
74,7.00,Accessory,Median
75,0.00,Core,Median
75,8.00,Accessory,Median
76,0.00,Core,Median
76,7.00,Accessory,Median
77,0.00,Core,Median
77,7.00,Accessory,Median
78,0.00,Core,Median
78,6.00,Accessory,Median
79,0.00,Core,Median
79,6.00,Accessory,Median
80,0.00,Core,Median
80,6.00,Accessory,Median
81,0.00,Core,Median
81,6.00,Accessory,Median
82,0.00,Core,Median
82,7.00,Accessory,Median
83,0.00,Core,Median
83,6.00,Accessory,Median
84,0.00,Core,Median
84,6.00,Accessory,Median
85,0.00,Core,Median
85,6.00,Accessory,Median
86,0.00,Core,Median
86,5.00,Accessory,Median
87,0.00,Core,Median
87,6.00,Accessory,Median
88,0.00,Core,Median
88,6.00,Accessory,Median
89,0.00,Core,Median
89,5.00,Accessory,Median
90,0.00,Core,Median
90,5.00,Accessory,Median
91,0.00,Core,Median
91,5.00,Accessory,Median
92,0.00,Core,Median
92,5.00,Accessory,Median
93,0.00,Core,Median
93,4.00,Accessory,Median
94,0.00,Core,Median
94,6.00,Accessory,Median
95,0.00,Core,Median
95,5.00,Accessory,Median
96,0.00,Core,Median
96,5.00,Accessory,Median
97,0.00,Core,Median
97,5.00,Accessory,Median
98,0.00,Core,Median
98,5.00,Accessory,Median
99,0.00,Core,Median
99,4.00,Accessory,Median
100,0.00,Core,Median
100,4.00,Accessory,Median
101,0.00,Core,Median
101,4.00,Accessory,Median
102,0.00,Core,Median
102,4.00,Accessory,Median
103,0.00,Core,Median
103,4.00,Accessory,Median
104,0.00,Core,Median
104,5.00,Accessory,Median
105,0.00,Core,Median
105,4.00,Accessory,Median
106,0.00,Core,Median
106,4.00,Accessory,Median
107,0.00,Core,Median
107,4.00,Accessory,Median
108,0.00,Core,Median
108,4.00,Accessory,Median
109,0.00,Core,Median
109,4.00,Accessory,Median
110,0.00,Core,Median
110,4.00,Accessory,Median
111,0.00,Core,Median
111,4.00,Accessory,Median
112,0.00,Core,Median
112,4.00,Accessory,Median
113,0.00,Core,Median
113,3.00,Accessory,Median
114,0.00,Core,Median
114,3.00,Accessory,Median
115,0.00,Core,Median
115,4.00,Accessory,Median
116,0.00,Core,Median
116,3.00,Accessory,Median
117,0.00,Core,Median
117,3.00,Accessory,Median
118,0.00,Core,Median
118,3.00,Accessory,Median
119,0.00,Core,Median
119,3.00,Accessory,Median
120,0.00,Core,Median
120,4.00,Accessory,Median
121,0.00,Core,Median
121,4.00,Accessory,Median
122,0.00,Core,Median
122,3.00,Accessory,Median
123,0.00,Core,Median
123,3.00,Accessory,Median
124,0.00,Core,Median
124,4.00,Accessory,Median
125,0.00,Core,Median
125,3.00,Accessory,Median
126,0.00,Core,Median
126,3.00,Accessory,Median
127,0.00,Core,Median
127,3.00,Accessory,Median
128,0.00,Core,Median
128,3.00,Accessory,Median
129,0.00,Core,Median
129,3.00,Accessory,Median
130,0.00,Core,Median
130,2.00,Accessory,Median
131,0.00,Core,Median
131,2.00,Accessory,Median
132,0.00,Core,Median
132,2.00,Accessory,Median
133,0.00,Core,Median
133,2.00,Accessory,Median
134,0.00,Core,Median
134,3.00,Accessory,Median
135,0.00,Core,Median
135,3.00,Accessory,Median
136,0.00,Core,Median
136,2.00,Accessory,Median
137,0.00,Core,Median
137,2.00,Accessory,Median
138,0.00,Core,Median
138,3.00,Accessory,Median
139,0.00,Core,Median
139,2.00,Accessory,Median
140,0.00,Core,Median
140,2.00,Accessory,Median
141,0.00,Core,Median
141,2.00,Accessory,Median
142,0.00,Core,Median
142,2.00,Accessory,Median
143,0.00,Core,Median
143,3.00,Accessory,Median
144,0.00,Core,Median
144,3.00,Accessory,Median
145,0.00,Core,Median
145,2.00,Accessory,Median
146,0.00,Core,Median
146,2.00,Accessory,Median
147,0.00,Core,Median
147,2.00,Accessory,Median
148,0.00,Core,Median
148,2.00,Accessory,Median
149,0.00,Core,Median
149,2.00,Accessory,Median
150,0.00,Core,Median
150,2.00,Accessory,Median
151,0.00,Core,Median
151,2.00,Accessory,Median
152,0.00,Core,Median
152,2.00,Accessory,Median
153,0.00,Core,Median
153,2.00,Accessory,Median
154,0.00,Core,Median
154,2.00,Accessory,Median
155,0.00,Core,Median
155,2.00,Accessory,Median
