x,y,Category
5,7502276,Accessory
5,6565578,Accessory
3,29475,Core
7,4502,Core
8,4201,Core
5,7034002,Accessory
2,142640,Core
4,5872598,Accessory
5,6560073,Accessory
4,5861928,Accessory
3,9352,Core
3,56420,Core
7,4463,Core
2,274283,Core
4,5840133,Accessory
3,14097,Core
5,5033,Core
5,5078,Core
3,70054,Core
5,13962,Core
7,4277,Core
6,4679,Core
3,4749824,Accessory
5,9962,Core
4,9694,Core
6,7655,Core
7,8283613,Accessory
4,4972474,Accessory
6,4533,Core
5,10528,Core
4,5675574,Accessory
3,88663,Core
6,4680,Core
4,5857529,Accessory
2,140432,Core
4,37977,Core
3,5033642,Accessory
5,6645206,Accessory
3,4771820,Accessory
5,6059403,Accessory
5,4981,Core
7,4350,Core
4,5822102,Accessory
2,68469,Core
3,3864780,Accessory
4,12912,Core
6,8413480,Accessory
4,12191,Core
4,5883303,Accessory
2,65983,Core
3,9525,Core
4,14626,Core
4,16219,Core
4,6145495,Accessory
3,4096551,Accessory
4,20956,Core
6,7441764,Accessory
8,10058305,Accessory
6,8628153,Accessory
4,5216692,Accessory
3,13820,Core
4,5772,Core
4,6458788,Accessory
3,83102,Core
7,4543,Core
2,53176,Core
5,6118333,Accessory
5,10331,Core
8,4128,Core
5,10073,Core
5,7560236,Accessory
7,4401,Core
3,3188756,Accessory
7,8955458,Accessory
8,4166,Core
7,8715157,Accessory
4,5380822,Accessory
6,7644507,Accessory
6,4658,Core
4,5921249,Accessory
6,7491415,Accessory
4,36651,Core
2,3369645,Accessory
4,5084129,Accessory
4,38312,Core
4,9887,Core
6,8183113,Accessory
6,4812,Core
4,6026694,Accessory
4,6445965,Accessory
8,9540687,Accessory
2,69877,Core
4,14807,Core
2,3420590,Accessory
5,7075801,Accessory
5,10452,Core
5,6386944,Accessory
5,5008,Core
5,5041,Core
2,2522493,Accessory
5,7363,Core
5,6527859,Accessory
3,4958891,Accessory
6,7530,Core
4,9611,Core
5,5910,Core
4,6132632,Accessory
4,5474929,Accessory
2,2707976,Accessory
4,5175521,Accessory
7,4307,Core
5,5199,Core
3,76496,Core
5,5243,Core
3,4801810,Accessory
2,505754,Core
6,8207315,Accessory
6,4827,Core
