x,y,Category
5,1310717,Accessory
4,527887,Accessory
3,9352,Core
4,709922,Accessory
3,56420,Core
4,5494278,Unique
2,274283,Core
3,14097,Core
3,3564977,Unique
8,2718739,Accessory
5,5078,Core
5,13962,Core
3,3476582,Unique
6,4679,Core
6,7182135,Unique
3,226634,Accessory
5,9962,Core
6,7655,Core
4,5229162,Unique
3,3536772,Unique
6,7109914,Unique
4,3269876,Unique
5,4911387,Unique
5,1820625,Accessory
6,4533,Core
4,5285663,Unique
4,342584,Accessory
5,973409,Accessory
6,7116819,Unique
6,4680,Core
4,37977,Core
3,4604185,Unique
6,5994034,Unique
6,6415960,Unique
7,2399500,Accessory
5,4981,Core
4,348887,Accessory
6,1982696,Accessory
6,6807657,Unique
4,2945592,Unique
5,5242598,Unique
4,12912,Core
2,65983,Core
4,14626,Core
2,3287697,Unique
6,2097607,Accessory
4,16219,Core
3,4840740,Unique
6,7202468,Unique
5,1675543,Accessory
5,5497201,Unique
3,13820,Core
6,6884496,Unique
3,83102,Core
3,4527239,Unique
5,10331,Core
5,10073,Core
7,4401,Core
3,4582826,Unique
8,4166,Core
6,6573286,Unique
7,1798697,Accessory
4,36651,Core
3,213843,Accessory
3,4503164,Unique
4,5049295,Unique
7,2377800,Accessory
6,2150309,Accessory
3,3513259,Unique
5,783550,Accessory
5,10452,Core
5,6627445,Unique
5,5458544,Unique
4,5111078,Unique
6,1335349,Accessory
2,3304250,Unique
3,379649,Accessory
4,343462,Accessory
5,5910,Core
4,857499,Accessory
4,345714,Accessory
6,1280632,Accessory
5,1013423,Accessory
5,5199,Core
6,2216063,Accessory
3,76496,Core
4,5135406,Unique
4,5407242,Unique
3,599428,Accessory
2,505754,Core
3,4886309,Unique
4,1301602,Accessory
4,4186555,Unique
6,4574,Core
3,206030,Accessory
7,4337,Core
5,806836,Accessory
3,4528664,Unique
7,7291,Core
7,6780,Core
5,9119,Core
5,1992142,Accessory
6,1185212,Accessory
7,7647103,Unique
2,53615,Core
5,1367110,Accessory
6,1105518,Accessory
4,8065,Core
4,9931,Core
5,4939,Core
5,6402,Core
3,4652386,Unique
5,10169,Core
4,12258,Core
5,1882556,Accessory
6,2337569,Accessory
6,1491172,Accessory
3,149336,Accessory
5,4733915,Unique
2,2241815,Unique
5,4615395,Unique
3,74782,Core
5,8684,Core
6,4663,Core
3,33161,Core
6,1921599,Accessory
3,68940,Core
8,2727557,Accessory
6,1498048,Accessory
2,3241919,Unique
3,644040,Accessory
5,6075902,Unique
7,6571176,Unique
4,3297996,Unique
6,8754,Core
4,6729,Core
4,604559,Accessory
6,4919600,Unique
5,4498934,Unique
6,1298617,Accessory
5,1797315,Accessory
8,1935937,Accessory
3,4279780,Unique
5,5772195,Unique
3,144818,Accessory
4,14362,Core
4,650629,Accessory
7,2609861,Accessory
4,5091913,Unique
4,196056,Core
7,7624505,Unique
7,5769789,Unique
5,1096191,Accessory
4,5733,Core
6,5164,Core
3,18850,Core
4,11273,Core
5,9348,Core
3,3233717,Unique
3,4526831,Unique
3,223277,Accessory
3,579858,Accessory
7,2262009,Accessory
3,22830,Core
6,4697,Core
4,5473039,Unique
3,559779,Accessory
3,18517,Core
7,7410363,Unique
5,6111,Core
4,7232,Core
6,6515,Core
3,74002,Core
3,3520343,Unique
5,1175469,Accessory
7,1536265,Accessory
6,6659,Core
7,2503416,Accessory
7,6859186,Unique
4,992819,Accessory
5,1116712,Accessory
5,5512670,Unique
4,22715,Core
5,4891037,Unique
4,664695,Accessory
3,461588,Accessory
4,11296,Core
2,2374753,Unique
5,1030555,Accessory
4,12257,Core
5,7204,Core
6,1399834,Accessory
3,379202,Accessory
4,12679,Core
4,5636998,Unique
5,11075,Core
5,4989,Core
5,1858967,Accessory
7,4408,Core
7,6810344,Unique
2,3346006,Unique
4,5176558,Unique
3,577295,Accessory
7,4441,Core
6,8487,Core
2,2707976,Unique
5,1818063,Accessory
7,2438671,Accessory
4,829564,Accessory
2,530164,Core
4,351485,Accessory
3,2688646,Unique
3,13879,Core
4,1730495,Accessory
6,4864441,Unique
5,779795,Accessory
4,5210950,Unique
7,6950,Core
4,635586,Accessory
4,680971,Accessory
7,7960250,Unique
3,143923,Accessory
3,4828805,Unique
3,9392,Core
4,540094,Accessory
2,65279,Core
3,31784,Core
6,5660518,Unique
5,6923734,Unique
6,4637,Core
7,2397561,Accessory
6,7132848,Unique
5,15917,Core
3,475879,Accessory
4,20111,Core
8,2717209,Accessory
4,903066,Accessory
7,6957984,Unique
2,141502,Core
2,68670,Core
3,215882,Accessory
4,11376,Core
3,557446,Accessory
5,4001333,Unique
5,9040,Core
4,903184,Accessory
2,51878,Core
4,6063015,Unique
3,4157484,Unique
5,1097803,Accessory
5,805406,Accessory
7,7364151,Unique
3,14065,Core
5,6529339,Unique
4,726466,Accessory
5,4235050,Unique
2,3221226,Unique
3,566760,Accessory
3,9783,Core
4,4245495,Unique
5,4966,Core
4,12938,Core
5,6569852,Unique
7,6315657,Unique
7,6635165,Unique
5,960035,Accessory
5,6797770,Unique
5,5249,Core
5,5177,Core
3,9354,Core
5,7199,Core
4,22540,Core
4,660825,Accessory
6,1509885,Accessory
6,1237855,Accessory
6,2454151,Accessory
7,4545,Core
3,2539235,Unique
4,5043359,Unique
7,7982288,Unique
4,4259110,Unique
5,5443100,Unique
4,9015,Core
6,8000,Core
6,2233181,Accessory
3,18415,Core
7,2575203,Accessory
3,3592191,Unique
6,1242950,Accessory
2,3260360,Unique
4,9545,Core
5,1049128,Accessory
6,8167,Core
6,1225671,Accessory
4,52069,Core
3,305149,Core
6,1500145,Accessory
6,4564,Core
6,7426790,Unique
4,3784288,Unique
5,4178940,Unique
3,37194,Core
4,4544654,Unique
3,56762,Core
5,6942437,Unique
2,3334355,Unique
3,32661,Core
8,6435,Core
4,542460,Accessory
8,7184395,Unique
5,10964,Core
6,5446295,Unique
7,7977093,Unique
6,1499324,Accessory
3,1195183,Accessory
5,1078225,Accessory
6,1297861,Accessory
3,219513,Accessory
6,6820,Core
4,12693,Core
6,2150740,Accessory
4,35991,Core
6,1123260,Accessory
3,689620,Accessory
3,3892837,Unique
3,504073,Accessory
8,7421360,Unique
6,1784828,Accessory
6,1919103,Accessory
5,5549550,Unique
7,4385,Core
3,205217,Accessory
4,724542,Accessory
5,4847843,Unique
6,7504893,Unique
4,661648,Accessory
5,4484441,Unique
7,4356,Core
6,1395290,Accessory
6,7524868,Unique
2,3308088,Unique
5,799325,Accessory
4,13563,Core
4,5661094,Unique
3,3626871,Unique
6,5977316,Unique
4,3981859,Unique
3,147333,Accessory
5,32117,Core
7,6877820,Unique
4,5118923,Unique
4,6542,Core
4,11363,Core
9,7662092,Unique
4,1656341,Accessory
5,4996,Core
6,7154918,Unique
3,649521,Accessory
6,2217323,Accessory
5,6705895,Unique
7,1640055,Accessory
7,6215199,Unique
5,979914,Accessory
3,208638,Accessory
6,1277916,Accessory
4,4819794,Unique
7,7797,Core
4,1050086,Accessory
6,1960825,Accessory
5,6023484,Unique
4,4587555,Unique
4,17879,Core
4,6529,Core
6,1481824,Accessory
5,8405,Core
4,5497358,Unique
2,2944457,Unique
4,25025,Core
5,5203,Core
8,6823478,Unique
3,19001,Core
7,2341014,Accessory
5,1112025,Accessory
4,655605,Accessory
3,3859510,Unique
5,946855,Accessory
5,10944,Core
4,5528073,Unique
4,12711,Core
3,486187,Accessory
4,20677,Core
7,7432003,Unique
3,49805,Core
4,52931,Core
6,2236567,Accessory
6,6214619,Unique
5,796700,Accessory
3,18497,Core
3,3999395,Unique
6,7524,Core
5,5728609,Unique
2,52587,Core
5,5429522,Unique
5,6962796,Unique
7,2324491,Accessory
6,1334456,Accessory
4,1304267,Accessory
7,2616117,Accessory
4,6113160,Unique
5,10177,Core
6,4699,Core
4,3951859,Unique
7,4389,Core
4,5371497,Unique
